factor_a,factor_b,mean_daily_spearman_corr,abs_mean_daily_spearman_corr,date_count
alpha158_VSUMP5,alpha158_VSUMD5,0.9999999999553455,0.9999999999553455,120
alpha158_VSUMN5,alpha158_VSUMD5,-0.9999999999493568,0.9999999999493568,120
alpha158_VSUMP5,alpha158_VSUMN5,-0.9999999999317791,0.9999999999317791,120
alpha158_VSUMP10,alpha158_VSUMD10,0.9999999999117233,0.9999999999117233,120
alpha158_VSUMP10,alpha158_VSUMN10,-0.9999999999038992,0.9999999999038992,120
alpha158_VSUMN10,alpha158_VSUMD10,-0.999999999903449,0.999999999903449,120
alpha158_VSUMP20,alpha158_VSUMN20,-0.9999999998044846,0.9999999998044846,120
alpha158_VSUMN20,alpha158_VSUMD20,-0.9999999997979934,0.9999999997979934,120
alpha158_VSUMP20,alpha158_VSUMD20,0.9999999997943068,0.9999999997943068,120
alpha158_VSUMN30,alpha158_VSUMD30,-0.999999999774489,0.999999999774489,120
alpha158_VSUMP30,alpha158_VSUMN30,-0.9999999997740338,0.9999999997740338,120
alpha158_VSUMP30,alpha158_VSUMD30,0.9999999997675283,0.9999999997675283,120
alpha158_VSUMP60,alpha158_VSUMN60,-0.9999999995467955,0.9999999995467955,120
alpha158_VSUMP60,alpha158_VSUMD60,0.9999999995453899,0.9999999995453899,120
alpha158_VSUMN60,alpha158_VSUMD60,-0.9999999995022505,0.9999999995022505,120
alpha158_SUMP60,alpha158_SUMD60,0.9999999993526352,0.9999999993526352,120
alpha158_SUMP60,alpha158_SUMN60,-0.999999999347006,0.999999999347006,120
alpha158_SUMN60,alpha158_SUMD60,-0.9999999992790148,0.9999999992790148,120
alpha158_SUMP30,alpha158_SUMD30,0.999999998800607,0.999999998800607,120
alpha158_SUMN30,alpha158_SUMD30,-0.9999999987435673,0.9999999987435673,120
alpha158_SUMP30,alpha158_SUMN30,-0.9999999986124937,0.9999999986124937,120
alpha158_KMID,alpha158_OPEN0,-0.9999999622555029,0.9999999622555029,120
alpha158_SUMP20,alpha158_SUMD20,0.9999997403557347,0.9999997403557347,120
alpha158_SUMP10,alpha158_SUMD10,0.9999987930256549,0.9999987930256549,120
alpha158_SUMN10,alpha158_SUMD10,-0.9999842911107464,0.9999842911107464,120
alpha158_SUMN20,alpha158_SUMD20,-0.9999792710598623,0.9999792710598623,120
alpha158_SUMP20,alpha158_SUMN20,-0.9999743970408702,0.9999743970408702,120
alpha158_SUMP10,alpha158_SUMN10,-0.9999743966036423,0.9999743966036423,120
alpha158_SUMN5,alpha158_SUMD5,-0.9999485252012742,0.9999485252012742,120
alpha158_SUMP5,alpha158_SUMD5,0.9999477836014999,0.9999477836014999,120
alpha158_SUMP5,alpha158_SUMN5,-0.999808615339888,0.999808615339888,120
alpha158_CNTP5,alpha158_CNTD5,0.963853795273738,0.963853795273738,120
alpha158_CNTN5,alpha158_CNTD5,-0.9632725898121687,0.9632725898121687,120
alpha158_ROC60,alpha158_SUMN60,0.9631415871575645,0.9631415871575645,120
alpha158_ROC60,alpha158_SUMP60,-0.9631415816559544,0.9631415816559544,120
alpha158_ROC60,alpha158_SUMD60,-0.9631415585698146,0.9631415585698146,120
alpha158_CNTP10,alpha158_CNTD10,0.9584039052729113,0.9584039052729113,120
alpha158_CNTN10,alpha158_CNTD10,-0.9577890105402947,0.9577890105402947,120
alpha158_ROC30,alpha158_SUMP30,-0.9507326700080765,0.9507326700080765,120
alpha158_ROC30,alpha158_SUMN30,0.9507326650698249,0.9507326650698249,120
alpha158_ROC30,alpha158_SUMD30,-0.9507326630488618,0.9507326630488618,120
alpha158_CNTP20,alpha158_CNTD20,0.9495106583206183,0.9495106583206183,120
alpha158_CNTN20,alpha158_CNTD20,-0.947394129215584,0.947394129215584,120
alpha158_ROC20,alpha158_SUMD20,-0.9440229656120213,0.9440229656120213,120
alpha158_ROC20,alpha158_SUMP20,-0.9440229419579396,0.9440229419579396,120
alpha158_ROC20,alpha158_SUMN20,0.9440229203609001,0.9440229203609001,120
alpha158_CNTP30,alpha158_CNTD30,0.942811962737285,0.942811962737285,120
alpha158_MA60,alpha158_QTLU60,0.9412051447195879,0.9412051447195879,120
