check_name,status,observed_value,required_value,severity,reason
factor_catalog_artifact_fresh,pass,0,0,critical,
qlib_commit_matches,pass,d5379c520f66a39953bad76234a7019a72796fd0,d5379c520f66a39953bad76234a7019a72796fd0,critical,
qlib_dependency_files_exist,pass,0,0,critical,
qlib_worktree_policy,pass,[],[],critical,
ta_commit_matches,pass,a890410710a6e483c9ba08da7f3dd5089e4b9dff,a890410710a6e483c9ba08da7f3dd5089e4b9dff,critical,
ta_dependency_files_exist,pass,0,0,critical,
ta_worktree_policy,pass,[],[],critical,
kunquant_commit_matches,pass,d4b9e61f729df347730aa921b539b9df3c3fe36d,d4b9e61f729df347730aa921b539b9df3c3fe36d,critical,
kunquant_dependency_files_exist,pass,0,0,critical,
kunquant_worktree_policy,pass,[],[],critical,
alpha158_source_files_exist,pass,0,0,critical,
alpha158_source_tree_hash,pass,56d78470f624426509bcd6cf6adf68427855c837982dee9886c5bdd1e4ab8300,sha256,critical,
alpha158_adapter_hash,pass,fbbd51d0c2b8c83dce2fc812afb58e8a22dfed9fba661a6d506be8e3d0eb96d8,sha256,critical,
alpha158_formula_or_metadata_hash,pass,c7cdd11db0f685eaa94d0abe09c1b5f3605725bf813170c63d54152ccd3aa656,sha256,critical,
alpha360_source_files_exist,pass,0,0,critical,
alpha360_source_tree_hash,pass,4218dbb4a176f31813f4aa8e73cc6646a0fe68d918885291e9ede90b7c0053f2,sha256,critical,
alpha360_adapter_hash,pass,c0d4a427d36eefb6b0f687344a9af0327e817517cbff5f607488434c3e04b308,sha256,critical,
alpha360_formula_or_metadata_hash,pass,76ec61f494741a2052b9f22cc916e1a9bc0316703297d736b6c391c33dd6a8a0,sha256,critical,
ta_source_files_exist,pass,0,0,critical,
ta_source_tree_hash,pass,b33aa34f82c1dc8629dc5bf21a933512011035828212f38b5000215175957249,sha256,critical,
ta_adapter_hash,pass,c16798cf7b70297690f2f1e09598e81066306af38fbfd5fdbceaa92f621459e4,sha256,critical,
ta_formula_or_metadata_hash,pass,785d64a62d2962ee0d63b145041df238ee7066dea0522acf90de20df3510d3c1,sha256,critical,
alpha101_source_files_exist,pass,0,0,critical,
alpha101_source_tree_hash,pass,a94112181d492d347905b4a5896cdcb1c44bfbbe95f45f9ff00292c22c1ac7e2,sha256,critical,
alpha101_adapter_hash,pass,80f03e2a1874fa479b0408ff383987b8a9a16b12e51b532dafeb0aca6ccba69b,sha256,critical,
alpha101_formula_or_metadata_hash,pass,338f88ef08e0aa5274ebb5600d50633216e45415b9a5528e0a426ffbf06701a8,sha256,critical,
project_basic_source_files_exist,pass,0,0,critical,
project_basic_source_tree_hash,pass,a28609d0cc0b5b7d31fa904b21a7cf20f93b1e9c5b795f19f462ffde9f9c447c,sha256,critical,
project_basic_adapter_hash,pass,8f03f6613d902ff199739bd907f3c2d43c25b14ab3ebda8b24779cff89b6a7c8,sha256,critical,
project_basic_formula_or_metadata_hash,pass,ad307754486a9cd5dc62f1b415835596a7bb6bbb4c205f4835f876c769cfc713,sha256,critical,
qlib_import_resolves_to_audited_repo,pass,E:/qlib_prj/qlib_clone/qlib/__init__.py,E:/qlib_prj/qlib_clone,critical,
