source,file_role,relative_path,exists,size_bytes,sha256
alpha158,repository:001:LICENSE,LICENSE,True,1162,9906940f61b1f0b533fa7d99baf55178b2808fbe113ea51dfbfad8572ccd5f2b
alpha158,repository:002:loader.py,qlib/contrib/data/loader.py,True,16390,472f9dc84abd20d7a662c12d66ec49edc09a66a6ca9b30deb1ae083ec00d0a6e
alpha158,repository:003:base.py,qlib/data/base.py,True,8668,cc29103b4fcb5a7c87f29194fc3f0fd0a12b621250a6fdeadbce5172db230479
alpha158,repository:004:cache.py,qlib/data/cache.py,True,48552,473a48c2e019694e4b3c135db248cd5590775bb9333e6a7a0fdd422d49d1d4db
alpha158,repository:005:data.py,qlib/data/data.py,True,50787,cf02f3c2735f532f25c13d6a82e91c8fb6360b507c95bce5934600d892425313
alpha158,repository:006:ops.py,qlib/data/ops.py,True,47127,6f78562448aaeca33375274e2406368a619744d4ca25733837e7463369858691
alpha158,repository:007:file_storage.py,qlib/data/storage/file_storage.py,True,14745,4c24f47182d61f6b77f7d07d6797e09d6a4838e520240aab84937ba234211ace
alpha158,expression_adapter,scripts/run_full_research_feature_matrix_v1.py,True,27803,d9b2e1480d06dbf32904e121c4f3dd2df181861f27470b6ac948d3430e0fcc1e
alpha158,formula_inventory,outputs/factor_catalog_alpha158_v1/alpha158_formula_inventory.csv,True,43403,ba1421ab54767fa66e2632e3043390784a805596d9320190212d631590d534c0
alpha158,matrix_contract,research_validation/feature_matrix.py,True,3867,c2e9412fc9bf78ff87c630eb0bf3c4633b95287b47ea7a54fd13fc75434ad119
alpha360,repository:001:LICENSE,LICENSE,True,1162,9906940f61b1f0b533fa7d99baf55178b2808fbe113ea51dfbfad8572ccd5f2b
alpha360,repository:002:loader.py,qlib/contrib/data/loader.py,True,16390,472f9dc84abd20d7a662c12d66ec49edc09a66a6ca9b30deb1ae083ec00d0a6e
alpha360,repository:003:base.py,qlib/data/base.py,True,8668,cc29103b4fcb5a7c87f29194fc3f0fd0a12b621250a6fdeadbce5172db230479
alpha360,repository:004:cache.py,qlib/data/cache.py,True,48552,473a48c2e019694e4b3c135db248cd5590775bb9333e6a7a0fdd422d49d1d4db
alpha360,repository:005:data.py,qlib/data/data.py,True,50787,cf02f3c2735f532f25c13d6a82e91c8fb6360b507c95bce5934600d892425313
alpha360,repository:006:ops.py,qlib/data/ops.py,True,47127,6f78562448aaeca33375274e2406368a619744d4ca25733837e7463369858691
alpha360,repository:007:file_storage.py,qlib/data/storage/file_storage.py,True,14745,4c24f47182d61f6b77f7d07d6797e09d6a4838e520240aab84937ba234211ace
alpha360,expression_adapter,scripts/run_full_research_feature_matrix_v1.py,True,27803,d9b2e1480d06dbf32904e121c4f3dd2df181861f27470b6ac948d3430e0fcc1e
alpha360,formula_inventory,outputs/factor_catalog_alpha360_v1/alpha360_formula_inventory.csv,True,96173,6f16f85a74c8727ee292be33092af6e5b07728bc5514a57a582e38bc07939a84
alpha360,matrix_contract,research_validation/feature_matrix.py,True,3867,c2e9412fc9bf78ff87c630eb0bf3c4633b95287b47ea7a54fd13fc75434ad119
ta,repository:001:LICENSE,LICENSE,True,1117,9a624fb8b0905b6490e6da54fb8cb21af2d4131e043296d435c50ef9178af7f2
ta,repository:002:wrapper.py,ta/wrapper.py,True,19542,ac03e6fc777121d9d569a0be8015bb9600fd2d61adc052aace207afd6c54acdc
ta,repository:003:utils.py,ta/utils.py,True,2602,721f6f3a140dd3bfb2fc5253b4898348a44f91275cf9d2ea85f9596e822c1414
ta,repository:004:momentum.py,ta/momentum.py,True,46413,e2593ae19986fae7aaa5b842004c12acad03fd99cecc7f8832a5ed829ac51767
ta,repository:005:trend.py,ta/trend.py,True,62478,11b561e55daf4db14823b10b4d50be2cf09913dfd6939b0a8665edee3404f210
ta,repository:006:volatility.py,ta/volatility.py,True,34160,647678eec5e0d195179d6d4993d1054f12540f469db538f313290c2496299b95
ta,repository:007:volume.py,ta/volume.py,True,25457,79106e89f5410aaabda31b0c8390db208c085442358ae59a0c7e77e5bcff5a22
ta,adapter,factor_research/ta_source.py,True,15172,0306452455488fdfc3b027cad9c1382f951f2e19bd9f1b0adc2c009e1d8913b3
ta,matrix_adapter,scripts/run_full_research_feature_matrix_v1.py,True,27803,d9b2e1480d06dbf32904e121c4f3dd2df181861f27470b6ac948d3430e0fcc1e
ta,promoted_catalog,outputs/ta_factor_adapter_v1/smoke/ta_factor_catalog_promoted77.yaml,True,48274,94526b58682d5d92013faf746ee8b176cf69dae07718b1950148cd0872b7ea43
alpha101,repository:001:LICENSE,LICENSE,True,11558,1eb85fc97224598dad1852b5d6483bbcf0aa8608790dcc657a5a2a761ae9c8c6
alpha101,repository:002:ref_alpha101.py,tests/KunTestUtil/ref_alpha101.py,True,45609,0767658a110940d6bb089fcaa3db659367bb34bbc3de7e5627825db7e781c430
alpha101,adapter,factor_research/alpha101_source.py,True,13507,da9e0b1d1331169caa3228264d33ec4f6fd98d307c3bf6efcbeac846c646a713
alpha101,matrix_adapter,scripts/run_full_research_feature_matrix_v1.py,True,27803,d9b2e1480d06dbf32904e121c4f3dd2df181861f27470b6ac948d3430e0fcc1e
alpha101,metadata,outputs/factor_catalog_alpha101_v1/kunquant_alpha101_catalog_metadata.yaml,True,51857,83e8b4948ef2ab7d178911e6ec92c503e6f10020d280c566798ed141a9e0ff0f
project_basic,factor_catalog,factor_research/factor_catalog.yaml,True,11564,ef46e0e620f89d3efa5399dbed981c26c265237ca75512aa955e1af8f3780ecc
project_basic,factor_library,factor_research/factor_library.py,True,4924,1c12ca437fa404bcd19027ed61e88523f867ad5ea660e5ec9c445c85f0d79f36
project_basic,matrix_adapter,scripts/run_full_research_feature_matrix_v1.py,True,27803,d9b2e1480d06dbf32904e121c4f3dd2df181861f27470b6ac948d3430e0fcc1e
