factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amplitude_20,risk,negative,0.9021767202578266,-0.038579877512305745,-0.26307943317488514,-0.0730491700966212,0.0730491700966212,-0.4527423675852873,1568464
std_20,risk,negative,0.9000145524991473,-0.040630139788817195,-0.2888832412532911,-0.06926642413366195,0.06926642413366195,-0.44418403674732676,1564705
ret_20,momentum,watch,0.9124129366540641,-0.04404983142274783,-0.3207546084488412,-0.0554919097293854,,-0.36974589799251933,1586260
amount_std_20,liquidity,watch,0.9021767202578266,-0.01949133519553057,-0.20215757983559401,-0.05219870612645388,,-0.36959954585771737,1568464
ret_10,momentum,watch,0.9264949241688251,-0.030690013060811656,-0.24578404923194608,-0.03587360581266809,,-0.2599964266735985,1610742
amount_mean_20,liquidity,watch,0.9021767202578266,-0.005842263085988755,-0.0598498939057802,-0.031121515921254818,,-0.20856552838103953,1568464
corr_ret_volume_20,price_volume,watch,0.9000145524991473,-0.015353265404712395,-0.1979214194393869,-0.028245299249980586,,-0.31158853545569637,1564705
volume_ratio_5_20,liquidity,watch,0.9021767202578266,-0.02944312058327994,-0.3419833278160537,-0.022372170727512186,,-0.23292706850776448,1568464
ret_5,momentum,watch,0.934758788012652,-0.01961302697968316,-0.17583358961257103,-0.020448124072220682,,-0.1635256769704044,1625109
rev_5,reversal,positive,0.934758788012652,0.01961302697968316,0.17583358961257103,0.020448124072220682,0.020448124072220682,0.1635256769704044,1625109
