factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amount_std_20,liquidity,watch,0.9441000768995895,-0.05595359814628988,-0.5173056001737821,-0.11691395489116206,,-0.8219894239642216,1335743
amount_mean_20,liquidity,watch,0.9441000768995895,-0.05212683543675424,-0.46095891272405837,-0.11290914165612619,,-0.7404518511645994,1335743
amplitude_20,risk,negative,0.9441000768995895,-0.04470624136590336,-0.28449562482122664,-0.09329472667226246,0.09329472667226246,-0.5663668038044685,1335743
std_20,risk,negative,0.9422991563662683,-0.042651444582200285,-0.3020044483361363,-0.08841839325543456,0.08841839325543456,-0.5950079714587958,1333195
ret_20,momentum,watch,0.9494243839551268,-0.0374890342178139,-0.29143941079659513,-0.04499814764535296,,-0.3242740659431049,1343276
corr_ret_volume_20,price_volume,watch,0.9422991563662683,-0.017532421892109986,-0.2624742907928969,-0.03460706601286871,,-0.43113410066188146,1333195
ret_10,momentum,watch,0.9633899996607371,-0.03256197476343321,-0.29319887841495834,-0.03326814705793426,,-0.26100686363647774,1363035
ret_5,momentum,watch,0.9707293869519491,-0.028308718131211073,-0.2614808771827814,-0.02724455975880139,,-0.21446260126043984,1373419
rev_5,reversal,positive,0.9707293869519491,0.028308718131211073,0.2614808771827814,0.02724455975880139,0.02724455975880139,0.21446260126043984,1373419
volume_ratio_5_20,liquidity,watch,0.9441000768995895,-0.016299792762572866,-0.21022464858559964,-0.016768137709669763,,-0.19187074046907748,1335743
