factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amount_std_20,liquidity,watch,0.9355245381675943,-0.01678362957547503,-0.14687234898447105,-0.08053258416208621,,-0.46111461811707716,1025551
ret_20,momentum,watch,0.940353812289563,-0.0405260052146156,-0.29455115930986125,-0.07481781958584019,,-0.47464833933410583,1030845
amount_mean_20,liquidity,watch,0.9355245381675943,-0.008900131954704248,-0.07660733795429374,-0.06797398594913638,,-0.3553985693170699,1025551
std_20,risk,negative,0.9334328257456685,-0.008832164997246247,-0.051931657867629884,-0.04736883890729749,0.04736883890729749,-0.21697661356762854,1023258
amplitude_20,risk,negative,0.9355245381675943,0.00029997208313736794,0.0016367710016601037,-0.045089071967719954,0.045089071967719954,-0.19562684242868697,1025551
ret_10,momentum,watch,0.9576886623348546,-0.030267573912183897,-0.2235975277460275,-0.04317013514033597,,-0.274011385717989,1049848
volume_ratio_5_20,liquidity,watch,0.9355245381675943,-0.03145370304586247,-0.40425957293448406,-0.04064724314583796,,-0.44201080343786775,1025551
ret_5,momentum,watch,0.9667652164552909,-0.02881852914874117,-0.22462968239236336,-0.03417812630973983,,-0.22384995853511425,1059798
rev_5,reversal,positive,0.9667652164552909,0.02881852914874117,0.22462968239236336,0.03417812630973983,0.03417812630973983,0.22384995853511425,1059798
corr_ret_volume_20,price_volume,watch,0.9334328257456685,-0.0005432985366759637,-0.007764045831007064,-0.01887615601407541,,-0.21097110945178843,1023258
