factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
ret_5,momentum,watch,0.9091283607236664,-0.026697755920997965,-0.18680428886093545,-0.06338376761793221,,-0.4254896644911364,2654773
rev_5,reversal,positive,0.9091283607236664,0.026697755920997965,0.18680428886093545,0.06338376761793221,0.06338376761793221,0.4254896644911364,2654773
amount_std_20,liquidity,watch,0.8007143517583122,-0.010643337006334382,-0.1479100088859447,-0.04730821790186478,,-0.42895865127450383,2338190
ret_10,momentum,watch,0.9007146942088194,-0.018231882596913634,-0.12290902133550596,-0.04615591538770928,,-0.292991464280148,2630204
ret_20,momentum,watch,0.8871156421118238,-0.021211166825260093,-0.1403841576958593,-0.04294992389929944,,-0.2637759667414096,2590493
amount_mean_20,liquidity,watch,0.8007143517583122,-0.009398094183434949,-0.1305464631642301,-0.03964836941923392,,-0.35245285092633566,2338190
corr_ret_volume_20,price_volume,watch,0.7947300291425382,-0.008260166087064168,-0.09330248445568527,-0.02397248808216979,,-0.2472623248420364,2320715
amplitude_20,risk,negative,0.8007143517583122,0.005555632581924487,0.031543905704521404,-0.023917086848998327,0.023917086848998327,-0.12917892541740095,2338190
volume_ratio_5_20,liquidity,watch,0.8007143517583122,-0.014737656988953317,-0.14426962356445885,-0.022863235188518384,,-0.21288670020310715,2338190
std_20,risk,negative,0.7947300291425382,0.007556372717500825,0.04486803852628638,-0.01877533750348529,0.01877533750348529,-0.10355645292375239,2320715
