factor_name,required_fields,dependency_count,compute_adapter,pit_semantics,dependency_status,research_only
kunquant_alpha101_alpha005_canonical_vwap_v2,"$amount,$close,$open,$volume,$vwap",5,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha011_canonical_vwap_v2,"$amount,$close,$volume,$vwap",4,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha025_canonical_vwap_v2,"$amount,$close,$high,$volume,$vwap",5,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha027_canonical_vwap_v2,"$amount,$volume,$vwap",3,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha041_canonical_vwap_v2,"$amount,$high,$low,$volume,$vwap",5,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha042_canonical_vwap_v2,"$amount,$close,$volume,$vwap",4,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha047_canonical_vwap_v2,"$amount,$close,$high,$volume,$vwap",5,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha050_canonical_vwap_v2,"$amount,$volume,$vwap",3,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha057_canonical_vwap_v2,"$amount,$close,$volume,$vwap",4,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha061_canonical_vwap_v2,"$amount,$volume,$vwap",3,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha062_canonical_vwap_v2,"$amount,$high,$low,$open,$volume,$vwap",6,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha064_canonical_vwap_v2,"$amount,$high,$low,$open,$volume,$vwap",6,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha065_canonical_vwap_v2,"$amount,$open,$volume,$vwap",4,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha066_canonical_vwap_v2,"$amount,$high,$low,$open,$volume,$vwap",6,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha071_canonical_vwap_v2,"$amount,$close,$low,$open,$volume,$vwap",6,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha072_canonical_vwap_v2,"$amount,$high,$low,$volume,$vwap",5,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha073_canonical_vwap_v2,"$amount,$low,$open,$volume,$vwap",5,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha074_canonical_vwap_v2,"$amount,$close,$high,$volume,$vwap",5,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha075_canonical_vwap_v2,"$amount,$low,$volume,$vwap",4,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
