factor_order,factor
1,kunquant_alpha101_alpha005_canonical_vwap_v2
2,kunquant_alpha101_alpha011_canonical_vwap_v2
3,kunquant_alpha101_alpha025_canonical_vwap_v2
4,kunquant_alpha101_alpha027_canonical_vwap_v2
5,kunquant_alpha101_alpha041_canonical_vwap_v2
6,kunquant_alpha101_alpha042_canonical_vwap_v2
7,kunquant_alpha101_alpha047_canonical_vwap_v2
8,kunquant_alpha101_alpha050_canonical_vwap_v2
9,kunquant_alpha101_alpha057_canonical_vwap_v2
10,kunquant_alpha101_alpha061_canonical_vwap_v2
11,kunquant_alpha101_alpha062_canonical_vwap_v2
12,kunquant_alpha101_alpha064_canonical_vwap_v2
13,kunquant_alpha101_alpha065_canonical_vwap_v2
14,kunquant_alpha101_alpha066_canonical_vwap_v2
15,kunquant_alpha101_alpha071_canonical_vwap_v2
16,kunquant_alpha101_alpha072_canonical_vwap_v2
17,kunquant_alpha101_alpha073_canonical_vwap_v2
18,kunquant_alpha101_alpha074_canonical_vwap_v2
19,kunquant_alpha101_alpha075_canonical_vwap_v2
20,kunquant_alpha101_alpha077_canonical_vwap_v2
21,kunquant_alpha101_alpha078_canonical_vwap_v2
22,kunquant_alpha101_alpha081_canonical_vwap_v2
23,kunquant_alpha101_alpha083_canonical_vwap_v2
24,kunquant_alpha101_alpha084_canonical_vwap_v2
25,kunquant_alpha101_alpha086_canonical_vwap_v2
26,kunquant_alpha101_alpha094_canonical_vwap_v2
27,kunquant_alpha101_alpha096_canonical_vwap_v2
28,kunquant_alpha101_alpha098_canonical_vwap_v2
29,kunquant_alpha101_alpha002
30,kunquant_alpha101_alpha003
31,kunquant_alpha101_alpha004
32,kunquant_alpha101_alpha005
33,kunquant_alpha101_alpha006
34,kunquant_alpha101_alpha008
35,kunquant_alpha101_alpha009
36,kunquant_alpha101_alpha010
37,kunquant_alpha101_alpha011
38,kunquant_alpha101_alpha012
39,kunquant_alpha101_alpha013
40,kunquant_alpha101_alpha014
41,kunquant_alpha101_alpha015
42,kunquant_alpha101_alpha016
43,kunquant_alpha101_alpha017
44,kunquant_alpha101_alpha018
45,kunquant_alpha101_alpha020
46,kunquant_alpha101_alpha022
47,kunquant_alpha101_alpha024
48,kunquant_alpha101_alpha025
49,kunquant_alpha101_alpha026
50,kunquant_alpha101_alpha028
51,kunquant_alpha101_alpha029
52,kunquant_alpha101_alpha030
53,kunquant_alpha101_alpha031
54,kunquant_alpha101_alpha033
55,kunquant_alpha101_alpha034
56,kunquant_alpha101_alpha035
57,kunquant_alpha101_alpha038
58,kunquant_alpha101_alpha040
59,kunquant_alpha101_alpha041
60,kunquant_alpha101_alpha042
61,kunquant_alpha101_alpha043
62,kunquant_alpha101_alpha044
63,kunquant_alpha101_alpha045
64,kunquant_alpha101_alpha046
65,kunquant_alpha101_alpha047
66,kunquant_alpha101_alpha049
67,kunquant_alpha101_alpha050
68,kunquant_alpha101_alpha051
69,kunquant_alpha101_alpha053
70,kunquant_alpha101_alpha054
71,kunquant_alpha101_alpha055
72,kunquant_alpha101_alpha057
73,kunquant_alpha101_alpha060
74,kunquant_alpha101_alpha062
75,kunquant_alpha101_alpha064
76,kunquant_alpha101_alpha066
77,kunquant_alpha101_alpha071
78,kunquant_alpha101_alpha072
79,kunquant_alpha101_alpha073
80,kunquant_alpha101_alpha074
81,kunquant_alpha101_alpha077
82,kunquant_alpha101_alpha078
83,kunquant_alpha101_alpha083
84,kunquant_alpha101_alpha084
85,kunquant_alpha101_alpha085
86,kunquant_alpha101_alpha088
87,kunquant_alpha101_alpha092
88,kunquant_alpha101_alpha094
89,kunquant_alpha101_alpha095
90,kunquant_alpha101_alpha096
91,kunquant_alpha101_alpha098
92,kunquant_alpha101_alpha101
93,kunquant_alpha101_alpha001
94,kunquant_alpha101_alpha007
95,kunquant_alpha101_alpha021
96,kunquant_alpha101_alpha023
97,kunquant_alpha101_alpha027
98,kunquant_alpha101_alpha061
99,kunquant_alpha101_alpha065
100,kunquant_alpha101_alpha068
101,kunquant_alpha101_alpha075
102,kunquant_alpha101_alpha081
103,kunquant_alpha101_alpha086
104,kunquant_alpha101_alpha099
105,alpha158_BETA10
106,alpha158_BETA20
107,alpha158_BETA30
108,alpha158_BETA5
109,alpha158_BETA60
110,alpha158_CNTD10
111,alpha158_CNTD20
112,alpha158_CNTD30
113,alpha158_CNTD5
114,alpha158_CNTD60
115,alpha158_CNTN10
116,alpha158_CNTN20
117,alpha158_CNTN30
118,alpha158_CNTN60
119,alpha158_CNTP10
120,alpha158_CNTP20
121,alpha158_CNTP30
122,alpha158_CNTP5
123,alpha158_CNTP60
124,alpha158_CORD10
125,alpha158_CORD20
126,alpha158_CORD30
127,alpha158_CORD5
128,alpha158_CORD60
129,alpha158_CORR10
130,alpha158_CORR20
131,alpha158_CORR30
132,alpha158_CORR5
133,alpha158_CORR60
134,alpha158_HIGH0
135,alpha158_IMAX10
136,alpha158_IMAX20
137,alpha158_IMAX30
138,alpha158_IMAX60
139,alpha158_IMIN10
140,alpha158_IMIN20
141,alpha158_IMIN30
142,alpha158_IMIN5
143,alpha158_IMIN60
144,alpha158_IMXD10
145,alpha158_IMXD20
146,alpha158_IMXD30
147,alpha158_IMXD5
148,alpha158_IMXD60
149,alpha158_KLEN
150,alpha158_KLOW
151,alpha158_KLOW2
152,alpha158_KMID
153,alpha158_KMID2
154,alpha158_KSFT
155,alpha158_KSFT2
156,alpha158_KUP
157,alpha158_KUP2
158,alpha158_LOW0
159,alpha158_MA10
160,alpha158_MA20
161,alpha158_MA30
162,alpha158_MA5
163,alpha158_MA60
164,alpha158_MAX10
165,alpha158_MAX20
166,alpha158_MAX30
167,alpha158_MAX5
168,alpha158_MAX60
169,alpha158_MIN10
170,alpha158_MIN20
171,alpha158_MIN30
172,alpha158_MIN5
173,alpha158_MIN60
174,alpha158_OPEN0
175,alpha158_QTLD10
176,alpha158_QTLD20
177,alpha158_QTLD30
178,alpha158_QTLD5
179,alpha158_QTLD60
180,alpha158_QTLU10
181,alpha158_QTLU20
182,alpha158_QTLU30
183,alpha158_QTLU5
184,alpha158_QTLU60
185,alpha158_RANK10
186,alpha158_RANK20
187,alpha158_RANK30
188,alpha158_RANK60
189,alpha158_RESI10
190,alpha158_RESI20
191,alpha158_RESI30
192,alpha158_RESI5
193,alpha158_RESI60
194,alpha158_ROC10
195,alpha158_ROC20
196,alpha158_ROC30
197,alpha158_ROC5
198,alpha158_ROC60
199,alpha158_RSQR10
200,alpha158_RSQR20
201,alpha158_RSQR30
202,alpha158_RSQR5
203,alpha158_RSQR60
204,alpha158_RSV10
205,alpha158_RSV20
206,alpha158_RSV30
207,alpha158_RSV5
208,alpha158_RSV60
209,alpha158_STD10
210,alpha158_STD20
211,alpha158_STD30
212,alpha158_STD5
213,alpha158_STD60
214,alpha158_SUMD10
215,alpha158_SUMD20
216,alpha158_SUMD30
217,alpha158_SUMD5
218,alpha158_SUMD60
219,alpha158_SUMN10
220,alpha158_SUMN20
221,alpha158_SUMN30
222,alpha158_SUMN5
223,alpha158_SUMN60
224,alpha158_SUMP10
225,alpha158_SUMP20
226,alpha158_SUMP30
227,alpha158_SUMP5
228,alpha158_SUMP60
229,alpha158_VMA10
230,alpha158_VMA20
231,alpha158_VMA30
232,alpha158_VMA5
233,alpha158_VMA60
234,alpha158_VSTD10
235,alpha158_VSTD20
236,alpha158_VSTD30
237,alpha158_VSTD5
238,alpha158_VSTD60
239,alpha158_VSUMD10
240,alpha158_VSUMD20
241,alpha158_VSUMD30
242,alpha158_VSUMD5
243,alpha158_VSUMD60
244,alpha158_VSUMN10
245,alpha158_VSUMN20
246,alpha158_VSUMN30
247,alpha158_VSUMN5
248,alpha158_VSUMN60
249,alpha158_VSUMP10
250,alpha158_VSUMP20
251,alpha158_VSUMP30
252,alpha158_VSUMP5
253,alpha158_VSUMP60
254,alpha158_VWAP0
255,alpha158_WVMA10
256,alpha158_WVMA20
257,alpha158_WVMA30
258,alpha158_WVMA5
259,alpha158_WVMA60
260,alpha158_CNTN5
261,alpha158_IMAX5
262,alpha158_RANK5
263,alpha360_CLOSE1
264,alpha360_CLOSE10
265,alpha360_CLOSE11
266,alpha360_CLOSE12
267,alpha360_CLOSE13
268,alpha360_CLOSE14
269,alpha360_CLOSE15
270,alpha360_CLOSE16
271,alpha360_CLOSE17
272,alpha360_CLOSE18
273,alpha360_CLOSE19
274,alpha360_CLOSE2
275,alpha360_CLOSE20
276,alpha360_CLOSE21
277,alpha360_CLOSE22
278,alpha360_CLOSE23
279,alpha360_CLOSE24
280,alpha360_CLOSE25
281,alpha360_CLOSE26
