evidence,stage_id,artifact_id,critical_blocked,issue_count
catalog,full_research_factor_catalog_669_v1,full_research_factor_catalog_669_v1:4916ff89ed2853a2f69d05ede489d9ad44036c3424ddd384801061968b7efc44,0,0
universe,point_in_time_universe_v1,point_in_time_universe_v1:fd474dd597b3a967d9af3d8ae4dd47e086da0d30e8387e2ac2df622aa481d07f,0,0
matrix,full_research_feature_matrix_v1,full_research_feature_matrix_v1:b7cde3ebe279b91a2863147312128240a22677568648433db683b767825ef384,0,0
labels,full_research_labels_v1,full_research_labels_v1:eb21e11cd5a7e3b99722fbcc4c67b012680b7e9ba09bd0d885c984fc60b4fb3e,0,0
daily_ic,full_research_daily_ic_v1,full_research_daily_ic_v1:b73d32984d0a2204edc1d55b9b56e24d174f15ee90bb800caad2ea3561166e4a,0,0
splits,purged_walk_forward_v1,purged_walk_forward_v1:c67bd55ece2e6972962f5687ca971cd3c1cf5379dd616402a92836fc1314a55e,0,0
fdr,factor_multiple_testing_v1,factor_multiple_testing_v1:33ed4935305ecfff600a4d1a3b35349f7f2732c4beb4e657b4ca75ab11e4eb46,0,0
stability,factor_rolling_stability_v1,factor_rolling_stability_v1:b1c28af58cd2feb36e3b7ceaa050a0f2619d37a250f668285c1976807a6780a3,0,0
clustering,factor_clustering_v1,factor_clustering_v1:be2a91c7207b17504378273ab703f88e57de11ab7b343530715aba495ee7a507,0,0
score,factor_score_construction_v1,factor_score_construction_v1:84ff612e8946efc7207ef1471af261ec04c97acc3265b44ea334c2a9d00d2f52,0,0
execution,qlib_exchange_full_research_v1,qlib_exchange_full_research_v1:6a9061d8a752e1f7172b8fdd3fbe1a4995ed396cc41db15bfb7383c7c3853f6c,0,0
