batch_id,factor,ic_days,mean_rank_ic,std_rank_ic,min_cross_section,median_cross_section,rank_ic_ir
alpha158_001,alpha158_CNTD10,1273,-0.021246594738915003,0.1163444799499346,0,1994.0,-0.1826179871022488
alpha158_001,alpha158_CNTD20,1273,-0.03160317075215183,0.1251321138267035,0,1994.0,-0.2525584343274127
alpha158_001,alpha158_CNTD30,1273,-0.04083073780003455,0.1325457006337099,0,1994.0,-0.3080502619460311
alpha158_001,alpha158_CNTD5,1273,-0.014299834173481638,0.1128008748250401,0,1994.0,-0.12677059637756719
alpha158_001,alpha158_CNTD60,1273,-0.03188164666704174,0.13745147195790905,0,1994.0,-0.23194838303954043
alpha158_001,alpha158_CNTN10,1273,0.016603506367975224,0.11525021080518204,0,1994.0,0.14406486766468174
alpha158_001,alpha158_CNTN20,1273,0.024883694466731266,0.1229218358156249,0,1994.0,0.20243510277584253
alpha158_001,alpha158_CNTN30,1273,0.031809275003796364,0.1298625181833848,0,1994.0,0.24494577379807955
alpha158_001,alpha158_CNTN60,1273,0.020336412509746386,0.13123508235303216,0,1994.0,0.15496170799085507
alpha158_001,alpha158_CNTP10,1273,-0.025753237805669647,0.11528952052375915,0,1994.0,-0.2233788265288375
alpha158_001,alpha158_CNTP20,1273,-0.037676998864023044,0.12509593389674323,0,1994.0,-0.3011848402292789
alpha158_001,alpha158_CNTP30,1273,-0.04798696132367514,0.1331271580353269,0,1994.0,-0.36045959390901455
alpha158_001,alpha158_CNTP5,1273,-0.01779076851843233,0.11151902982034267,0,1994.0,-0.15953123468786704
alpha158_001,alpha158_CNTP60,1273,-0.04106732742221818,0.14210226215349542,0,1994.0,-0.28899840720240083
alpha158_001,alpha158_KLEN,1273,-0.06876218837056594,0.1817896842171619,0,1994.0,-0.3782513219420314
alpha158_001,alpha158_KLOW,1273,-0.03407627843864362,0.112376580771332,0,1994.0,-0.30323291743484604
alpha158_001,alpha158_KLOW2,1273,0.0051392127684493005,0.08794053971932958,0,1994.0,0.05843963187912624
alpha158_001,alpha158_KMID,1273,-0.014103202837446998,0.14359609938103712,0,1994.0,-0.09821438672943107
alpha158_001,alpha158_KMID2,1273,-0.011266721117846717,0.13258496525182575,0,1994.0,-0.08497736599656852
alpha158_001,alpha158_KSFT,1273,-0.007236103250391363,0.14137871774667957,0,1994.0,-0.051182408255794995
alpha158_001,alpha158_KSFT2,1273,-0.008397329268802205,0.11920930358465244,0,1994.0,-0.07044189519016128
alpha158_001,alpha158_KUP,1273,-0.034808749068140396,0.12049898733084671,0,1994.0,-0.2888717145196261
alpha158_001,alpha158_KUP2,1273,-0.0007241644688623402,0.09356524326234293,0,1994.0,-0.007739673874751669
alpha158_001,alpha158_SUMD10,1273,-0.03337167000328831,0.1425614622094753,0,1994.0,-0.23408619332378225
alpha158_001,alpha158_SUMD20,1273,-0.049946594812457036,0.14842071910811405,0,1994.0,-0.33652036664823365
