batch_id,factor,ic_days,mean_rank_ic,std_rank_ic,min_cross_section,median_cross_section,rank_ic_ir
alpha101,kunquant_alpha101_alpha005,1273,0.0255569845547951,0.10256540380465293,0,1990.0,0.24917743807133236
alpha101,kunquant_alpha101_alpha012,1273,0.02462944819955694,0.06585971807459975,0,1993.0,0.37396832114675915
alpha101,kunquant_alpha101_alpha020,1273,-0.0248945427235049,0.09069608257192614,0,1993.0,-0.27448310905559115
alpha101,kunquant_alpha101_alpha029,1273,0.01569953163761107,0.11617266508323722,0,1989.0,0.13513963569969256
alpha101,kunquant_alpha101_alpha038,1273,0.011589471709184831,0.13272109591116463,0,1990.0,0.08732200129617762
alpha101,kunquant_alpha101_alpha046,1273,0.013088970639823843,0.10663003920594422,0,1994.0,0.12275125037273908
alpha101,kunquant_alpha101_alpha054,1273,-0.0003953879238619079,0.11189666059092103,0,1994.0,-0.0035335095951378958
alpha101,kunquant_alpha101_alpha071,1273,-0.016654775681653373,0.08110208522817672,0,1985.5,-0.20535570244335868
alpha101,kunquant_alpha101_alpha083,1273,0.0589344397747423,0.1322931314802862,0,1989.0,0.4454837459458315
alpha101,kunquant_alpha101_alpha095,1273,-0.0004922169944969609,0.03450487369349105,0,1994.0,-0.014265144074119942
alpha158,alpha158_BETA30,1273,-0.07116451802328186,0.16399395515545756,0,1994.0,-0.4339459826785791
alpha158,alpha158_CNTD30,1273,-0.04083073780003455,0.1325457006337099,0,1994.0,-0.3080502619460311
alpha158,alpha158_CNTN30,1273,0.03180927500379636,0.12986251818338482,0,1994.0,0.24494577379807944
alpha158,alpha158_CNTP5,1273,-0.01779076851843233,0.11151902982034267,0,1994.0,-0.15953123468786704
alpha158,alpha158_CORD30,1273,-0.04527304710603038,0.11241139676701727,0,1994.0,-0.4027442804563922
alpha158,alpha158_CORR30,1273,-0.030518552891105236,0.12710113309438315,0,1994.0,-0.2401123589389457
alpha158,alpha158_IMAX60,1273,-0.04072705436327857,0.12899663091021585,0,1994.0,-0.31572184541490383
alpha158,alpha158_IMXD10,1273,-0.029576310125347727,0.12590495456380366,0,1994.0,-0.23490981929833127
alpha158,alpha158_KLOW2,1273,0.005139212768449301,0.08794053971932958,0,1994.0,0.05843963187912625
alpha158,alpha158_KSFT2,1273,-0.008397329268802205,0.11920930358465247,0,1994.0,-0.07044189519016127
alpha158,alpha158_MA10,1273,0.03239979731770926,0.15169647521396074,0,1994.0,0.21358305967235477
alpha158,alpha158_MAX20,1273,-0.008188376815051635,0.1647786156470161,0,1994.0,-0.04969320067958657
alpha158,alpha158_MIN20,1273,0.06468585706991467,0.1680866390661284,0,1994.0,0.38483640002145597
alpha158,alpha158_OPEN0,1273,0.014103557233544476,0.14359606976634232,0,1994.0,0.09821687499172926
alpha158,alpha158_QTLD30,1273,0.07290373380198371,0.164859989712741,0,1994.0,0.44221605211194215
alpha158,alpha158_QTLU5,1273,0.0038717537810439356,0.14926853697103343,0,1994.0,0.02593817732530785
alpha158,alpha158_RANK60,1273,-0.0633195834539746,0.15661968788066236,0,1994.0,-0.40428878585316474
alpha158,alpha158_ROC10,1273,0.04349829882321621,0.1521529480736409,0,1992.0,0.28588535006343324
alpha158,alpha158_RSQR10,1273,0.011123645897776023,0.0919503481110164,0,1994.0,0.12097448379799358
alpha158,alpha158_RSV20,1273,-0.03414271080014516,0.1412656335174286,0,1994.0,-0.2416915561839944
alpha158,alpha158_STD30,1273,-0.0422231596818467,0.19677903210063963,0,1994.0,-0.21457143696210637
alpha158,alpha158_SUMD30,1273,-0.063146172323192,0.15882815162318187,0,1994.0,-0.39757544036025577
alpha158,alpha158_SUMN30,1273,0.06314616369708971,0.15882814383078378,0,1994.0,0.39757540555511317
alpha158,alpha158_SUMP30,1273,-0.06314616190463837,0.15882813793214562,0,1994.0,-0.3975754090349885
