selection_source,name,category,source_project,source_file,source_function,source_commit,license,expected_direction,required_fields,labels,stage,enabled,runnable,compute_adapter,registry_name,notes
alpha158,alpha158_KLOW2,alpha158_kbar,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$high,$low,$open","label_10d_t1,label_20d_t1",alpha158_first20_v4_smoke_passed,True,True,qlib_expression_frame_v1,alpha158_KLOW2,"Qlib Alpha158 expression: (Less($open, $close)-$low)/($high-$low+1e-12)"
alpha158,alpha158_KSFT2,alpha158_kbar,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$high,$low","label_10d_t1,label_20d_t1",alpha158_first20_v4_smoke_passed,True,True,qlib_expression_frame_v1,alpha158_KSFT2,Qlib Alpha158 expression: (2*$close-$high-$low)/($high-$low+1e-12)
alpha158,alpha158_CNTD30,alpha158_price_momentum_balance,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_CNTD30,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30)"
alpha158,alpha158_CNTN30,alpha158_price_momentum_balance,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_CNTN30,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 30)"
alpha158,alpha158_CNTP5,alpha158_price_momentum_balance,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_CNTP5,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 5)"
alpha158,alpha158_SUMD30,alpha158_price_momentum_balance,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_SUMD30,"Qlib Alpha158 expression: (Sum(Greater($close-Ref($close, 1), 0), 30)-Sum(Greater(Ref($close, 1)-$close, 0), 30))/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)"
alpha158,alpha158_SUMN30,alpha158_price_momentum_balance,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_SUMN30,"Qlib Alpha158 expression: Sum(Greater(Ref($close, 1)-$close, 0), 30)/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)"
alpha158,alpha158_SUMP30,alpha158_price_momentum_balance,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_SUMP30,"Qlib Alpha158 expression: Sum(Greater($close-Ref($close, 1), 0), 30)/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)"
alpha158,alpha158_CORD30,alpha158_price_volume_correlation,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$volume","label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_CORD30,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)"
alpha158,alpha158_CORR30,alpha158_price_volume_correlation,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$volume","label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_CORR30,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 30)"
