selection_source,category,expected_direction,factor_count
alpha101,alpha101,watch,10
alpha158,alpha158_kbar,watch,2
alpha158,alpha158_price_momentum_balance,watch,6
alpha158,alpha158_price_volume_correlation,watch,2
alpha158,alpha158_price_volume_lag,watch,1
alpha158,alpha158_rolling_price,watch,13
alpha158,alpha158_volume_liquidity,watch,6
alpha360,alpha360_close_window,watch,3
alpha360,alpha360_high_window,watch,3
alpha360,alpha360_low_window,watch,3
alpha360,alpha360_open_window,watch,3
alpha360,alpha360_volume_window,watch,3
alpha360,alpha360_vwap_window,watch,3
project_basic,liquidity,watch,2
project_basic,momentum,watch,2
project_basic,price_volume,watch,1
project_basic,reversal,positive,1
project_basic,risk,negative,2
ta,ta_momentum,watch,3
ta,ta_trend,watch,6
ta,ta_volatility,watch,3
ta,ta_volume,watch,2
