factor,source_family,dependency_class,filter_only_reuse_allowed,common_key_count,bit_identical_count,difference_count,bit_identical,max_absolute_difference
alpha158_CNTD10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTD20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTD30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTD5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTD60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTN10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTN20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTN30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTN60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTP10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTP20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTP30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTP5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CNTP60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_KLEN,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_KLOW,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_KLOW2,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_KMID,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_KMID2,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_KSFT,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_KSFT2,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_KUP,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_KUP2,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_SUMD10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_SUMD20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CORD10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CORD20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CORD30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CORD5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CORD60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CORR10,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CORR20,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CORR30,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CORR5,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
alpha158_CORR60,alpha158,pure_time_series,True,2587671,2587671,0,True,0.0
