factor,source_family,dependency_class,max_lookback_trading_days,state_propagation_rule,recompute_policy,illegal_input_date_count,affected_instrument_count,materialization_mode,recompute_start,recompute_end
kunquant_alpha101_alpha002,alpha101,mixed,6,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha003,alpha101,mixed,10,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha004,alpha101,mixed,9,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha005,alpha101,mixed,10,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha006,alpha101,pure_time_series,10,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha008,alpha101,mixed,10,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha009,alpha101,pure_time_series,5,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha010,alpha101,pure_time_series,4,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha011,alpha101,mixed,3,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha012,alpha101,pure_time_series,1,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha013,alpha101,mixed,5,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha014,alpha101,mixed,10,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha015,alpha101,mixed,3,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha016,alpha101,mixed,5,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha017,alpha101,mixed,20,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha018,alpha101,mixed,10,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha020,alpha101,mixed,1,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha022,alpha101,mixed,20,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha024,alpha101,pure_time_series,100,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha025,alpha101,mixed,20,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha026,alpha101,pure_time_series,5,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha028,alpha101,mixed,20,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha029,alpha101,mixed,6,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha030,alpha101,mixed,20,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha031,alpha101,mixed,20,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha033,alpha101,cross_sectional,0,same_date_universe,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha034,alpha101,mixed,5,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha035,alpha101,pure_time_series,32,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha038,alpha101,mixed,10,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha040,alpha101,mixed,10,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha041,alpha101,pure_time_series,0,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha042,alpha101,cross_sectional,0,same_date_universe,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha043,alpha101,pure_time_series,20,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha044,alpha101,mixed,5,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha045,alpha101,mixed,20,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha046,alpha101,pure_time_series,20,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha047,alpha101,mixed,20,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha049,alpha101,pure_time_series,20,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha050,alpha101,mixed,5,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha051,alpha101,pure_time_series,20,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha053,alpha101,pure_time_series,9,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha054,alpha101,pure_time_series,0,instrument_local_history_only,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha055,alpha101,mixed,12,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha057,alpha101,mixed,30,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha060,alpha101,mixed,10,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha062,alpha101,mixed,22,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha064,alpha101,mixed,120,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
kunquant_alpha101_alpha066,alpha101,mixed,11,same_date_universe_and_instrument_history,mandatory_recompute_audit,235,29,mandatory_full_interval_recompute,2020-09-01,2026-06-09
