batch_id,source,mode,status,factor_count,row_count,input_hash,output_path,output_sha256,output_size_bytes,runtime_seconds,cache_hit,key_schema_version,matrix_v3_output_sha256,error
alpha158_001,alpha158,filter_only_reuse,pass,25,2587671,b159f263ad7e1b76df7b6d35bffe033638fe189a65b7f69138c947040137a3ff,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_001.parquet,ebfe02588ebe3027938c44a5fb5fa799674930be4273dd0eb20d9926e1e76b74,134980559,8.255217699999776,True,4,87e3074b28f9271351a7850a23ad59ac78f182c082310494b37885baa57d3438,
alpha158_002,alpha158,filter_only_reuse,pass,25,2587671,149c02497de34ffff32dc7071ef1a6553b6e7ef2a06ce1345d1298d6c4f7213b,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_002.parquet,b874d2b7d2965e491f0ace16f523f467ae047a4f164769b4c0420fad05424080,267056747,8.513679300000149,True,4,4893fcd7d0334b070be8f94398e6f3ab2a10da2c03dbc2319eb286089ae8ed61,
alpha158_003,alpha158,filter_only_reuse,pass,25,2587671,3783b63f5cb0cdc948051672421300b1c735c793fbd78f16949fd16b1da621a2,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_003.parquet,bd5616ba8258cf0718b2c967f90b18e5eac1ce01e73463c438ea96e663f4926c,135652080,7.210071099999823,True,4,d4d7ae83607990b322814076111e5f68432315c64ab78ed88a8a2eaf188be2ba,
alpha158_004,alpha158,filter_only_reuse,pass,25,2587671,11ed123e916d9c0e607f9e0fc856559e53053bec86e8fddb86c8f5e477d1d8b3,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_004.parquet,3adac2bb1f377c010b5683733285fe611a9cda84b0a796d5b6cf68ddb07aedb8,218612575,8.017633299999943,True,4,4ee3994b6a0220c963033a0f329dd513de2479cb53c0beef1fa8f0423d98f770,
alpha158_005,alpha158,filter_only_reuse,pass,25,2587671,50913ef993c63f8ce59f6b3429c05530843b353f818109d771c597caf6d47909,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_005.parquet,f543071ebf7795cbd9e71d2208da735a870382f744177b7485803c31d9467efd,271369928,7.63147280000021,True,4,85bdb5ee13ad9c5d7e2670a422a94f4c3d9b125648fc4413c9821e16a1debdeb,
alpha158_006,alpha158,filter_only_reuse,pass,25,2587671,b9d1ef5f99106d6c7d0baed5b99090eba6e972a81b7b3246fba15534fd394873,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_006.parquet,7cbb1aa4549f81dccfe363106167ba54bb10a328116d17eca3211e25c5490ae5,270079657,7.7406526000004305,True,4,158368fed0aa60d19b627ef22a1b6b4f89579c1ddca0bf77992361b11ee1e7a6,
alpha158_007,alpha158,filter_only_reuse,pass,5,2587671,07d170209031e91c4b6e5eb030808a113c7e2a80e4a80b53db00399f47877c06,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_007.parquet,1135db212c63c374b15566750f41bc26337633fc91b29132391769ca3c5f576e,53380486,4.038340699999935,True,4,b8977f5807bd90f1d4bf86decc8742e89619d6d2abe36c88b7058475188a9acb,
alpha360_001,alpha360,filter_only_reuse,pass,25,2587671,35581ba368e8b6d0186223cca6c4feb7f739ab164d5cc11a956661588b32c197,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_001.parquet,6ccaf5fc7a8cbf6b603cb6f2ced291bb346f7c092312b05909811b9723b18c59,255101527,9.69339919999993,True,4,fb03e3343ff6615a15a29772a967e0b0ee9baf3d62b2627944fd6deb31c60f23,
alpha360_002,alpha360,filter_only_reuse,pass,25,2587671,702dbbd419fcbfb7e413e29b8468a6e6c7646150fa17aca85551dfc24eae5774,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_002.parquet,5a03d7dbaaa9b50080405881d9b6100c2c9a36f2c220bba2e960ddd7cfc790c7,258007285,9.342095699999843,True,4,eb5ee2eb90bd6f1392411165a9fd15415fb60dec9ad8f88143c42bb5ba374184,
alpha360_003,alpha360,filter_only_reuse,pass,25,2587671,6c0f6bd11e4931ce979205c278fe17cbf166ae873b9cbfa5aa274a78ddafec61,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_003.parquet,447e5b9c11ed52cb6243e2f91817e18682924c35b959cda3ffc2362096e96fc8,253427236,8.784001099999841,True,4,e33176a4dd413d14bf5fbc234f1b96588953b642252f83abb0341b0dcc0b511e,
alpha360_004,alpha360,filter_only_reuse,pass,25,2587671,b9953402224cb573596aa6f3a68151826c8aaf46435a00d1fef0ff603cc7ea05,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_004.parquet,50798ca687a4d87b9200e1532244051ff2167be506d053e38d35e248db1019bb,257828414,9.131156900000406,True,4,f6b886aa422b8165a30e4e8b80a3cbb87793bc1a0936b5ef5f2a5573fb77c95f,
alpha360_005,alpha360,filter_only_reuse,pass,25,2587671,97531f1a723214bbd80b1960099428da9b97423df2753f2712d0528b8a6e0294,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_005.parquet,da3e5a6df55033c0e4439fe8add7047215c7ae15ed9be86f8071a7a7a2a38426,255653569,8.601356499999838,True,4,f90013f18637d19ad0504916a2a20441810f6ea5f3fb6e744e25d5da61281fc9,
alpha360_006,alpha360,filter_only_reuse,pass,25,2587671,972cbbd3ffe4efa8c784bc262be9a00d5f6cf00ad236b7f99363bf2552ced76e,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_006.parquet,a8ed629d83857c4e2055f0b84d5e96b60d42786775546ee94166885e0d8208ec,257242808,8.23738110000022,True,4,3e8979767614f1a558e1171e912541213cc13d84bb53a930947ce34394149939,
alpha360_007,alpha360,filter_only_reuse,pass,25,2587671,539a8096157893cac0923685fd1e99bd0121852974c8413fdf0d9fb49be0242e,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_007.parquet,d7fb4019c483fb18a2ab4dbaba47fde705a343757077b4946b76dc97556921de,258946666,8.805210999999872,True,4,df4695db13173cbff19988dbce5a8d2aed98fa74bc33801116f22ca7647faaf8,
alpha360_008,alpha360,filter_only_reuse,pass,25,2587671,39ec82f2d8f54998d09010ae90e52c60c6adf6b5f269110cdee9f8146bbfcf13,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_008.parquet,edd5599a209ef94c69d2279dc0d58b5b7ad3912ff2c57d799cb89bcdc0a649c4,254839896,7.999357300000156,True,4,ea3c8040412984b08d33faf44f6d664c8a72e9d895a219bc9c8ee2e02d07b350,
alpha360_009,alpha360,filter_only_reuse,pass,25,2587671,6a728b80f67a114b1691866b9efa3cb6c05015efa26bf501ac4aa870782ef2b1,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_009.parquet,839c1d1d1198fa6099bc646cacfff1a78c2542482576350a0c6a06cfd44d04b0,258105334,7.9238391999997475,True,4,94d5991688471a0f2c86551cfd896b83dafee8ea4afb51509d849f10047c6324,
alpha360_010,alpha360,filter_only_reuse,pass,25,2587671,b677402d0862459ccd5c4195bc8a7c575132c6322b64a167fecc99b1ab087612,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_010.parquet,b3d77a9d139b0ef5501c48d7722d5bc281d8936da80d29a0083067c526947194,263983806,7.625312099999974,True,4,a0b79e42974de0760947a2ac7c21a9a24fd2e6bcf6c1fa9b95f6ea95b3578354,
alpha360_011,alpha360,filter_only_reuse,pass,25,2587671,1dc1cfda5cbdb360824ac73397c4f36455097ff00cd7920254b9538d62d48278,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_011.parquet,fa3ef37a0ac65df9c1249aa6026a530053fc0f58f66ceac9f7f7087d1ab5f36e,272346358,8.03464490000033,True,4,a1f49d86432e46e2d68167bb79f7ed1b414d0ac4714aced6fc7ae06e93f28496,
alpha360_012,alpha360,filter_only_reuse,pass,25,2587671,d80b1017e4a1f404ebf222e7c93eba8b7c2f0262f7044218a4b45b830db7c0c8,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_012.parquet,f9718e692e50397502d136ca446c81afff548af5b33d1ac563a247258554d536,270007151,7.679547100000036,True,4,f9a71d31391e7455cb2dc736f52afbf00f368836c2b24b1689254d04a5d478a1,
alpha360_013,alpha360,filter_only_reuse,pass,25,2587671,20cef58f13eb1154f9f205d08e436c3f5feb8cbc8d26a881d6b994f283f5495b,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_013.parquet,29c460eb9e7664011695027c6a17b4c828b2979cb29d35a6bcc4a588caecb812,256538488,8.468123999999989,True,4,43a45e74507ce8cf54ccead708458b2328f4f58209fca164c4e68686c2a16551,
alpha360_014,alpha360,filter_only_reuse,pass,25,2587671,f4707c5ea56a2c0c077dd09e609c55ac3be1056055943d1ab395e59c757b0b1a,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_014.parquet,28c2b8d967f03a0a8baf05a2725dbfd03f51208c37c7bb1d79c982c4c589bccd,258636120,9.005309399999987,True,4,5635818d8a5aea0a050f266df56132e3f3cca717361718cfc742a33a299718bc,
alpha360_015,alpha360,filter_only_reuse,pass,8,2587671,8f24d2daa1135d97afe65377b2854d0cf1d5e9d29fe0f49d6b8ca2f73242327c,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_015.parquet,59970ef1529feb2232e52322988574f78cfaf275ac81e84341e738d5b736aa0c,82694167,5.290845699999863,True,4,e661a21b800813380596b46484c67a4a361ec27bce84c7571c9918ec85bb0f7c,
ta_001,ta,filter_only_reuse,pass,25,2587671,bb15c338ea8026558ff2003719d8ff4e75a2caac84749df4126a89aabc7488a7,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/ta_001.parquet,727798c0ec76387b2a2e6bc6ec2c1de4a963344631f9bb88042d0851f3d8ab1e,426173279,9.634345000000394,True,4,4bbb378f700654d935e8b148725ab6637b49a90814afd4986ba813e46f799558,
