evidence,stage_id,artifact_id,critical_blocked,issue_count
catalog,full_research_factor_trial_catalog_v1,full_research_factor_trial_catalog_v1:e6055c6bcce6e8e1011b093e7447d8b7280b62c6454e72846d30e36cbc35bb84,0,0
universe,point_in_time_universe_v1,point_in_time_universe_v1:fd474dd597b3a967d9af3d8ae4dd47e086da0d30e8387e2ac2df622aa481d07f,0,0
matrix,full_research_feature_matrix_v1,full_research_feature_matrix_v1:212a67c647825aa26bd112cb310749e470b1dbbcd4c542979ae4d91860f39b47,0,0
labels,full_research_labels_v1,full_research_labels_v1:c1406397e6a7a5e8a615e01e00a56fbb5188c849dc658570343ffe206dd2b865,0,0
daily_ic,full_research_daily_ic_v1,full_research_daily_ic_v1:1ce6399aa2ce61dce4678f89ab96eb0efebd5bcde38d5c4d8909ccb4fd55f041,0,0
splits,purged_walk_forward_v1,purged_walk_forward_v1:a0ea6f203056c0be3260e560661a5f6e7d1213d4106527127ece1c3323cf39aa,0,0
fdr,factor_multiple_testing_v1,factor_multiple_testing_v1:2075e16671d59bfb2fa87e783d138163c6507640840d4b33be32e43ae8ec951f,0,0
stability,factor_rolling_stability_v1,factor_rolling_stability_v1:aad7282979272be9fec027e3f6078f9bc071058184fa3faead63ee122f67e6cf,0,0
clustering,factor_clustering_v1,factor_clustering_v1:5f81fef57f058b61ceac1fe1557b0146333720d2eeac8703ece0456d502f7b31,0,0
score,factor_score_construction_v1,factor_score_construction_v1:4eb1ff773d53b66b94c5f52e113383de30d3082603e754ce5d50af9e7577ab20,0,0
execution,qlib_exchange_full_research_v1,qlib_exchange_full_research_v1:b7d1106e772fc0556540e909e7a4b3710fff7e63dac25f60028213852cc907da,0,0
