evidence_id,instrument,state_type,state_value,effective_from,published_at,publication_precision,source_id,source_tier,source_url,review_status,terminal_scope,authoritative,available_phase,available_at,confidence,reason_code,retrieved_at,http_status,content_type,content_length,raw_snapshot_path,raw_snapshot_sha256,download_status,download_error,parser_version
sz000413_suspend_20240815,SZ000413,suspension,full_day,2024-08-15,2024-08-14,date,szse_issuer_announcement,tier_0,https://disc.static.szse.cn/download/disc/disk03/finalpage/2024-08-14/4e9bbfce-9b8e-4eca-9a30-8ec5b2dcff4b.PDF,manually_normalized,True,True,before_open,2024-08-14,event_and_pit,tier0_publication_precedes_effective_open,2026-07-25T03:03:18.023477+00:00,200,application/pdf,345158,runtime/raw/89c9307c77c00bcff56a.pdf,0a6c0d2ed89b677eb0b16c55848679315f3d4f53bf466c975b42c494744b515a,pass,,manual_normalization_receipt_v2
sz002308_suspend_20240823,SZ002308,suspension,full_day,2024-08-23,2024-08-23,date,szse_issuer_announcement,tier_0,https://disc.static.szse.cn/download/disc/disk03/finalpage/2024-08-23/44a13a70-2c82-4568-8492-ffdae2a26fb2.PDF,manually_normalized,True,True,unknown,2024-08-23,event_only,same_day_date_only_or_unknown_publication_time,2026-07-25T03:03:18.063186+00:00,200,application/pdf,294881,runtime/raw/78ccf8a5bc55ac765d52.pdf,26ae7788a6ff6dae929498c3b834018ee8e2ce7b2a2de95e00b737ad3ab20283,pass,,manual_normalization_receipt_v2
sh600811_stop_trading_20250415,SH600811,suspension,full_day,2025-04-15,2025-04-28,date,sse_listing_termination_notice,tier_0,https://www.sse.com.cn/disclosure/announcement/listing/stock/c/c_20250428_10777919.shtml,manually_normalized_retrospective,True,True,unknown,2025-04-28,event_only,same_day_date_only_or_unknown_publication_time,2026-07-25T03:03:20.569381+00:00,200,text/html,28444,runtime/raw/ca67d5160ed840e4d2cf.html,d7d88898d9780e30bd4d3fb9cecda3f4b8088c39edeb939ca1652ebb4efe0e53,pass,,manual_normalization_receipt_v2
sh600811_st_start_20250318,SH600811,st,true,2025-03-18,2025-03-17,date,sse_issuer_announcement,tier_0,https://www.sse.com.cn/disclosure/magin/announcement/ssereport/c/c_20250317_10775875.shtml,manually_normalized,True,True,before_open,2025-03-17,event_and_pit,tier0_publication_precedes_effective_open,2026-07-25T03:03:20.822913+00:00,200,text/html,27396,runtime/raw/14e60e31e52dc5df7f06.html,599ec32facec4cff940f81db68263898566127918804ff03379ce81b2eed1c3d,pass,,manual_normalization_receipt_v2
sz002308_st_start_20240709,SZ002308,st,true,2024-07-09,2024-07-05,date,szse_issuer_announcement,tier_0,https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-05/4658dd68-8676-4445-a961-b79d8573c23d.PDF,manually_normalized,True,True,before_open,2024-07-05,event_and_pit,tier0_publication_precedes_effective_open,2026-07-25T03:03:20.845981+00:00,200,application/pdf,250276,runtime/raw/2b897712a7e970287180.pdf,361ec219bc1d27e9064222876a52078cf383354662b41a91dec3131d54180106,pass,,manual_normalization_receipt_v2
sz000627_st_start_20250708,SZ000627,st,true,2025-07-08,2025-07-15,date,szse_issuer_announcement,tier_0,https://disc.static.szse.cn/disc/disk03/finalpage/2025-07-15/3666aebd-b0f1-4232-ae96-579bf333e392.PDF,manually_normalized_retrospective,False,True,unknown,2025-07-15,event_only,same_day_date_only_or_unknown_publication_time,2026-07-25T03:03:20.909745+00:00,200,application/pdf,249172,runtime/raw/3695ed2c10377f9f5e35.pdf,60c6ca3494bfa54ea7cca27f5c7c463972a57dc849b5254e73e390be5498e239,pass,,manual_normalization_receipt_v2
sz300280_st_start_20250520,SZ300280,st,true,2025-05-20,2025-07-11,date,szse_issuer_announcement,tier_0,https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-07-11/e2dd9f40-2bb4-49a2-bcc2-1df8acf620fe.PDF,manually_normalized_retrospective,False,True,unknown,2025-07-11,event_only,same_day_date_only_or_unknown_publication_time,2026-07-25T03:03:20.975821+00:00,200,application/pdf,276804,runtime/raw/7f5a7f4cc888296a0c7f.pdf,159214c9c1de701c1a4011066c034eae6865de70de5a43fa5c60ec0c6aed8c53,pass,,manual_normalization_receipt_v2
sh603003_st_start_20240506,SH603003,st,true,2024-05-06,2025-04-01,date,sse_issuer_announcement,tier_0,https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-01/603003_20250401_9896.pdf,manually_normalized_retrospective,False,True,unknown,2025-04-01,event_only,same_day_date_only_or_unknown_publication_time,2026-07-25T03:03:23.855281+00:00,200,application/pdf,264485,runtime/raw/fd12354c972b8119c347.pdf,673c20d4f2166de33552b4e7abd7c7e311dbe0c079013382f939c75a045a0e77,pass,,manual_normalization_receipt_v2
sz002750_retirement_board_20250606,SZ002750,listing_termination,retirement_board,2025-06-06,2025-05-28,date,szse_issuer_announcement,tier_0,https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-05-28/6f1d2aa7-c851-48bb-bb68-40ee8722152a.PDF,manually_normalized,False,True,before_open,2025-05-28,event_and_pit,tier0_publication_precedes_effective_open,2026-07-25T03:03:23.876678+00:00,200,application/pdf,235223,runtime/raw/74490a1ffd67b158a248.pdf,9c5b93af940cbc8a0450cca8c3f3b6aabe8593382cd1820fbd8adcc237784867,pass,,manual_normalization_receipt_v2
sz300280_retirement_board_20250915,SZ300280,listing_termination,retirement_board,2025-09-15,2025-09-06,date,szse_issuer_announcement,tier_0,https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-09-06/a4685008-5b54-4175-ab30-78b0f96ad5d8.PDF,manually_normalized,False,True,before_open,2025-09-06,event_and_pit,tier0_publication_precedes_effective_open,2026-07-25T03:03:23.899358+00:00,200,application/pdf,162298,runtime/raw/c035d53309136d5f1b0c.pdf,b85aa1d5e42d4e6215595e1977cf69d8e0bc3db778855e49c05946bf23d21b15,pass,,manual_normalization_receipt_v2
sh603120_intraday_20250409,SH603120,suspension,intraday,2025-04-09,2025-04-09,date,sse_intraday_notice,tier_0,https://www.sse.com.cn/disclosure/announcement/general/mainsuspension/c/c_20250409_10776957.shtml,manually_normalized_control,False,True,unknown,2025-04-09,event_only,same_day_date_only_or_unknown_publication_time,2026-07-25T03:03:23.989055+00:00,200,text/html,27619,runtime/raw/6958fdb5e8162382e2c9.html,8f7ef70eac3a337bedcf0deeb3247ab4aab95c59986703f23f781556d9c128f2,pass,,manual_normalization_receipt_v2
sh900952_intraday_20250630,SH900952,suspension,intraday,2025-06-30,2025-06-30,date,sse_intraday_notice,tier_0,https://www.sse.com.cn/disclosure/announcement/general/mainsuspension/c/c_20250630_10783427.shtml,manually_normalized_control,False,True,unknown,2025-06-30,event_only,same_day_date_only_or_unknown_publication_time,2026-07-25T03:03:24.083556+00:00,200,text/html,27616,runtime/raw/685493d60a161a1603bb.html,ded3d0be48d32c4cd7710e9aeae685976b9907a01e8d0883610aecf046197395,pass,,manual_normalization_receipt_v2
sz301557_intraday_20250306,SZ301557,suspension,intraday,2025-03-06,2025-03-06,date,szse_intraday_notice,tier_0,https://www.szse.cn/disclosure/notice/temp/t20250306_612207.html,manually_normalized_control,False,True,unknown,2025-03-06,event_only,same_day_date_only_or_unknown_publication_time,2026-07-25T03:03:25.810883+00:00,200,text/html,13146,runtime/raw/b568afa3b3e02fc70496.html,a25dfae812ccd8bf37a1922e9951b37329aa00342882a5f5ca78fce74d74480a,pass,,manual_normalization_receipt_v2
