datetime,instrument,outer_split_id,list_date,delist_date,board,lot_rule_id,source_artifact_id,board_inference_reason,corporate_identity_note
2025-08-05,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-06,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-07,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-08,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-11,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-12,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-13,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-14,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-15,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-18,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-19,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-20,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-21,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-22,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-25,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-26,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-27,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-28,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-08-29,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-01,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-02,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-03,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-04,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-05,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-08,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-09,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-10,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-11,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-12,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-15,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-16,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-17,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-18,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-19,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-22,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-23,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-24,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-25,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-26,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-29,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-09-30,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
2025-10-09,SZ302132,split_003,2025-02-17,2026-06-09,chinext,chinext_buy_100,provider_lifecycle:community_20260609,sz_302_code_range_chinext,SZ302132 changed from SZ300114 on 2025-02-17; this stage classifies board rules only and does not splice histories.
