factor,residualized_factor,raw_coverage,residualized_coverage,n_raw_valid_rows,n_residualized_valid_rows,n_total_rows
kunquant_alpha101_alpha083,kunquant_alpha101_alpha083__resid_liquidity,0.9525168539325842,0.6511573033707865,84774,57953,89000
ta_volatility_atr,ta_volatility_atr__resid_liquidity,0.22947191011235954,0.1495056179775281,20423,13306,89000
kunquant_alpha101_alpha042,kunquant_alpha101_alpha042__resid_liquidity,0.993685393258427,0.6578876404494381,88438,58552,89000
kunquant_alpha101_alpha041,kunquant_alpha101_alpha041__resid_liquidity,0.993685393258427,0.6578876404494381,88438,58552,89000
kunquant_alpha101_alpha005,kunquant_alpha101_alpha005__resid_liquidity,0.9358988764044944,0.6511797752808989,83295,57955,89000
ta_volatility_kch,ta_volatility_kch__resid_liquidity,0.2386179775280899,0.15732584269662922,21237,14002,89000
ta_trend_ichimoku_conv,ta_trend_ichimoku_conv__resid_liquidity,0.2257640449438202,0.1561685393258427,20093,13899,89000
ta_trend_ema_fast,ta_trend_ema_fast__resid_liquidity,0.2241685393258427,0.15732584269662922,19951,14002,89000
ta_volatility_kcc,ta_volatility_kcc__resid_liquidity,0.2242696629213483,0.15603370786516854,19960,13887,89000
ta_volume_vwap,ta_volume_vwap__resid_liquidity,0.21829213483146068,0.15548314606741573,19428,13838,89000
ta_trend_sma_fast,ta_trend_sma_fast__resid_liquidity,0.2212808988764045,0.15576404494382023,19694,13863,89000
ta_volatility_kcl,ta_volatility_kcl__resid_liquidity,0.2386179775280899,0.15732584269662922,21237,14002,89000
ta_momentum_kama,ta_momentum_kama__resid_liquidity,0.21897752808988763,0.1508314606741573,19489,13424,89000
ta_trend_ichimoku_b,ta_trend_ichimoku_b__resid_liquidity,0.2391123595505618,0.15732584269662922,21281,14002,89000
kunquant_alpha101_alpha094,kunquant_alpha101_alpha094__resid_liquidity,0.9231460674157304,0.6497528089887641,82160,57828,89000
kunquant_alpha101_alpha011,kunquant_alpha101_alpha011__resid_liquidity,0.9742921348314607,0.6555842696629214,86712,58347,89000
kunquant_alpha101_alpha040,kunquant_alpha101_alpha040__resid_liquidity,0.9358988764044944,0.6511797752808989,83295,57955,89000
ta_volatility_kcw,ta_volatility_kcw__resid_liquidity,0.2242696629213483,0.15603370786516854,19960,13887,89000
kunquant_alpha101_alpha088,kunquant_alpha101_alpha088__resid_liquidity,0.9486629213483146,0.6526179775280899,84431,58083,89000
