signal_date,execution_date,period_end_date,status,eligible_count,selected_count,turnover,cost,period_net_return,period_universe_return,period_net_excess_return,avg_selected_liquidity_bucket,avg_selected_tradability_score
2024-01-30,2024-01-31,2024-03-07,executed,1101,300,1.0,0.001,0.09081425800607357,0.09896825488106598,-0.013123571536043266,4.073333333333333,100.0
2024-03-06,2024-03-07,2024-04-08,executed,1120,300,0.33999999999999997,0.00033999999999999997,0.014011525328937902,0.017611620309808895,-0.0060426824967130255,4.183333333333334,100.0
2024-04-03,2024-04-08,2024-05-09,executed,1116,300,0.3433333333333334,0.0003433333333333334,0.04859423758008363,0.022075540240676483,0.022066372179552873,3.8266666666666667,100.0
2024-05-08,2024-05-09,2024-06-06,executed,1100,300,0.3666666666666667,0.0003666666666666667,-0.037551394939520644,-0.07982121602711367,0.045058021624774014,4.01,100.0
2024-06-05,2024-06-06,2024-07-05,executed,1112,300,0.4033333333333333,0.00040333333333333334,-0.043827448912650335,-0.038601184353724505,-0.006336111769250197,3.9133333333333336,100.0
2024-07-04,2024-07-05,2024-08-02,executed,1109,300,0.3766666666666667,0.0003766666666666667,0.010054178382847834,0.011667897477086298,-0.0025157533863332526,4.046666666666667,100.0
2024-08-01,2024-08-02,2024-08-30,executed,1086,300,0.3966666666666666,0.00039666666666666664,-0.03261803821516329,-0.030703145777932095,-0.0029393989095226614,3.9,100.0
2024-08-29,2024-08-30,2024-10-08,executed,1094,300,0.36,0.00035999999999999997,0.2684479388379033,0.33154902878694315,-0.050790681081203326,3.9566666666666666,100.0
2024-09-30,2024-10-08,2024-11-05,executed,755,300,0.5,0.0005,-0.005995799277848879,0.00710181455136083,-0.016219407148319154,3.93,100.0
2024-11-04,2024-11-05,2024-12-03,executed,1039,300,0.44666666666666666,0.00044666666666666666,-0.008285925858634857,0.018639392850248626,-0.02882871774796003,3.8366666666666664,100.0
2024-12-02,2024-12-03,2024-12-31,executed,1042,300,0.3633333333333333,0.0003633333333333333,-0.014802970527806436,-0.06505328950507161,0.05094874056158494,3.81,100.0
2024-12-30,2024-12-31,2025-02-06,executed,1083,300,0.3766666666666667,0.0003766666666666667,-0.0252502623402161,0.0015235194928626683,-0.029629779936516165,3.9633333333333334,100.0
2025-02-05,2025-02-06,2025-03-06,executed,1069,300,0.31333333333333335,0.0003133333333333334,0.01519505074309313,0.0722581819012138,-0.055084667792852815,3.8833333333333333,100.0
2025-03-05,2025-03-06,2025-04-03,executed,1084,300,0.31666666666666665,0.00031666666666666665,0.013892371061288156,-0.049722119918613084,0.06608507697112098,3.75,100.0
2025-04-02,2025-04-03,2025-05-07,executed,1090,300,0.4033333333333333,0.00040333333333333334,-0.02117127552188025,-0.0082751026108,-0.01689307657999739,3.9033333333333333,100.0
2025-05-06,2025-05-07,2025-06-05,executed,1049,300,0.3566666666666667,0.0003566666666666667,0.012759299770683574,0.017941253214842412,-0.005890445766236652,3.96,100.0
2025-06-04,2025-06-05,2025-07-03,executed,1075,300,0.33999999999999997,0.00033999999999999997,0.024849585528612606,0.038506448296289575,-0.01395741797505623,3.8533333333333335,100.0
2025-07-02,2025-07-03,2025-07-31,executed,1067,300,0.4066666666666666,0.0004066666666666666,0.03860451713479196,0.04403657750087353,-0.005210969574305335,3.8366666666666664,100.0
2025-07-30,2025-07-31,2025-08-28,executed,1083,300,0.5166666666666666,0.0005166666666666666,0.06861274671102091,0.0909959138835863,-0.02113258715008226,3.7866666666666666,100.0
2025-08-27,2025-08-28,2025-09-25,executed,1086,300,0.45666666666666667,0.0004566666666666667,-0.014555644983008986,-0.004576095017017612,-0.011235754772489281,3.75,100.0
2025-09-24,2025-09-25,2025-10-31,executed,1072,300,0.43666666666666665,0.00043666666666666664,0.037173169225262814,0.01924446519995282,0.01642606470338004,3.71,100.0
2025-10-30,2025-10-31,2025-11-28,executed,1081,300,0.45999999999999996,0.00045999999999999996,-0.010831608393787273,-0.009907548692649093,-0.001864008148880436,3.71,100.0
2025-11-27,2025-11-28,2025-12-26,executed,1076,300,0.49,0.00049,0.012954375070670876,0.03375255818348677,-0.020863763026351068,3.7266666666666666,100.0
2025-12-25,2025-12-26,2026-01-27,executed,1057,300,0.43666666666666665,0.00043666666666666664,0.04346947533422196,0.08124940134643754,-0.03586994283707978,3.6333333333333333,100.0
2026-01-26,2026-01-27,2026-03-04,executed,1044,300,0.42333333333333334,0.00042333333333333334,-0.01499337539101675,-0.01762686878150077,0.001066408547589548,3.703333333333333,100.0
2026-03-03,2026-03-04,2026-04-01,executed,1026,300,0.4933333333333333,0.0004933333333333333,-0.02521395955997552,-0.043359913979776676,0.017889835250675334,3.6966666666666668,100.0
2026-03-31,2026-04-01,2026-04-30,executed,1065,300,0.4666666666666667,0.00046666666666666666,0.00028856662850662573,0.034655081822765776,-0.03409465541339429,3.8033333333333332,100.0
2026-04-29,2026-04-30,2026-06-02,executed,1025,300,0.3966666666666666,0.00039666666666666664,-0.045656663084718274,-0.03507899920757751,-0.012461786588287449,3.7466666666666666,100.0
2026-06-01,,,skipped_insufficient_future_dates,0,0,,,,,,,
