check_name,status,observed_value,required_value,severity,reason
frozen_score_hash_valid,pass,beb4e4ad738e263e72bb75ead4d948f7a44e7c086bc56b310a56a823a6adecbf,beb4e4ad738e263e72bb75ead4d948f7a44e7c086bc56b310a56a823a6adecbf,critical,
future_market_field_count,pass,0,0,critical,
same_day_change_not_used,pass,True,True,critical,
full_day_volume_not_used_at_open,pass,lagged_20d_median,lagged_or_estimated,critical,
no_valuation_bfill,pass,True,True,critical,
stale_policy_valid,pass,20,<=20 trading days,critical,
terminal_event_policy_valid,blocked,missing_authoritative_event_feed,complete,capability,Execution remains explicitly non-authoritative.
market_cache_v3_ready,pass,55d7a4f0a86e4bb095d6d63ea9180000c8152cde5aa6b328ed74dc54208ab4e9,all semantic hashes bound,critical,
community_volume_unit_fixture_pass,pass,5.923810908470273e-08,<=1e-6 relative error around x100,critical,
community_amount_unit_fixture_pass,pass,1.1920928955078125e-07,<=1e-6 relative error around x1000,critical,
unknown_unit_difference_count,pass,0,0,critical,
