factor,weight,valid_rows,coverage
ta_volatility_atr,-1.0,13306,0.9446929357472489
ta_volume_vwap,-1.0,13838,0.9824636137735179
ta_trend_sma_fast,-1.0,13863,0.9842385516506922
ta_volatility_kcc,-1.0,13887,0.9859424920127795
ta_trend_ichimoku_conv,-1.0,13899,0.9867944621938232
ta_volatility_kch,-1.0,14043,0.9970181043663472
ta_trend_ema_fast,-1.0,14085,1.0
ta_momentum_kama,-1.0,13424,0.9530706425275115
ta_volatility_kcl,-1.0,14043,0.9970181043663472
ta_trend_ichimoku_b,-1.0,14085,1.0
ta_volatility_kcw,-1.0,13887,0.9859424920127795
alpha360_HIGH45,1.0,13984,0.9928292509762159
alpha360_HIGH46,1.0,13985,0.9929002484913028
alpha360_HIGH44,1.0,13983,0.9927582534611289
alpha360_OPEN45,1.0,13984,0.9928292509762159
alpha360_HIGH43,1.0,13981,0.9926162584309549
alpha360_VWAP45,1.0,13984,0.9928292509762159
alpha360_HIGH47,1.0,13986,0.9929712460063898
alpha360_CLOSE46,1.0,13985,0.9929002484913028
alpha360_CLOSE45,1.0,13984,0.9928292509762159
alpha360_OPEN44,1.0,13983,0.9927582534611289
alpha360_HIGH41,1.0,13979,0.9924742634007809
alpha360_VWAP46,1.0,13985,0.9929002484913028
alpha360_HIGH42,1.0,13980,0.9925452609158679
alpha360_VWAP44,1.0,13983,0.9927582534611289
alpha360_HIGH48,1.0,13986,0.9929712460063898
alpha360_OPEN46,1.0,13985,0.9929002484913028
alpha360_HIGH40,1.0,13977,0.9923322683706071
alpha360_CLOSE44,1.0,13983,0.9927582534611289
alpha360_OPEN43,1.0,13981,0.9926162584309549
alpha360_VWAP43,1.0,13981,0.9926162584309549
alpha360_LOW45,1.0,13984,0.9928292509762159
alpha360_CLOSE47,1.0,13986,0.9929712460063898
alpha360_VWAP47,1.0,13986,0.9929712460063898
alpha360_LOW44,1.0,13983,0.9927582534611289
alpha360_OPEN42,1.0,13980,0.9925452609158679
alpha360_VWAP41,1.0,13979,0.9924742634007809
alpha360_HIGH50,1.0,13986,0.9929712460063898
alpha360_VWAP42,1.0,13980,0.9925452609158679
alpha360_CLOSE43,1.0,13981,0.9926162584309549
alpha360_OPEN40,1.0,13977,0.9923322683706071
alpha360_HIGH49,1.0,13986,0.9929712460063898
alpha360_OPEN47,1.0,13986,0.9929712460063898
alpha360_OPEN41,1.0,13979,0.9924742634007809
alpha360_LOW46,1.0,13985,0.9929002484913028
alpha360_CLOSE48,1.0,13986,0.9929712460063898
alpha360_VWAP48,1.0,13986,0.9929712460063898
alpha360_HIGH51,1.0,13985,0.9929002484913028
alpha360_CLOSE41,1.0,13979,0.9924742634007809
alpha360_HIGH52,1.0,13984,0.9928292509762159
