factor,source_family,judgement_label,consensus_direction,weight
ta_volatility_atr,ta,strong_signal_probe,negative,-1.0
ta_volume_vwap,ta,strong_signal_probe,negative,-1.0
ta_trend_sma_fast,ta,strong_signal_probe,negative,-1.0
ta_volatility_kcc,ta,strong_signal_probe,negative,-1.0
ta_trend_ichimoku_conv,ta,strong_signal_probe,negative,-1.0
ta_volatility_kch,ta,strong_signal_probe,negative,-1.0
ta_trend_ema_fast,ta,strong_signal_probe,negative,-1.0
ta_momentum_kama,ta,strong_signal_probe,negative,-1.0
ta_volatility_kcl,ta,strong_signal_probe,negative,-1.0
ta_trend_ichimoku_b,ta,strong_signal_probe,negative,-1.0
ta_volatility_kcw,ta,strong_signal_probe,negative,-1.0
alpha360_HIGH45,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH46,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH44,alpha360,strong_signal_probe,positive,1.0
alpha360_OPEN45,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH43,alpha360,strong_signal_probe,positive,1.0
alpha360_VWAP45,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH47,alpha360,strong_signal_probe,positive,1.0
alpha360_CLOSE46,alpha360,strong_signal_probe,positive,1.0
alpha360_CLOSE45,alpha360,strong_signal_probe,positive,1.0
alpha360_OPEN44,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH41,alpha360,strong_signal_probe,positive,1.0
alpha360_VWAP46,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH42,alpha360,strong_signal_probe,positive,1.0
alpha360_VWAP44,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH48,alpha360,strong_signal_probe,positive,1.0
alpha360_OPEN46,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH40,alpha360,strong_signal_probe,positive,1.0
alpha360_CLOSE44,alpha360,strong_signal_probe,positive,1.0
alpha360_OPEN43,alpha360,strong_signal_probe,positive,1.0
alpha360_VWAP43,alpha360,strong_signal_probe,positive,1.0
alpha360_LOW45,alpha360,strong_signal_probe,positive,1.0
alpha360_CLOSE47,alpha360,strong_signal_probe,positive,1.0
alpha360_VWAP47,alpha360,strong_signal_probe,positive,1.0
alpha360_LOW44,alpha360,strong_signal_probe,positive,1.0
alpha360_OPEN42,alpha360,strong_signal_probe,positive,1.0
alpha360_VWAP41,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH50,alpha360,strong_signal_probe,positive,1.0
alpha360_VWAP42,alpha360,strong_signal_probe,positive,1.0
alpha360_CLOSE43,alpha360,strong_signal_probe,positive,1.0
alpha360_OPEN40,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH49,alpha360,strong_signal_probe,positive,1.0
alpha360_OPEN47,alpha360,strong_signal_probe,positive,1.0
alpha360_OPEN41,alpha360,strong_signal_probe,positive,1.0
alpha360_LOW46,alpha360,strong_signal_probe,positive,1.0
alpha360_CLOSE48,alpha360,strong_signal_probe,positive,1.0
alpha360_VWAP48,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH51,alpha360,strong_signal_probe,positive,1.0
alpha360_CLOSE41,alpha360,strong_signal_probe,positive,1.0
alpha360_HIGH52,alpha360,strong_signal_probe,positive,1.0
