factor,mean_spearman_liquidity_value,liquidity_value_date_count,mean_spearman_liquidity_bucket,liquidity_bucket_date_count,mean_spearman_tradability_score,tradability_score_date_count,high_liquidity_z_mean,low_liquidity_z_mean,high_minus_low_liquidity_z,max_abs_tradability_exposure
ta_volatility_atr,0.7212235407733305,40,0.6979490376865211,40,0.5255808343678027,40,0.3706384478934162,-0.45058145864221083,0.821219906535627,0.7212235407733305
ta_volume_vwap,0.6489598818645954,40,0.6269046420554882,40,0.4853290206246087,40,0.38786863424819756,-0.46427784650241133,0.852146480750609,0.6489598818645954
ta_trend_sma_fast,0.6485699371984307,40,0.6263711565988213,40,0.48507734767817656,40,0.38557352862072364,-0.462696338621645,0.8482698672423686,0.6485699371984307
ta_volatility_kcc,0.649432843983967,40,0.6273350654353149,40,0.48556176907089793,40,0.3855876312472768,-0.4625914131394365,0.8481790443867133,0.649432843983967
ta_trend_ichimoku_conv,0.6519867510587362,40,0.6297767061288001,40,0.4873761656334012,40,0.387102412572292,-0.4634163405523794,0.8505187531246714,0.6519867510587362
ta_volatility_kch,0.6540129440959419,40,0.6315490462348186,40,0.48792069827275564,40,0.3850631630323459,-0.46083198259427594,0.8458951456266218,0.6540129440959419
ta_trend_ema_fast,0.6496700382730181,40,0.6271386409080602,40,0.48455013234488564,40,0.3888573932622218,-0.4611517816418256,0.8500091749040474,0.6496700382730181
ta_momentum_kama,0.6429894689241824,40,0.6215403172463407,40,0.4825265130484023,40,0.4261644441302687,-0.48182331469635054,0.9079877588266192,0.6429894689241824
ta_volatility_kcl,0.6445468022409027,40,0.6222543010781193,40,0.48280456291587753,40,0.38852416665104517,-0.46267676373196104,0.8512009303830061,0.6445468022409027
ta_trend_ichimoku_b,0.6364547255895483,40,0.6137755428101015,40,0.47729044258991776,40,0.38839984444161285,-0.4593443468314721,0.847744191273085,0.6364547255895483
ta_volatility_kcw,0.3316462322071107,40,0.32085505978297857,40,0.1805661831420619,40,0.31139839878808734,-0.319187757138249,0.6305861559263364,0.3316462322071107
alpha360_HIGH45,-0.23882209090598533,40,-0.23737665827927149,40,-0.15687344956083427,40,-0.21354086535720054,0.2426060557352833,-0.45614692109248384,0.23882209090598533
alpha360_HIGH46,-0.23818308868959912,40,-0.2369447894747775,40,-0.15645036493010667,40,-0.21295521429235809,0.24242985081466223,-0.4553850651070203,0.23818308868959912
alpha360_HIGH44,-0.2336162818407354,40,-0.2337511211787497,40,-0.15132374590525605,40,-0.20991279197978355,0.2365424155431967,-0.44645520752298024,0.2337511211787497
alpha360_OPEN45,-0.24534463206628576,40,-0.24392984948406085,40,-0.16132399807242198,40,-0.22202336717714197,0.25221511386614137,-0.47423848104328337,0.24534463206628576
alpha360_HIGH43,-0.2318546431249402,40,-0.23254988228749154,40,-0.14686044594012926,40,-0.21146142390434225,0.23209292771874557,-0.4435543516230878,0.23254988228749154
alpha360_VWAP45,-0.24790236863438042,40,-0.24589000473299003,40,-0.16334131624013098,40,-0.22146056777049256,0.2516068454213297,-0.4730674131918223,0.24790236863438042
alpha360_HIGH47,-0.23936293601302375,40,-0.23737652386237035,40,-0.15778546123758966,40,-0.21181991347669954,0.24113770717665606,-0.4529576206533556,0.23936293601302375
alpha360_CLOSE46,-0.2469462159306109,40,-0.24537358018893674,40,-0.16186032039731696,40,-0.2216779389330224,0.251869636325134,-0.4735475752581564,0.2469462159306109
alpha360_CLOSE45,-0.24961357470692747,40,-0.24766592003813423,40,-0.16428382199566244,40,-0.22223413562688146,0.2532858953454191,-0.47552003097230056,0.24961357470692747
alpha360_OPEN44,-0.24933469939052855,40,-0.24780658412393525,40,-0.1631550808900059,40,-0.22189487873025632,0.2531308018993234,-0.4750256806295797,0.24933469939052855
alpha360_HIGH41,-0.22817159964905093,40,-0.23046496517962162,40,-0.14587352544888205,40,-0.205968167176461,0.23170216003538532,-0.4376703272118463,0.23046496517962162
alpha360_VWAP46,-0.24693871886485566,40,-0.2452661447394191,40,-0.16175095819693658,40,-0.22169012295763393,0.25102900527594857,-0.47271912823358253,0.24693871886485566
alpha360_HIGH42,-0.232529283118937,40,-0.23384828364268362,40,-0.14804649481960114,40,-0.21194259845558747,0.23256133950382077,-0.44450393795940824,0.23384828364268362
alpha360_VWAP44,-0.24382919152478938,40,-0.24391221888147857,40,-0.15794059486975073,40,-0.22076765130264248,0.2476433746622849,-0.46841102596492734,0.24391221888147857
alpha360_HIGH48,-0.24670057767694634,40,-0.2450951603823428,40,-0.16380816962705108,40,-0.21645910775058236,0.24442333867570457,-0.46088244642628695,0.24670057767694634
alpha360_OPEN46,-0.24984195578307072,40,-0.24811764256059368,40,-0.16381650001118725,40,-0.22412009717079942,0.25427590954614987,-0.47839600671694926,0.24984195578307072
alpha360_HIGH40,-0.2272606518865259,40,-0.22925744935072617,40,-0.14374527851580346,40,-0.20484272626085423,0.22800359455759098,-0.4328463208184452,0.22925744935072617
alpha360_CLOSE44,-0.24339619119476968,40,-0.24396189893705666,40,-0.15787535942154546,40,-0.22134346063453475,0.2471051708180685,-0.46844863145260324,0.24396189893705666
alpha360_OPEN43,-0.24252196827244518,40,-0.2429570502296586,40,-0.15548299818269076,40,-0.22167680737093515,0.24597462111325016,-0.4676514284841853,0.2429570502296586
alpha360_VWAP43,-0.24018405302346682,40,-0.24099452446278197,40,-0.15195407191026328,40,-0.21988547571775713,0.24021817845795726,-0.4601036541757144,0.24099452446278197
alpha360_LOW45,-0.256873776545839,40,-0.2545679995259974,40,-0.16814624051319843,40,-0.2302356381752714,0.2609477486031973,-0.49118338677846873,0.256873776545839
alpha360_CLOSE47,-0.25061952170292007,40,-0.24865607391726824,40,-0.16539178279300398,40,-0.22329488306741901,0.2544151391264228,-0.4777100221938418,0.25061952170292007
alpha360_VWAP47,-0.24966167801457448,40,-0.24753411144526716,40,-0.16380384931813752,40,-0.222689949297081,0.25217572115239145,-0.4748656704494725,0.24966167801457448
alpha360_LOW44,-0.25744287526717746,40,-0.25637228046579297,40,-0.16776087250261143,40,-0.2321553346272854,0.2614048051059236,-0.493560139733209,0.25744287526717746
alpha360_OPEN42,-0.240340272613751,40,-0.24133055126261413,40,-0.15303714102575508,40,-0.2205638279503055,0.24207205826035333,-0.4626358862106588,0.24133055126261413
alpha360_VWAP41,-0.23886473142854908,40,-0.24084683971124637,40,-0.1532188980382422,40,-0.21605171608710716,0.24247036739777883,-0.458522083484886,0.24084683971124637
alpha360_HIGH50,-0.2441869982683953,40,-0.24292787455204085,40,-0.1637363381383869,40,-0.2168970316134886,0.24747840327228182,-0.46437543488577043,0.2441869982683953
alpha360_VWAP42,-0.24323213541425823,40,-0.24487852373147595,40,-0.15524043285859762,40,-0.22094008885484023,0.2429928034627827,-0.4639328923176229,0.24487852373147595
alpha360_CLOSE43,-0.24103702966202203,40,-0.24197975452151735,40,-0.15273198019814746,40,-0.22150711823957242,0.24185270469024314,-0.4633598229298156,0.24197975452151735
alpha360_OPEN40,-0.23815663504598059,40,-0.2399112837546439,40,-0.14987097416752887,40,-0.21563872029162523,0.24017320844199608,-0.4558119287336213,0.2399112837546439
alpha360_HIGH49,-0.246759533836801,40,-0.24416483738641676,40,-0.16079730059355107,40,-0.21650368672481574,0.2432295723671923,-0.459733259092008,0.246759533836801
alpha360_OPEN47,-0.2551944518761653,40,-0.25290711580839786,40,-0.16819041451831765,40,-0.22536540749174208,0.2543319009340432,-0.4796973084257853,0.2551944518761653
alpha360_OPEN41,-0.2449804322945036,40,-0.24687128645441878,40,-0.15730582989499067,40,-0.22076264254304695,0.24752878239713824,-0.46829142494018516,0.24687128645441878
alpha360_LOW46,-0.2571333367376379,40,-0.254827403687459,40,-0.16799889159808484,40,-0.2313731999823289,0.2620027980151877,-0.49337599799751664,0.2571333367376379
alpha360_CLOSE48,-0.25622250507390515,40,-0.2540662620971666,40,-0.16992326908159563,40,-0.2259619184316648,0.25606669751019495,-0.48202861594185975,0.25622250507390515
alpha360_VWAP48,-0.25468747771727296,40,-0.25289383018711054,40,-0.16948208429628292,40,-0.22471720980401672,0.2543636238567744,-0.4790808336607911,0.25468747771727296
alpha360_HIGH51,-0.2504372362133847,40,-0.24907950541383267,40,-0.16726423705956597,40,-0.22140344942666318,0.25065548444181335,-0.4720589338684765,0.2504372362133847
alpha360_CLOSE41,-0.23776371217223474,40,-0.24003933084919965,40,-0.15194949188283005,40,-0.21528671679440947,0.24196086499897654,-0.457247581793386,0.24003933084919965
alpha360_HIGH52,-0.25190628178853547,40,-0.2506482816397412,40,-0.16749316416530377,40,-0.22544968572920024,0.2504551504467802,-0.47590483617598045,0.25190628178853547
alpha360_CLOSE42,-0.24445225397163234,40,-0.24632099076418376,40,-0.15651520791269674,40,-0.2209769497152791,0.24555227520698283,-0.4665292249222619,0.24632099076418376
alpha360_VWAP40,-0.23461765728634965,40,-0.23593393938576906,40,-0.14776064439041905,40,-0.21303467126376754,0.23566848144020086,-0.44870315270396843,0.23593393938576906
alpha360_OPEN39,-0.23317072757439633,40,-0.2338282909106805,40,-0.14595529205656724,40,-0.2118492608314985,0.23461771835215126,-0.44646697918364975,0.2338282909106805
alpha360_HIGH39,-0.22711817662521697,40,-0.22875237784560895,40,-0.14401203205044943,40,-0.202234877424777,0.22805462077539973,-0.4302894982001767,0.22875237784560895
alpha360_LOW43,-0.24997572702187618,40,-0.2505989972438364,40,-0.1584633091592304,40,-0.22949019669639603,0.25215027990625655,-0.4816404766026526,0.2505989972438364
alpha360_OPEN48,-0.2524656968747232,40,-0.2499770084681289,40,-0.16615809026887546,40,-0.22458500838648723,0.25283532983046697,-0.4774203382169542,0.2524656968747232
alpha360_HIGH53,-0.2496592537328425,40,-0.24859155232502647,40,-0.16958424320464474,40,-0.22508863679407193,0.2520685632066283,-0.4771572000007002,0.2496592537328425
alpha360_CLOSE40,-0.2358807010773675,40,-0.2370318118550633,40,-0.14920421914014084,40,-0.21403267867636147,0.23735261408880243,-0.4513852927651639,0.2370318118550633
alpha360_LOW42,-0.2530858027250607,40,-0.2542894298668425,40,-0.16042173652717895,40,-0.23064910532405417,0.25321797036078714,-0.48386707568484133,0.2542894298668425
alpha360_HIGH38,-0.21951881678378132,40,-0.2210385021796574,40,-0.13828133200196363,40,-0.19922711378558305,0.22519067451059582,-0.4244177882961789,0.2210385021796574
alpha360_LOW47,-0.26194064773630965,40,-0.2595007445889047,40,-0.1715336199088299,40,-0.23445146697293726,0.26337690545894715,-0.4978283724318844,0.26194064773630965
alpha360_CLOSE49,-0.25444130118390335,40,-0.25197933351783625,40,-0.16687516624083246,40,-0.2246512627079547,0.2529260650737305,-0.4775773277816852,0.25444130118390335
alpha360_OPEN49,-0.2553448848286139,40,-0.25352899479780094,40,-0.16980227441569357,40,-0.22798347235187646,0.25614541358834925,-0.48412888594022574,0.2553448848286139
alpha360_VWAP49,-0.25432899227874534,40,-0.25179204429242247,40,-0.1662367964710936,40,-0.2248198748179882,0.25203028051935467,-0.4768501553373429,0.25432899227874534
alpha360_LOW41,-0.25174724170984,40,-0.2533885233603018,40,-0.16024157498330757,40,-0.22864993281183307,0.2542669580649526,-0.4829168908767857,0.2533885233603018
alpha360_CLOSE50,-0.2551515431568567,40,-0.2536046526598861,40,-0.17100996115418185,40,-0.2280537427387875,0.2575168325251706,-0.4855705752639581,0.2551515431568567
alpha360_VOLUME54,-0.2760834482659821,40,-0.2714649175150882,40,-0.17164518502627807,40,-0.221360106813482,0.2365443047920624,-0.4579044116055444,0.2760834482659821
alpha360_VWAP50,-0.2554635823495133,40,-0.25392990343880983,40,-0.17115408947467484,40,-0.22757871120820453,0.2582706507093525,-0.485849361917557,0.2554635823495133
alpha360_OPEN50,-0.2597778483937883,40,-0.25874430300357976,40,-0.17550842234997727,40,-0.23069073190716938,0.26302590772708434,-0.4937166396342537,0.2597778483937883
alpha360_HIGH54,-0.2564654377362545,40,-0.25446592814858987,40,-0.1731496435592635,40,-0.22870173195779137,0.25635779494528954,-0.4850595269030809,0.2564654377362545
alpha360_OPEN38,-0.23543729873066468,40,-0.2359224634313452,40,-0.14967715935795314,40,-0.21287275460274463,0.24159144970783403,-0.45446420431057866,0.2359224634313452
alpha360_CLOSE51,-0.2607800624488562,40,-0.2596631576530385,40,-0.175382215865501,40,-0.2318754587386774,0.2630213634701048,-0.49489682220878217,0.2607800624488562
alpha360_LOW40,-0.24429551936238184,40,-0.24522571353635048,40,-0.15369953017073998,40,-0.2243657656544386,0.24655820021939395,-0.47092396587383256,0.24522571353635048
alpha360_VOLUME53,-0.26680167783767283,40,-0.26449244116539655,40,-0.1682823859162047,40,-0.20902386808290255,0.2180062687373982,-0.4270301368203008,0.26680167783767283
