selection_date,effective_date,instrument,action
2024-01-31,2024-02-01,SH600028,enter
2024-01-31,2024-02-01,SH600030,enter
2024-01-31,2024-02-01,SH600031,enter
2024-01-31,2024-02-01,SH600036,enter
2024-01-31,2024-02-01,SH600048,enter
2024-01-31,2024-02-01,SH600050,enter
2024-01-31,2024-02-01,SH600089,enter
2024-01-31,2024-02-01,SH600100,enter
2024-01-31,2024-02-01,SH600150,enter
2024-01-31,2024-02-01,SH600188,enter
2024-01-31,2024-02-01,SH600256,enter
2024-01-31,2024-02-01,SH600276,enter
2024-01-31,2024-02-01,SH600309,enter
2024-01-31,2024-02-01,SH600415,enter
2024-01-31,2024-02-01,SH600418,enter
2024-01-31,2024-02-01,SH600438,enter
2024-01-31,2024-02-01,SH600487,enter
2024-01-31,2024-02-01,SH600519,enter
2024-01-31,2024-02-01,SH600522,enter
2024-01-31,2024-02-01,SH600536,enter
2024-01-31,2024-02-01,SH600570,enter
2024-01-31,2024-02-01,SH600584,enter
2024-01-31,2024-02-01,SH600602,enter
2024-01-31,2024-02-01,SH600633,enter
2024-01-31,2024-02-01,SH600690,enter
2024-01-31,2024-02-01,SH600702,enter
2024-01-31,2024-02-01,SH600703,enter
2024-01-31,2024-02-01,SH600732,enter
2024-01-31,2024-02-01,SH600745,enter
2024-01-31,2024-02-01,SH600809,enter
2024-01-31,2024-02-01,SH600839,enter
2024-01-31,2024-02-01,SH600887,enter
2024-01-31,2024-02-01,SH600895,enter
2024-01-31,2024-02-01,SH600900,enter
2024-01-31,2024-02-01,SH600919,enter
2024-01-31,2024-02-01,SH600938,enter
2024-01-31,2024-02-01,SH600941,enter
2024-01-31,2024-02-01,SH600958,enter
2024-01-31,2024-02-01,SH601012,enter
2024-01-31,2024-02-01,SH601059,enter
2024-01-31,2024-02-01,SH601088,enter
2024-01-31,2024-02-01,SH601099,enter
2024-01-31,2024-02-01,SH601127,enter
2024-01-31,2024-02-01,SH601136,enter
2024-01-31,2024-02-01,SH601138,enter
2024-01-31,2024-02-01,SH601166,enter
2024-01-31,2024-02-01,SH601186,enter
2024-01-31,2024-02-01,SH601225,enter
2024-01-31,2024-02-01,SH601288,enter
2024-01-31,2024-02-01,SH601318,enter
2024-01-31,2024-02-01,SH601328,enter
2024-01-31,2024-02-01,SH601360,enter
2024-01-31,2024-02-01,SH601390,enter
2024-01-31,2024-02-01,SH601398,enter
2024-01-31,2024-02-01,SH601600,enter
2024-01-31,2024-02-01,SH601601,enter
2024-01-31,2024-02-01,SH601658,enter
2024-01-31,2024-02-01,SH601668,enter
2024-01-31,2024-02-01,SH601669,enter
2024-01-31,2024-02-01,SH601688,enter
2024-01-31,2024-02-01,SH601689,enter
2024-01-31,2024-02-01,SH601698,enter
2024-01-31,2024-02-01,SH601728,enter
2024-01-31,2024-02-01,SH601788,enter
2024-01-31,2024-02-01,SH601857,enter
2024-01-31,2024-02-01,SH601858,enter
2024-01-31,2024-02-01,SH601881,enter
2024-01-31,2024-02-01,SH601888,enter
2024-01-31,2024-02-01,SH601899,enter
2024-01-31,2024-02-01,SH601919,enter
2024-01-31,2024-02-01,SH601988,enter
2024-01-31,2024-02-01,SH603000,enter
2024-01-31,2024-02-01,SH603005,enter
2024-01-31,2024-02-01,SH603019,enter
2024-01-31,2024-02-01,SH603083,enter
2024-01-31,2024-02-01,SH603259,enter
2024-01-31,2024-02-01,SH603501,enter
2024-01-31,2024-02-01,SH603688,enter
2024-01-31,2024-02-01,SH603799,enter
2024-01-31,2024-02-01,SH603918,enter
2024-01-31,2024-02-01,SH603986,enter
2024-01-31,2024-02-01,SH603993,enter
2024-01-31,2024-02-01,SH605117,enter
2024-01-31,2024-02-01,SH688008,enter
2024-01-31,2024-02-01,SH688012,enter
2024-01-31,2024-02-01,SH688041,enter
2024-01-31,2024-02-01,SH688111,enter
2024-01-31,2024-02-01,SH688223,enter
2024-01-31,2024-02-01,SH688256,enter
2024-01-31,2024-02-01,SH688327,enter
2024-01-31,2024-02-01,SH688390,enter
2024-01-31,2024-02-01,SH688599,enter
2024-01-31,2024-02-01,SH688981,enter
2024-01-31,2024-02-01,SZ000001,enter
2024-01-31,2024-02-01,SZ000002,enter
2024-01-31,2024-02-01,SZ000021,enter
2024-01-31,2024-02-01,SZ000032,enter
2024-01-31,2024-02-01,SZ000034,enter
2024-01-31,2024-02-01,SZ000063,enter
2024-01-31,2024-02-01,SZ000066,enter
2024-01-31,2024-02-01,SZ000100,enter
2024-01-31,2024-02-01,SZ000158,enter
2024-01-31,2024-02-01,SZ000333,enter
2024-01-31,2024-02-01,SZ000568,enter
2024-01-31,2024-02-01,SZ000625,enter
2024-01-31,2024-02-01,SZ000651,enter
2024-01-31,2024-02-01,SZ000656,enter
2024-01-31,2024-02-01,SZ000661,enter
2024-01-31,2024-02-01,SZ000681,enter
2024-01-31,2024-02-01,SZ000725,enter
2024-01-31,2024-02-01,SZ000776,enter
2024-01-31,2024-02-01,SZ000799,enter
2024-01-31,2024-02-01,SZ000858,enter
2024-01-31,2024-02-01,SZ000938,enter
2024-01-31,2024-02-01,SZ000977,enter
2024-01-31,2024-02-01,SZ000988,enter
2024-01-31,2024-02-01,SZ002027,enter
2024-01-31,2024-02-01,SZ002049,enter
2024-01-31,2024-02-01,SZ002050,enter
2024-01-31,2024-02-01,SZ002129,enter
2024-01-31,2024-02-01,SZ002142,enter
2024-01-31,2024-02-01,SZ002156,enter
2024-01-31,2024-02-01,SZ002192,enter
2024-01-31,2024-02-01,SZ002222,enter
2024-01-31,2024-02-01,SZ002229,enter
2024-01-31,2024-02-01,SZ002230,enter
2024-01-31,2024-02-01,SZ002236,enter
2024-01-31,2024-02-01,SZ002241,enter
2024-01-31,2024-02-01,SZ002261,enter
2024-01-31,2024-02-01,SZ002271,enter
2024-01-31,2024-02-01,SZ002281,enter
2024-01-31,2024-02-01,SZ002292,enter
2024-01-31,2024-02-01,SZ002304,enter
2024-01-31,2024-02-01,SZ002352,enter
2024-01-31,2024-02-01,SZ002354,enter
2024-01-31,2024-02-01,SZ002371,enter
2024-01-31,2024-02-01,SZ002384,enter
2024-01-31,2024-02-01,SZ002415,enter
2024-01-31,2024-02-01,SZ002459,enter
2024-01-31,2024-02-01,SZ002460,enter
2024-01-31,2024-02-01,SZ002463,enter
2024-01-31,2024-02-01,SZ002466,enter
2024-01-31,2024-02-01,SZ002475,enter
2024-01-31,2024-02-01,SZ002517,enter
2024-01-31,2024-02-01,SZ002555,enter
2024-01-31,2024-02-01,SZ002558,enter
2024-01-31,2024-02-01,SZ002594,enter
2024-01-31,2024-02-01,SZ002602,enter
2024-01-31,2024-02-01,SZ002603,enter
2024-01-31,2024-02-01,SZ002607,enter
2024-01-31,2024-02-01,SZ002624,enter
2024-01-31,2024-02-01,SZ002654,enter
2024-01-31,2024-02-01,SZ002709,enter
2024-01-31,2024-02-01,SZ002714,enter
2024-01-31,2024-02-01,SZ002738,enter
2024-01-31,2024-02-01,SZ002756,enter
2024-01-31,2024-02-01,SZ002812,enter
2024-01-31,2024-02-01,SZ002865,enter
2024-01-31,2024-02-01,SZ300002,enter
2024-01-31,2024-02-01,SZ300014,enter
2024-01-31,2024-02-01,SZ300015,enter
2024-01-31,2024-02-01,SZ300033,enter
2024-01-31,2024-02-01,SZ300058,enter
2024-01-31,2024-02-01,SZ300059,enter
2024-01-31,2024-02-01,SZ300122,enter
2024-01-31,2024-02-01,SZ300124,enter
2024-01-31,2024-02-01,SZ300166,enter
2024-01-31,2024-02-01,SZ300182,enter
2024-01-31,2024-02-01,SZ300212,enter
2024-01-31,2024-02-01,SZ300229,enter
2024-01-31,2024-02-01,SZ300274,enter
2024-01-31,2024-02-01,SZ300308,enter
2024-01-31,2024-02-01,SZ300315,enter
2024-01-31,2024-02-01,SZ300339,enter
2024-01-31,2024-02-01,SZ300347,enter
2024-01-31,2024-02-01,SZ300364,enter
2024-01-31,2024-02-01,SZ300394,enter
2024-01-31,2024-02-01,SZ300418,enter
2024-01-31,2024-02-01,SZ300456,enter
2024-01-31,2024-02-01,SZ300459,enter
2024-01-31,2024-02-01,SZ300474,enter
2024-01-31,2024-02-01,SZ300476,enter
2024-01-31,2024-02-01,SZ300494,enter
2024-01-31,2024-02-01,SZ300496,enter
2024-01-31,2024-02-01,SZ300502,enter
2024-01-31,2024-02-01,SZ300570,enter
2024-01-31,2024-02-01,SZ300576,enter
2024-01-31,2024-02-01,SZ300620,enter
2024-01-31,2024-02-01,SZ300624,enter
2024-01-31,2024-02-01,SZ300678,enter
2024-01-31,2024-02-01,SZ300724,enter
2024-01-31,2024-02-01,SZ300750,enter
2024-01-31,2024-02-01,SZ300759,enter
2024-01-31,2024-02-01,SZ300760,enter
2024-01-31,2024-02-01,SZ300763,enter
2024-01-31,2024-02-01,SZ300769,enter
2024-01-31,2024-02-01,SZ300782,enter
2024-01-31,2024-02-01,SZ300896,enter
2024-01-31,2024-02-01,SZ301205,enter
2024-01-31,2024-02-01,SZ301236,enter
2024-02-29,2024-03-01,SH601939,enter
2024-02-29,2024-03-01,SH601995,enter
2024-02-29,2024-03-01,SH603108,enter
2024-02-29,2024-03-01,SH603888,enter
2024-02-29,2024-03-01,SZ000617,enter
2024-02-29,2024-03-01,SZ002174,enter
2024-02-29,2024-03-01,SZ002400,enter
2024-02-29,2024-03-01,SZ300017,enter
2024-02-29,2024-03-01,SZ300045,enter
2024-02-29,2024-03-01,SZ300223,enter
