selection_date,effective_date,instrument,rank,median_amount,mean_amount,valid_days,listing_trading_days,selection_reason,max_source_date
2024-01-31,2024-02-01,SZ300750,1,3971131.25,4471633.5,250,1374,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ000977,2,3943249.5,4460665.5,250,5741,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH600519,3,3641192.0,4133267.0,250,5445,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ300308,4,3357207.125,3485477.5,250,2876,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002230,5,3302567.375,3809855.5,250,3828,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ300418,6,2874048.25,3582047.0,250,2199,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ300059,7,2702682.875,3741953.0,250,3374,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH601012,8,2673464.5,3039732.75,250,2875,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002594,9,2430904.375,2742624.5,250,3063,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ000063,10,2417727.875,2858526.25,250,5838,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ000858,11,2399246.5,2736186.0,250,5838,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH601127,12,2321107.875,2911813.0,250,1859,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ300502,13,2301601.125,2548199.0,250,1929,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH601318,14,2212954.0,2597493.5,250,4120,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH603019,15,2210294.0,2880592.25,250,2251,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH601138,16,2038317.125,2390447.5,250,1375,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002261,17,1991991.4375,2411567.75,250,3777,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ000625,18,1910522.6875,2621692.75,250,5838,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002229,19,1849145.4375,2003628.0,250,3830,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ300274,20,1794093.0,1983969.375,250,2980,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH601888,21,1753236.0625,1990633.125,250,3479,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002371,22,1623952.8125,1944511.125,250,3377,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH600036,23,1621219.1875,1828048.5,250,5302,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002475,24,1587560.625,1798004.125,250,3251,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH603000,25,1538383.75,1813953.75,250,2863,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002466,26,1520316.375,1828184.625,250,3262,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH603259,27,1435058.3125,1691885.875,250,1398,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH601899,28,1430306.0625,1555499.125,250,3837,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH688256,29,1422833.8125,1754106.625,250,862,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH603083,30,1409209.375,1841994.75,250,1515,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ000988,31,1375055.5625,1870378.0,250,5741,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH600030,32,1371160.5625,1932764.25,250,5120,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ300364,33,1349948.9375,1881436.625,250,2199,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH688041,34,1313270.0,1505286.5,250,359,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH601360,35,1310810.3125,2881253.5,250,2929,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ000568,36,1309431.25,1444219.5,250,5838,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ300339,37,1277975.875,1617772.5,250,2808,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ300394,38,1258798.1875,1343540.625,250,2180,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH600150,39,1254907.5625,1718662.375,250,5838,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH688981,40,1221622.25,1940242.875,250,864,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH600276,41,1219777.4375,1480643.25,250,5652,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002241,42,1219556.6875,1685677.0,250,3820,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH688111,43,1196044.6875,1519538.25,250,1024,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002129,44,1182362.625,1401724.5,250,4084,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH603986,45,1174142.1875,1518196.75,250,1813,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH600050,46,1143198.125,1646468.5,250,5182,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002555,47,1127815.1875,1433532.625,250,3145,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ300033,48,1122948.6875,1458955.375,250,3428,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH601288,49,1117229.875,1222811.75,250,3295,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ000333,50,1116028.875,1229294.625,250,2524,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ300624,51,1098536.5625,1214498.375,250,1467,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH601398,52,1089097.4375,1217365.75,250,4201,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002463,53,1085537.625,1314316.125,250,3271,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ000938,54,1077418.1875,1367737.75,250,5838,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH600900,55,1066541.3125,1171432.625,250,4913,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ300058,56,1064966.1875,1678637.75,250,3389,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ000725,57,1055485.9375,1184003.625,250,5591,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH600809,58,1050028.0,1174278.0,250,5838,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002049,59,1041576.6875,1454049.75,250,4541,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SZ002460,60,1039448.84375,1209680.375,250,3277,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH688012,61,1036278.5625,1287026.5,250,1103,top_median_amount,2024-01-31
2024-01-31,2024-02-01,SH601728,62,1024906.8125,1586182.875,250,595,top_median_amount,2024-01-31
