component,status,evidence_path,pinned_commit_expected,pinned_commit_observed,commit_match,requires_qlib_upgrade
SignalRecord,available_in_pinned_qlib,qlib/workflow/record_temp.py,d5379c520f66a39953bad76234a7019a72796fd0,d5379c520f66a39953bad76234a7019a72796fd0,True,False
SigAnaRecord,available_in_pinned_qlib,qlib/workflow/record_temp.py,d5379c520f66a39953bad76234a7019a72796fd0,d5379c520f66a39953bad76234a7019a72796fd0,True,False
analysis_model,available_in_pinned_qlib,qlib/contrib/report/analysis_model/__init__.py,d5379c520f66a39953bad76234a7019a72796fd0,d5379c520f66a39953bad76234a7019a72796fd0,True,False
TopkDropoutStrategy,available_in_pinned_qlib,qlib/contrib/strategy/signal_strategy.py,d5379c520f66a39953bad76234a7019a72796fd0,d5379c520f66a39953bad76234a7019a72796fd0,True,False
hold_thresh,available_in_pinned_qlib,qlib/contrib/strategy/signal_strategy.py,d5379c520f66a39953bad76234a7019a72796fd0,d5379c520f66a39953bad76234a7019a72796fd0,True,False
EnhancedIndexingStrategy,available_in_pinned_qlib,qlib/contrib/strategy/signal_strategy.py,d5379c520f66a39953bad76234a7019a72796fd0,d5379c520f66a39953bad76234a7019a72796fd0,True,False
StructuredCovEstimator,available_in_pinned_qlib,qlib/model/riskmodel/structured.py,d5379c520f66a39953bad76234a7019a72796fd0,d5379c520f66a39953bad76234a7019a72796fd0,True,False
DoubleEnsemble,not_available,qlib/contrib/model/double_ensemble.py,d5379c520f66a39953bad76234a7019a72796fd0,d5379c520f66a39953bad76234a7019a72796fd0,True,True
Rolling components,available_in_pinned_qlib,qlib/contrib/rolling/base.py,d5379c520f66a39953bad76234a7019a72796fd0,d5379c520f66a39953bad76234a7019a72796fd0,True,False
Online components,available_in_pinned_qlib,qlib/workflow/online/manager.py,d5379c520f66a39953bad76234a7019a72796fd0,d5379c520f66a39953bad76234a7019a72796fd0,True,False
