importance_type,factor,feature_order,importance,selection_authority
gain,alpha158_CORD10,0,0.11448598142305855,diagnostic_only
gain,alpha158_CORD20,1,0.27855709301366005,diagnostic_only
gain,alpha158_CORD5,2,0.012037647975375876,diagnostic_only
gain,alpha158_CORR10,3,0.5286550377495587,diagnostic_only
gain,alpha158_CORR20,4,0.1315924746341956,diagnostic_only
gain,alpha158_CORR5,5,0.06170876139731263,diagnostic_only
gain,alpha158_HIGH0,6,0.049469980935100466,diagnostic_only
gain,alpha158_IMAX30,7,0.5258778666102444,diagnostic_only
gain,alpha158_IMAX60,8,0.38469200002145953,diagnostic_only
gain,alpha158_IMIN20,9,1.2845069060099377,diagnostic_only
gain,alpha158_IMIN5,10,0.03508669315488078,diagnostic_only
gain,alpha158_KLEN,11,3.4929933047160375,diagnostic_only
gain,alpha158_KLOW,12,0.276561358095023,diagnostic_only
gain,alpha158_KMID,13,0.008399805112276226,diagnostic_only
gain,alpha158_KUP,14,0.1365574788651429,diagnostic_only
gain,alpha158_LOW0,15,0.05373197526205331,diagnostic_only
gain,alpha158_MAX5,16,0.9961948203199427,diagnostic_only
gain,alpha158_MIN10,17,2.129912762967251,diagnostic_only
gain,alpha158_QTLD10,18,0.09327496181504102,diagnostic_only
gain,alpha158_QTLD5,19,0.037765692904940806,diagnostic_only
gain,alpha158_RSQR30,20,1.1465504507214064,diagnostic_only
gain,alpha158_STD60,21,1.8045772312761983,diagnostic_only
gain,alpha158_VMA60,22,0.19327165114009404,diagnostic_only
gain,alpha158_VSTD5,23,0.00834829513769364,diagnostic_only
gain,alpha158_VSUMD20,24,0.016469809917907696,diagnostic_only
gain,alpha158_VSUMD60,25,0.7610957812212291,diagnostic_only
gain,alpha360_VOLUME12,26,0.019542657770216465,diagnostic_only
gain,alpha360_VOLUME38,27,0.08204677318281028,diagnostic_only
gain,amount_cv_20,28,0.2914554514209158,diagnostic_only
gain,amount_mean_20,29,7.811374783988867,diagnostic_only
gain,corr_ret_amount_20,30,0.5196425664018989,diagnostic_only
gain,kunquant_alpha101_alpha002,31,0.0049367280153092,diagnostic_only
gain,kunquant_alpha101_alpha003,32,0.0277701727427484,diagnostic_only
gain,kunquant_alpha101_alpha005,33,0.31881722255565137,diagnostic_only
gain,kunquant_alpha101_alpha011,34,0.3368534981564153,diagnostic_only
gain,kunquant_alpha101_alpha012,35,0.007671564068004955,diagnostic_only
gain,kunquant_alpha101_alpha013,36,0.9843108162749559,diagnostic_only
gain,kunquant_alpha101_alpha020,37,0.24758669997390825,diagnostic_only
gain,kunquant_alpha101_alpha024,38,0.3073348673322016,diagnostic_only
