split_id,datetime,source_fold,reason
split_001,2019-11-06,train,embargo
split_001,2019-11-07,train,embargo
split_001,2019-11-08,train,embargo
split_001,2019-11-11,train,embargo
split_001,2019-11-12,train,embargo
split_001,2019-11-13,train,embargo
split_001,2019-11-14,train,embargo
split_001,2019-11-15,train,embargo
split_001,2019-11-18,train,embargo
split_001,2019-11-19,train,embargo
split_001,2019-11-20,train,embargo
split_001,2019-11-21,train,embargo
split_001,2019-11-22,train,embargo
split_001,2019-11-25,train,embargo
split_001,2019-11-26,train,embargo
split_001,2019-11-27,train,embargo
split_001,2019-11-28,train,embargo
split_001,2019-11-29,train,embargo
split_001,2019-12-02,train,embargo
split_001,2019-12-03,train,embargo
split_001,2020-04-30,validation,embargo
split_001,2020-05-06,validation,embargo
split_001,2020-05-07,validation,embargo
split_001,2020-05-08,validation,embargo
split_001,2020-05-11,validation,embargo
split_001,2020-05-12,validation,embargo
split_001,2020-05-13,validation,embargo
split_001,2020-05-14,validation,embargo
split_001,2020-05-15,validation,embargo
split_001,2020-05-18,validation,embargo
split_001,2020-05-19,validation,embargo
split_001,2020-05-20,validation,embargo
split_001,2020-05-21,validation,embargo
split_001,2020-05-22,validation,embargo
split_001,2020-05-25,validation,embargo
split_001,2020-05-26,validation,embargo
split_001,2020-05-27,validation,embargo
split_001,2020-05-28,validation,embargo
split_001,2020-05-29,validation,embargo
split_001,2020-06-01,validation,embargo
split_002,2020-05-06,train,embargo
split_002,2020-05-07,train,embargo
split_002,2020-05-08,train,embargo
split_002,2020-05-11,train,embargo
split_002,2020-05-12,train,embargo
split_002,2020-05-13,train,embargo
split_002,2020-05-14,train,embargo
split_002,2020-05-15,train,embargo
split_002,2020-05-18,train,embargo
split_002,2020-05-19,train,embargo
split_002,2020-05-20,train,embargo
split_002,2020-05-21,train,embargo
split_002,2020-05-22,train,embargo
split_002,2020-05-25,train,embargo
split_002,2020-05-26,train,embargo
split_002,2020-05-27,train,embargo
split_002,2020-05-28,train,embargo
split_002,2020-05-29,train,embargo
split_002,2020-06-01,train,embargo
split_002,2020-06-02,train,embargo
split_002,2020-11-05,validation,embargo
split_002,2020-11-06,validation,embargo
split_002,2020-11-09,validation,embargo
split_002,2020-11-10,validation,embargo
split_002,2020-11-11,validation,embargo
split_002,2020-11-12,validation,embargo
split_002,2020-11-13,validation,embargo
split_002,2020-11-16,validation,embargo
split_002,2020-11-17,validation,embargo
split_002,2020-11-18,validation,embargo
split_002,2020-11-19,validation,embargo
split_002,2020-11-20,validation,embargo
split_002,2020-11-23,validation,embargo
split_002,2020-11-24,validation,embargo
split_002,2020-11-25,validation,embargo
split_002,2020-11-26,validation,embargo
split_002,2020-11-27,validation,embargo
split_002,2020-11-30,validation,embargo
split_002,2020-12-01,validation,embargo
split_002,2020-12-02,validation,embargo
split_003,2020-11-06,train,embargo
split_003,2020-11-09,train,embargo
split_003,2020-11-10,train,embargo
split_003,2020-11-11,train,embargo
split_003,2020-11-12,train,embargo
split_003,2020-11-13,train,embargo
split_003,2020-11-16,train,embargo
split_003,2020-11-17,train,embargo
split_003,2020-11-18,train,embargo
split_003,2020-11-19,train,embargo
split_003,2020-11-20,train,embargo
split_003,2020-11-23,train,embargo
split_003,2020-11-24,train,embargo
split_003,2020-11-25,train,embargo
split_003,2020-11-26,train,embargo
split_003,2020-11-27,train,embargo
split_003,2020-11-30,train,embargo
split_003,2020-12-01,train,embargo
split_003,2020-12-02,train,embargo
split_003,2020-12-03,train,embargo
split_003,2021-05-06,validation,embargo
split_003,2021-05-07,validation,embargo
split_003,2021-05-10,validation,embargo
split_003,2021-05-11,validation,embargo
split_003,2021-05-12,validation,embargo
split_003,2021-05-13,validation,embargo
split_003,2021-05-14,validation,embargo
split_003,2021-05-17,validation,embargo
split_003,2021-05-18,validation,embargo
split_003,2021-05-19,validation,embargo
split_003,2021-05-20,validation,embargo
split_003,2021-05-21,validation,embargo
split_003,2021-05-24,validation,embargo
split_003,2021-05-25,validation,embargo
split_003,2021-05-26,validation,embargo
split_003,2021-05-27,validation,embargo
split_003,2021-05-28,validation,embargo
split_003,2021-05-31,validation,embargo
split_003,2021-06-01,validation,embargo
split_003,2021-06-02,validation,embargo
split_004,2021-05-06,train,embargo
split_004,2021-05-07,train,embargo
split_004,2021-05-10,train,embargo
split_004,2021-05-11,train,embargo
split_004,2021-05-12,train,embargo
split_004,2021-05-13,train,embargo
split_004,2021-05-14,train,embargo
split_004,2021-05-17,train,embargo
split_004,2021-05-18,train,embargo
split_004,2021-05-19,train,embargo
split_004,2021-05-20,train,embargo
split_004,2021-05-21,train,embargo
split_004,2021-05-24,train,embargo
split_004,2021-05-25,train,embargo
split_004,2021-05-26,train,embargo
split_004,2021-05-27,train,embargo
split_004,2021-05-28,train,embargo
split_004,2021-05-31,train,embargo
split_004,2021-06-01,train,embargo
split_004,2021-06-02,train,embargo
split_004,2021-11-08,validation,embargo
split_004,2021-11-09,validation,embargo
split_004,2021-11-10,validation,embargo
split_004,2021-11-11,validation,embargo
split_004,2021-11-12,validation,embargo
split_004,2021-11-15,validation,embargo
split_004,2021-11-16,validation,embargo
split_004,2021-11-17,validation,embargo
split_004,2021-11-18,validation,embargo
split_004,2021-11-19,validation,embargo
split_004,2021-11-22,validation,embargo
split_004,2021-11-23,validation,embargo
split_004,2021-11-24,validation,embargo
split_004,2021-11-25,validation,embargo
split_004,2021-11-26,validation,embargo
split_004,2021-11-29,validation,embargo
split_004,2021-11-30,validation,embargo
split_004,2021-12-01,validation,embargo
split_004,2021-12-02,validation,embargo
split_004,2021-12-03,validation,embargo
split_005,2021-11-08,train,embargo
split_005,2021-11-09,train,embargo
split_005,2021-11-10,train,embargo
split_005,2021-11-11,train,embargo
split_005,2021-11-12,train,embargo
split_005,2021-11-15,train,embargo
split_005,2021-11-16,train,embargo
split_005,2021-11-17,train,embargo
split_005,2021-11-18,train,embargo
split_005,2021-11-19,train,embargo
split_005,2021-11-22,train,embargo
split_005,2021-11-23,train,embargo
split_005,2021-11-24,train,embargo
split_005,2021-11-25,train,embargo
split_005,2021-11-26,train,embargo
split_005,2021-11-29,train,embargo
split_005,2021-11-30,train,embargo
split_005,2021-12-01,train,embargo
split_005,2021-12-02,train,embargo
split_005,2021-12-03,train,embargo
split_005,2022-05-06,validation,embargo
split_005,2022-05-09,validation,embargo
split_005,2022-05-10,validation,embargo
split_005,2022-05-11,validation,embargo
split_005,2022-05-12,validation,embargo
split_005,2022-05-13,validation,embargo
split_005,2022-05-16,validation,embargo
split_005,2022-05-17,validation,embargo
split_005,2022-05-18,validation,embargo
split_005,2022-05-19,validation,embargo
split_005,2022-05-20,validation,embargo
split_005,2022-05-23,validation,embargo
split_005,2022-05-24,validation,embargo
split_005,2022-05-25,validation,embargo
split_005,2022-05-26,validation,embargo
split_005,2022-05-27,validation,embargo
split_005,2022-05-30,validation,embargo
split_005,2022-05-31,validation,embargo
split_005,2022-06-01,validation,embargo
split_005,2022-06-02,validation,embargo
split_006,2022-05-06,train,embargo
split_006,2022-05-09,train,embargo
split_006,2022-05-10,train,embargo
split_006,2022-05-11,train,embargo
split_006,2022-05-12,train,embargo
split_006,2022-05-13,train,embargo
split_006,2022-05-16,train,embargo
split_006,2022-05-17,train,embargo
split_006,2022-05-18,train,embargo
split_006,2022-05-19,train,embargo
split_006,2022-05-20,train,embargo
split_006,2022-05-23,train,embargo
split_006,2022-05-24,train,embargo
split_006,2022-05-25,train,embargo
split_006,2022-05-26,train,embargo
split_006,2022-05-27,train,embargo
split_006,2022-05-30,train,embargo
split_006,2022-05-31,train,embargo
split_006,2022-06-01,train,embargo
split_006,2022-06-02,train,embargo
split_006,2022-11-08,validation,embargo
split_006,2022-11-09,validation,embargo
split_006,2022-11-10,validation,embargo
split_006,2022-11-11,validation,embargo
split_006,2022-11-14,validation,embargo
split_006,2022-11-15,validation,embargo
split_006,2022-11-16,validation,embargo
split_006,2022-11-17,validation,embargo
split_006,2022-11-18,validation,embargo
split_006,2022-11-21,validation,embargo
split_006,2022-11-22,validation,embargo
split_006,2022-11-23,validation,embargo
split_006,2022-11-24,validation,embargo
split_006,2022-11-25,validation,embargo
split_006,2022-11-28,validation,embargo
split_006,2022-11-29,validation,embargo
split_006,2022-11-30,validation,embargo
split_006,2022-12-01,validation,embargo
split_006,2022-12-02,validation,embargo
split_006,2022-12-05,validation,embargo
split_007,2022-11-08,train,embargo
split_007,2022-11-09,train,embargo
split_007,2022-11-10,train,embargo
split_007,2022-11-11,train,embargo
split_007,2022-11-14,train,embargo
split_007,2022-11-15,train,embargo
split_007,2022-11-16,train,embargo
split_007,2022-11-17,train,embargo
split_007,2022-11-18,train,embargo
split_007,2022-11-21,train,embargo
split_007,2022-11-22,train,embargo
split_007,2022-11-23,train,embargo
split_007,2022-11-24,train,embargo
split_007,2022-11-25,train,embargo
split_007,2022-11-28,train,embargo
split_007,2022-11-29,train,embargo
split_007,2022-11-30,train,embargo
split_007,2022-12-01,train,embargo
split_007,2022-12-02,train,embargo
split_007,2022-12-05,train,embargo
split_007,2023-05-05,validation,embargo
split_007,2023-05-08,validation,embargo
split_007,2023-05-09,validation,embargo
split_007,2023-05-10,validation,embargo
split_007,2023-05-11,validation,embargo
split_007,2023-05-12,validation,embargo
split_007,2023-05-15,validation,embargo
split_007,2023-05-16,validation,embargo
split_007,2023-05-17,validation,embargo
split_007,2023-05-18,validation,embargo
split_007,2023-05-19,validation,embargo
split_007,2023-05-22,validation,embargo
split_007,2023-05-23,validation,embargo
split_007,2023-05-24,validation,embargo
split_007,2023-05-25,validation,embargo
split_007,2023-05-26,validation,embargo
split_007,2023-05-29,validation,embargo
split_007,2023-05-30,validation,embargo
split_007,2023-05-31,validation,embargo
split_007,2023-06-01,validation,embargo
split_008,2023-05-05,train,embargo
split_008,2023-05-08,train,embargo
split_008,2023-05-09,train,embargo
split_008,2023-05-10,train,embargo
split_008,2023-05-11,train,embargo
split_008,2023-05-12,train,embargo
split_008,2023-05-15,train,embargo
split_008,2023-05-16,train,embargo
split_008,2023-05-17,train,embargo
split_008,2023-05-18,train,embargo
split_008,2023-05-19,train,embargo
split_008,2023-05-22,train,embargo
split_008,2023-05-23,train,embargo
split_008,2023-05-24,train,embargo
split_008,2023-05-25,train,embargo
split_008,2023-05-26,train,embargo
split_008,2023-05-29,train,embargo
split_008,2023-05-30,train,embargo
split_008,2023-05-31,train,embargo
split_008,2023-06-01,train,embargo
split_008,2023-11-08,validation,embargo
split_008,2023-11-09,validation,embargo
split_008,2023-11-10,validation,embargo
split_008,2023-11-13,validation,embargo
split_008,2023-11-14,validation,embargo
split_008,2023-11-15,validation,embargo
split_008,2023-11-16,validation,embargo
split_008,2023-11-17,validation,embargo
split_008,2023-11-20,validation,embargo
split_008,2023-11-21,validation,embargo
split_008,2023-11-22,validation,embargo
split_008,2023-11-23,validation,embargo
split_008,2023-11-24,validation,embargo
split_008,2023-11-27,validation,embargo
split_008,2023-11-28,validation,embargo
split_008,2023-11-29,validation,embargo
split_008,2023-11-30,validation,embargo
split_008,2023-12-01,validation,embargo
split_008,2023-12-04,validation,embargo
split_008,2023-12-05,validation,embargo
split_009,2023-11-08,train,embargo
split_009,2023-11-09,train,embargo
split_009,2023-11-10,train,embargo
split_009,2023-11-13,train,embargo
split_009,2023-11-14,train,embargo
split_009,2023-11-15,train,embargo
split_009,2023-11-16,train,embargo
split_009,2023-11-17,train,embargo
split_009,2023-11-20,train,embargo
split_009,2023-11-21,train,embargo
split_009,2023-11-22,train,embargo
split_009,2023-11-23,train,embargo
split_009,2023-11-24,train,embargo
split_009,2023-11-27,train,embargo
split_009,2023-11-28,train,embargo
split_009,2023-11-29,train,embargo
split_009,2023-11-30,train,embargo
split_009,2023-12-01,train,embargo
split_009,2023-12-04,train,embargo
split_009,2023-12-05,train,embargo
split_009,2024-05-08,validation,embargo
split_009,2024-05-09,validation,embargo
split_009,2024-05-10,validation,embargo
split_009,2024-05-13,validation,embargo
split_009,2024-05-14,validation,embargo
split_009,2024-05-15,validation,embargo
split_009,2024-05-16,validation,embargo
split_009,2024-05-17,validation,embargo
split_009,2024-05-20,validation,embargo
split_009,2024-05-21,validation,embargo
split_009,2024-05-22,validation,embargo
split_009,2024-05-23,validation,embargo
split_009,2024-05-24,validation,embargo
split_009,2024-05-27,validation,embargo
split_009,2024-05-28,validation,embargo
split_009,2024-05-29,validation,embargo
split_009,2024-05-30,validation,embargo
split_009,2024-05-31,validation,embargo
split_009,2024-06-03,validation,embargo
split_009,2024-06-04,validation,embargo
split_010,2024-05-09,train,embargo
split_010,2024-05-10,train,embargo
split_010,2024-05-13,train,embargo
split_010,2024-05-14,train,embargo
split_010,2024-05-15,train,embargo
split_010,2024-05-16,train,embargo
split_010,2024-05-17,train,embargo
split_010,2024-05-20,train,embargo
split_010,2024-05-21,train,embargo
split_010,2024-05-22,train,embargo
split_010,2024-05-23,train,embargo
split_010,2024-05-24,train,embargo
split_010,2024-05-27,train,embargo
split_010,2024-05-28,train,embargo
split_010,2024-05-29,train,embargo
split_010,2024-05-30,train,embargo
split_010,2024-05-31,train,embargo
split_010,2024-06-03,train,embargo
split_010,2024-06-04,train,embargo
split_010,2024-06-05,train,embargo
split_010,2024-11-07,validation,embargo
split_010,2024-11-08,validation,embargo
split_010,2024-11-11,validation,embargo
split_010,2024-11-12,validation,embargo
split_010,2024-11-13,validation,embargo
split_010,2024-11-14,validation,embargo
split_010,2024-11-15,validation,embargo
split_010,2024-11-18,validation,embargo
split_010,2024-11-19,validation,embargo
split_010,2024-11-20,validation,embargo
split_010,2024-11-21,validation,embargo
split_010,2024-11-22,validation,embargo
split_010,2024-11-25,validation,embargo
split_010,2024-11-26,validation,embargo
split_010,2024-11-27,validation,embargo
split_010,2024-11-28,validation,embargo
split_010,2024-11-29,validation,embargo
split_010,2024-12-02,validation,embargo
split_010,2024-12-03,validation,embargo
split_010,2024-12-04,validation,embargo
split_011,2024-11-08,train,embargo
split_011,2024-11-11,train,embargo
split_011,2024-11-12,train,embargo
split_011,2024-11-13,train,embargo
split_011,2024-11-14,train,embargo
split_011,2024-11-15,train,embargo
split_011,2024-11-18,train,embargo
split_011,2024-11-19,train,embargo
split_011,2024-11-20,train,embargo
split_011,2024-11-21,train,embargo
split_011,2024-11-22,train,embargo
split_011,2024-11-25,train,embargo
split_011,2024-11-26,train,embargo
split_011,2024-11-27,train,embargo
split_011,2024-11-28,train,embargo
split_011,2024-11-29,train,embargo
split_011,2024-12-02,train,embargo
split_011,2024-12-03,train,embargo
split_011,2024-12-04,train,embargo
split_011,2024-12-05,train,embargo
split_011,2025-05-08,validation,embargo
split_011,2025-05-09,validation,embargo
split_011,2025-05-12,validation,embargo
split_011,2025-05-13,validation,embargo
split_011,2025-05-14,validation,embargo
split_011,2025-05-15,validation,embargo
split_011,2025-05-16,validation,embargo
split_011,2025-05-19,validation,embargo
split_011,2025-05-20,validation,embargo
split_011,2025-05-21,validation,embargo
split_011,2025-05-22,validation,embargo
split_011,2025-05-23,validation,embargo
split_011,2025-05-26,validation,embargo
split_011,2025-05-27,validation,embargo
split_011,2025-05-28,validation,embargo
split_011,2025-05-29,validation,embargo
split_011,2025-05-30,validation,embargo
split_011,2025-06-03,validation,embargo
split_011,2025-06-04,validation,embargo
split_011,2025-06-05,validation,embargo
split_012,2025-05-08,train,embargo
split_012,2025-05-09,train,embargo
split_012,2025-05-12,train,embargo
split_012,2025-05-13,train,embargo
split_012,2025-05-14,train,embargo
split_012,2025-05-15,train,embargo
split_012,2025-05-16,train,embargo
split_012,2025-05-19,train,embargo
split_012,2025-05-20,train,embargo
split_012,2025-05-21,train,embargo
split_012,2025-05-22,train,embargo
split_012,2025-05-23,train,embargo
split_012,2025-05-26,train,embargo
split_012,2025-05-27,train,embargo
split_012,2025-05-28,train,embargo
split_012,2025-05-29,train,embargo
split_012,2025-05-30,train,embargo
split_012,2025-06-03,train,embargo
split_012,2025-06-04,train,embargo
split_012,2025-06-05,train,embargo
split_012,2025-11-07,validation,embargo
split_012,2025-11-10,validation,embargo
split_012,2025-11-11,validation,embargo
split_012,2025-11-12,validation,embargo
split_012,2025-11-13,validation,embargo
split_012,2025-11-14,validation,embargo
split_012,2025-11-17,validation,embargo
split_012,2025-11-18,validation,embargo
split_012,2025-11-19,validation,embargo
split_012,2025-11-20,validation,embargo
split_012,2025-11-21,validation,embargo
split_012,2025-11-24,validation,embargo
split_012,2025-11-25,validation,embargo
split_012,2025-11-26,validation,embargo
split_012,2025-11-27,validation,embargo
split_012,2025-11-28,validation,embargo
split_012,2025-12-01,validation,embargo
split_012,2025-12-02,validation,embargo
split_012,2025-12-03,validation,embargo
