split_id,datetime,source_fold,reason
split_001,2024-01-03,train,label_overlap
split_001,2024-01-04,train,label_overlap
split_001,2024-01-05,train,label_overlap
split_001,2024-01-08,train,label_overlap
split_001,2024-01-09,train,label_overlap
split_001,2024-01-10,train,label_overlap
split_001,2024-01-11,train,label_overlap
split_001,2024-01-12,train,label_overlap
split_001,2024-01-15,train,label_overlap
split_001,2024-01-16,train,label_overlap
split_001,2024-01-17,train,label_overlap
split_001,2024-01-18,train,label_overlap
split_001,2024-01-19,train,label_overlap
split_001,2024-01-22,train,label_overlap
split_001,2024-01-23,train,label_overlap
split_001,2024-01-24,train,label_overlap
split_001,2024-01-25,train,label_overlap
split_001,2024-01-26,train,label_overlap
split_001,2024-01-29,train,label_overlap
split_001,2024-01-30,train,label_overlap
split_001,2024-01-31,train,label_overlap
split_001,2024-07-03,validation,label_overlap
split_001,2024-07-04,validation,label_overlap
split_001,2024-07-05,validation,label_overlap
split_001,2024-07-08,validation,label_overlap
split_001,2024-07-09,validation,label_overlap
split_001,2024-07-10,validation,label_overlap
split_001,2024-07-11,validation,label_overlap
split_001,2024-07-12,validation,label_overlap
split_001,2024-07-15,validation,label_overlap
split_001,2024-07-16,validation,label_overlap
split_001,2024-07-17,validation,label_overlap
split_001,2024-07-18,validation,label_overlap
split_001,2024-07-19,validation,label_overlap
split_001,2024-07-22,validation,label_overlap
split_001,2024-07-23,validation,label_overlap
split_001,2024-07-24,validation,label_overlap
split_001,2024-07-25,validation,label_overlap
split_001,2024-07-26,validation,label_overlap
split_001,2024-07-29,validation,label_overlap
split_001,2024-07-30,validation,label_overlap
split_001,2024-07-31,validation,label_overlap
split_002,2024-07-05,train,label_overlap
split_002,2024-07-08,train,label_overlap
split_002,2024-07-09,train,label_overlap
split_002,2024-07-10,train,label_overlap
split_002,2024-07-11,train,label_overlap
split_002,2024-07-12,train,label_overlap
split_002,2024-07-15,train,label_overlap
split_002,2024-07-16,train,label_overlap
split_002,2024-07-17,train,label_overlap
split_002,2024-07-18,train,label_overlap
split_002,2024-07-19,train,label_overlap
split_002,2024-07-22,train,label_overlap
split_002,2024-07-23,train,label_overlap
split_002,2024-07-24,train,label_overlap
split_002,2024-07-25,train,label_overlap
split_002,2024-07-26,train,label_overlap
split_002,2024-07-29,train,label_overlap
split_002,2024-07-30,train,label_overlap
split_002,2024-07-31,train,label_overlap
split_002,2024-08-01,train,label_overlap
split_002,2024-08-02,train,label_overlap
split_002,2024-12-27,validation,label_overlap
split_002,2024-12-30,validation,label_overlap
split_002,2024-12-31,validation,label_overlap
split_002,2025-01-02,validation,label_overlap
split_002,2025-01-03,validation,label_overlap
split_002,2025-01-06,validation,label_overlap
split_002,2025-01-07,validation,label_overlap
split_002,2025-01-08,validation,label_overlap
split_002,2025-01-09,validation,label_overlap
split_002,2025-01-10,validation,label_overlap
split_002,2025-01-13,validation,label_overlap
split_002,2025-01-14,validation,label_overlap
split_002,2025-01-15,validation,label_overlap
split_002,2025-01-16,validation,label_overlap
split_002,2025-01-17,validation,label_overlap
split_002,2025-01-20,validation,label_overlap
split_002,2025-01-21,validation,label_overlap
split_002,2025-01-22,validation,label_overlap
split_002,2025-01-23,validation,label_overlap
split_002,2025-01-24,validation,label_overlap
split_002,2025-01-27,validation,label_overlap
split_003,2024-12-27,train,label_overlap
split_003,2024-12-30,train,label_overlap
split_003,2024-12-31,train,label_overlap
split_003,2025-01-02,train,label_overlap
split_003,2025-01-03,train,label_overlap
split_003,2025-01-06,train,label_overlap
split_003,2025-01-07,train,label_overlap
split_003,2025-01-08,train,label_overlap
split_003,2025-01-09,train,label_overlap
split_003,2025-01-10,train,label_overlap
split_003,2025-01-13,train,label_overlap
split_003,2025-01-14,train,label_overlap
split_003,2025-01-15,train,label_overlap
split_003,2025-01-16,train,label_overlap
split_003,2025-01-17,train,label_overlap
split_003,2025-01-20,train,label_overlap
split_003,2025-01-21,train,label_overlap
split_003,2025-01-22,train,label_overlap
split_003,2025-01-23,train,label_overlap
split_003,2025-01-24,train,label_overlap
split_003,2025-01-27,train,label_overlap
split_003,2025-07-07,validation,label_overlap
split_003,2025-07-08,validation,label_overlap
split_003,2025-07-09,validation,label_overlap
split_003,2025-07-10,validation,label_overlap
split_003,2025-07-11,validation,label_overlap
split_003,2025-07-14,validation,label_overlap
split_003,2025-07-15,validation,label_overlap
split_003,2025-07-16,validation,label_overlap
split_003,2025-07-17,validation,label_overlap
split_003,2025-07-18,validation,label_overlap
split_003,2025-07-21,validation,label_overlap
split_003,2025-07-22,validation,label_overlap
split_003,2025-07-23,validation,label_overlap
split_003,2025-07-24,validation,label_overlap
split_003,2025-07-25,validation,label_overlap
split_003,2025-07-28,validation,label_overlap
split_003,2025-07-29,validation,label_overlap
split_003,2025-07-30,validation,label_overlap
split_003,2025-07-31,validation,label_overlap
split_003,2025-08-01,validation,label_overlap
split_003,2025-08-04,validation,label_overlap
