split_id,fold,sample_dates
split_001,test,124
split_001,train,691
split_001,validation,77
split_002,test,120
split_002,train,810
split_002,validation,82
split_003,test,124
split_003,train,934
split_003,validation,78
split_004,test,118
split_004,train,1053
split_004,validation,83
split_005,test,125
split_005,train,1177
split_005,validation,77
split_006,test,118
split_006,train,1295
split_006,validation,84
split_007,test,125
split_007,train,1420
split_007,validation,77
split_008,test,118
split_008,train,1538
split_008,validation,84
split_009,test,123
split_009,train,1663
split_009,validation,77
split_010,test,119
split_010,train,1782
split_010,validation,81
split_011,test,124
split_011,train,1905
split_011,validation,77
split_012,test,100
split_012,train,2023
split_012,validation,83
