split_id,datetime,source_fold,reason
split_001,2019-12-04,train,label_overlap
split_001,2019-12-05,train,label_overlap
split_001,2019-12-06,train,label_overlap
split_001,2019-12-09,train,label_overlap
split_001,2019-12-10,train,label_overlap
split_001,2019-12-11,train,label_overlap
split_001,2019-12-12,train,label_overlap
split_001,2019-12-13,train,label_overlap
split_001,2019-12-16,train,label_overlap
split_001,2019-12-17,train,label_overlap
split_001,2019-12-18,train,label_overlap
split_001,2019-12-19,train,label_overlap
split_001,2019-12-20,train,label_overlap
split_001,2019-12-23,train,label_overlap
split_001,2019-12-24,train,label_overlap
split_001,2019-12-25,train,label_overlap
split_001,2019-12-26,train,label_overlap
split_001,2019-12-27,train,label_overlap
split_001,2019-12-30,train,label_overlap
split_001,2019-12-31,train,label_overlap
split_001,2020-01-02,train,label_overlap
split_001,2020-06-02,validation,label_overlap
split_001,2020-06-03,validation,label_overlap
split_001,2020-06-04,validation,label_overlap
split_001,2020-06-05,validation,label_overlap
split_001,2020-06-08,validation,label_overlap
split_001,2020-06-09,validation,label_overlap
split_001,2020-06-10,validation,label_overlap
split_001,2020-06-11,validation,label_overlap
split_001,2020-06-12,validation,label_overlap
split_001,2020-06-15,validation,label_overlap
split_001,2020-06-16,validation,label_overlap
split_001,2020-06-17,validation,label_overlap
split_001,2020-06-18,validation,label_overlap
split_001,2020-06-19,validation,label_overlap
split_001,2020-06-22,validation,label_overlap
split_001,2020-06-23,validation,label_overlap
split_001,2020-06-24,validation,label_overlap
split_001,2020-06-29,validation,label_overlap
split_001,2020-06-30,validation,label_overlap
split_001,2020-07-01,validation,label_overlap
split_001,2020-07-02,validation,label_overlap
split_002,2020-06-03,train,label_overlap
split_002,2020-06-04,train,label_overlap
split_002,2020-06-05,train,label_overlap
split_002,2020-06-08,train,label_overlap
split_002,2020-06-09,train,label_overlap
split_002,2020-06-10,train,label_overlap
split_002,2020-06-11,train,label_overlap
split_002,2020-06-12,train,label_overlap
split_002,2020-06-15,train,label_overlap
split_002,2020-06-16,train,label_overlap
split_002,2020-06-17,train,label_overlap
split_002,2020-06-18,train,label_overlap
split_002,2020-06-19,train,label_overlap
split_002,2020-06-22,train,label_overlap
split_002,2020-06-23,train,label_overlap
split_002,2020-06-24,train,label_overlap
split_002,2020-06-29,train,label_overlap
split_002,2020-06-30,train,label_overlap
split_002,2020-07-01,train,label_overlap
split_002,2020-07-02,train,label_overlap
split_002,2020-07-03,train,label_overlap
split_002,2020-12-03,validation,label_overlap
split_002,2020-12-04,validation,label_overlap
split_002,2020-12-07,validation,label_overlap
split_002,2020-12-08,validation,label_overlap
split_002,2020-12-09,validation,label_overlap
split_002,2020-12-10,validation,label_overlap
split_002,2020-12-11,validation,label_overlap
split_002,2020-12-14,validation,label_overlap
split_002,2020-12-15,validation,label_overlap
split_002,2020-12-16,validation,label_overlap
split_002,2020-12-17,validation,label_overlap
split_002,2020-12-18,validation,label_overlap
split_002,2020-12-21,validation,label_overlap
split_002,2020-12-22,validation,label_overlap
split_002,2020-12-23,validation,label_overlap
split_002,2020-12-24,validation,label_overlap
split_002,2020-12-25,validation,label_overlap
split_002,2020-12-28,validation,label_overlap
split_002,2020-12-29,validation,label_overlap
split_002,2020-12-30,validation,label_overlap
split_002,2020-12-31,validation,label_overlap
split_003,2020-12-04,train,label_overlap
split_003,2020-12-07,train,label_overlap
split_003,2020-12-08,train,label_overlap
split_003,2020-12-09,train,label_overlap
split_003,2020-12-10,train,label_overlap
split_003,2020-12-11,train,label_overlap
split_003,2020-12-14,train,label_overlap
split_003,2020-12-15,train,label_overlap
split_003,2020-12-16,train,label_overlap
split_003,2020-12-17,train,label_overlap
split_003,2020-12-18,train,label_overlap
split_003,2020-12-21,train,label_overlap
split_003,2020-12-22,train,label_overlap
split_003,2020-12-23,train,label_overlap
split_003,2020-12-24,train,label_overlap
split_003,2020-12-25,train,label_overlap
split_003,2020-12-28,train,label_overlap
split_003,2020-12-29,train,label_overlap
