check_name,status,observed_value,required_value,severity,reason
qlib_environment_resolved,pass,qlib_environment_v1:9fb963c45740b9a1eef36f32d703494eb446513f7857eec3d7ca9acbb3711983,passing environment artifact,critical,
signal_schema_valid,pass,735882,>0,critical,
market_schema_valid,pass,853936,>0,critical,
profile_compatible,pass,full_research,full_research,critical,
input_artifact_fresh,pass,pass,pass,critical,
complete_trading_calendar,pass,365,365,critical,
no_future_price_execution,pass,1,1,critical,
lot_size_valid,pass,1.4551915228366852e-11,<=1e-6 shares,critical,
cash_non_negative,pass,605529.4631601715,>=0,critical,
accounting_conservation,pass,7.450580596923828e-09,<=1e-8,critical,
commission_and_tax_reported,pass,"['cash_fee', 'commission', 'datetime', 'event_id', 'implementation_cost', 'instrument', 'side', 'slippage_cost', 'split_id', 'stamp_tax']",component columns,critical,
tradability_constraints_applied,pass,0,0,critical,
t_plus_one_applied_or_explicitly_limited,pass,True,True,critical,
volume_participation_respected,pass,0.10009765625,<=1.0 shares,critical,
unfilled_quantities_reported,pass,True,True,critical,
target_delta_orders_supported,pass,"['buy', 'sell']","['buy', 'sell']",critical,
unknown_semantic_difference_count,pass,0,0,critical,
pit_universe_complete,pass,True,True,critical,
tradability_source_complete,blocked,False,True,capability,volume/change proxies are not authoritative historical suspension and directional limit labels
