datetime,nav,return,total_turnover,turnover,total_cost,cost,value,cash,bench,calendar_complete,stock_value,accounting_error,split_id
2024-08-02,9962074.477967937,-0.003685357622651149,3526113.6259352826,0.35261136259352827,1071.9458055519622,0.00010719458055519622,3489260.049708771,6472814.428259165,0.0,True,3489260.049708771,4.656612873077393e-10,split_001
2024-08-05,9867229.747805437,-0.0089944687309257,10430425.861158859,0.6930596885712018,6313.108580815849,0.0005261115831702735,3993012.403798746,5874217.344006691,0.0,True,3993012.4037987455,4.656612873077393e-10,split_001
2024-08-06,9905617.944097344,0.004353731005008815,16675008.253696032,0.6328607473567772,10884.176375474926,0.00046325746045142255,4957570.3696582625,4948047.574439082,0.0,True,4957570.3696582625,-9.313225746154785e-10,split_001
2024-08-07,9922842.195470855,0.0022957437629771843,23111913.65756934,0.6498237101612622,16400.685615560473,0.0005569071279770868,4335007.548847729,5587834.646623125,0.0,True,4335007.548847728,9.313225746154785e-10,split_001
2024-08-08,9922214.533048013,0.00037463657566450665,28817611.63492544,0.5750064210393657,20745.807659372364,0.00043789087422907544,4845563.3611593675,5076651.171888646,0.0,True,4845563.361159368,-9.313225746154785e-10,split_001
2024-08-09,9902170.790554658,-0.0014695574549182108,35642322.43585529,0.6878213304296862,26208.28581638949,0.0005505301401036229,4878562.724628141,5023608.0659265155,0.0,True,4878562.724628139,2.7939677238464355e-09,split_001
2024-08-12,9863013.322389562,-0.0034851302078726413,41052009.073308885,0.5463132026175219,30855.39943580923,0.00046930251130918336,4359047.471497396,5503965.850892165,0.0,True,4359047.471497397,0.0,split_001
2024-08-13,9872864.281380273,0.0015069405590614436,47447880.18286632,0.648470290011519,35867.415255169704,0.00050816273440318,4692417.015662762,5180447.265717511,0.0,True,4692417.015662765,-2.7939677238464355e-09,split_001
2024-08-14,9814231.415005803,-0.005483310222572642,52527256.256637394,0.5144784663302343,40364.303989475244,0.0004554796466499034,3912336.115330247,5901895.299675555,0.0,True,3912336.115330247,9.313225746154785e-10,split_001
2024-08-15,9839159.097496271,0.002985319295075677,58715892.210227676,0.630577748974612,44735.23590856191,0.0004453667061899092,5188070.406825414,4651088.690670857,0.0,True,5188070.406825412,1.862645149230957e-09,split_001
2024-08-16,9809107.416019183,-0.002534952452247465,64916172.845264226,0.6301636728909393,49845.11690339926,0.0005193412307092018,4961774.867429622,4847332.548589559,0.0,True,4961774.8674296215,1.862645149230957e-09,split_001
2024-08-19,9813178.302090153,0.0008560273699682571,69931139.95070818,0.5112562124922853,54171.095255499844,0.00044101651339201946,4425632.611440632,5387545.6906495225,0.0,True,4425632.61144063,9.313225746154785e-10,split_001
2024-08-20,9731845.153652333,-0.007835442118416634,75140945.27619942,0.5308988754827347,58613.653109590814,0.00045271345504287126,3878943.981201264,5852901.172451068,0.0,True,3878943.981201266,-9.313225746154785e-10,split_001
2024-08-21,9708042.008320618,-0.0021620293761010494,79202628.59642775,0.41736004386629605,61376.26333544214,0.0002838732205695369,4968659.4003814105,4739382.607939209,0.0,True,4968659.400381412,-2.7939677238464355e-09,split_001
2024-08-22,9664823.168788522,-0.004009507969942103,84259294.20074564,0.5208738899135269,65670.63106264382,0.00044235158062985724,4528462.110552399,5136361.058236123,0.0,True,4528462.110552399,0.0,split_001
2024-08-23,9659963.224335698,-0.00012989856839229087,88514564.74401534,0.4402843661963335,69275.12882207762,0.00037295020265597044,4207776.006841636,5452187.217494062,0.0,True,4207776.006841636,0.0,split_001
2024-08-26,9635011.323714204,-0.00226153643965502,92466657.9353562,0.4091209355108744,72380.67060600931,0.00032148588061992934,4437834.299416824,5197177.024297381,0.0,True,4437834.299416823,0.0,split_001
2024-08-27,9541269.610208299,-0.00934759925263098,97154836.28963754,0.48657735800917445,76058.1594632725,0.0003816797649434991,4586249.484229774,4955020.125978526,0.0,True,4586249.484229777,-3.725290298461914e-09,split_001
2024-08-28,9544598.992110979,0.0007186470193847157,101389969.41663384,0.4438752178709108,79585.58252711486,0.00036970164432502113,4398087.244120336,5146511.747990642,0.0,True,4398087.244120335,1.862645149230957e-09,split_001
2024-08-29,9621148.009349426,0.00839782598370881,106193412.67622164,0.5032629724473544,83190.44670869791,0.00037768628986535987,5020616.396204926,4600531.6131445,0.0,True,5020616.396204926,0.0,split_001
2024-08-30,9738506.55359221,0.012824659860516792,114159434.10441221,0.8279699491629824,89219.85315350816,0.0006266826410893087,5890330.570386827,3848175.983205384,0.0,True,5890330.570386827,0.0,split_001
2024-09-02,9648792.8506068,-0.008560903505076507,121699859.0979037,0.7742896666953594,95563.14125006158,0.0006513614856287795,5234750.430014985,4414042.4205918135,0.0,True,5234750.430014985,9.313225746154785e-10,split_001
2024-09-03,9660406.963815635,0.0017341832388859603,128376517.88258807,0.6919682998754076,100681.80287823064,0.0005304976184504931,5783656.042743713,3876750.9210719224,0.0,True,5783656.042743712,9.313225746154785e-10,split_001
2024-09-04,9577662.240617376,-0.008032378816308491,134547385.59490946,0.6387792704215473,105830.47782341814,0.0005329666715359475,5422029.228479363,4155633.0121380137,0.0,True,5422029.228479362,0.0,split_001
2024-09-05,9589800.251448954,0.0017764296760423347,140277749.39085817,0.5983050615052108,110706.51042318327,0.0005091046726503496,4931557.15285376,4658243.098595194,0.0,True,4931557.152853759,9.313225746154785e-10,split_001
2024-09-06,9526095.69358368,-0.006068167218873247,147181409.34030432,0.7198961155007422,116218.55676707151,0.0005747821851717308,4967968.043180314,4558127.650403366,0.0,True,4967968.043180314,0.0,split_001
2024-09-09,9490235.198877603,-0.0031600512626289755,154953017.33577207,0.8158230029856128,121976.10074871546,0.0006043970338784179,5956824.9053049395,3533410.2935726633,0.0,True,5956824.905304941,-1.862645149230957e-09,split_001
2024-09-10,9489567.048664916,0.0005818350401644711,161929137.05535322,0.7350839650851028,128166.0023395112,0.0006522390078939043,4877244.101888016,4612322.9467768995,0.0,True,4877244.101888014,2.7939677238464355e-09,split_001
2024-09-11,9463755.291553933,-0.0023248669790441167,166388068.7871114,0.46987725666425456,131915.77837362813,0.00039514721956092705,4571415.396540828,4892339.895013106,0.0,True,4571415.396540827,0.0,split_001
2024-09-12,9476575.543562423,0.0017919138259449691,170885056.92910177,0.4751800953690937,136053.76031743322,0.00043724523894844296,3633119.6301832814,5843455.913379142,0.0,True,3633119.6301832823,-9.313225746154785e-10,split_001
2024-09-13,9399916.949702213,-0.007715738379095391,175231875.2137345,0.4586908282059335,139593.5765537827,0.000373533268434096,3543384.4236155753,5856532.526086638,0.0,True,3543384.4236155753,-4.656612873077393e-10,split_001
2024-09-18,9378173.025786536,-0.0019491701880291496,179910959.426494,0.4977793141999757,143015.46258115003,0.0003640336447308425,4256649.461854548,5121523.563931988,0.0,True,4256649.461854547,9.313225746154785e-10,split_001
2024-09-19,9451568.684541926,0.008236171071225184,184768027.97418517,0.517912021279199,146860.04120168748,0.00040994963624218334,4497663.025354993,4953905.659186933,0.0,True,4497663.0253549935,-9.313225746154785e-10,split_001
2024-09-20,9423504.425647056,-0.002562424385079569,189824769.24092466,0.5350160841564645,150705.37002203288,0.00040684556698344145,4979940.565982057,4443563.859664999,0.0,True,4979940.565982055,1.862645149230957e-09,split_001
2024-09-23,9444891.959990673,0.002777448011267414,194637008.90093136,0.5106634902096174,155491.12930459893,0.000507853455190312,3264677.954471173,6180214.0055195,0.0,True,3264677.954471173,-4.656612873077393e-10,split_001
2024-09-24,9634419.438101877,0.020455318306370054,200330253.07394683,0.6027855265187276,159161.92260427974,0.00038865381575888707,5294224.185152058,4340195.25294982,0.0,True,5294224.185152055,1.862645149230957e-09,split_001
2024-09-25,9673289.656965442,0.0047549133948809035,208840754.11843368,0.883343422939405,166102.53377884583,0.0007203974478335036,5114718.928983231,4558570.727982212,0.0,True,5114718.928983232,-1.862645149230957e-09,split_001
2024-09-26,9835011.69279452,0.017327930999065242,216022467.16150123,0.7424271677728798,171998.59365963607,0.0006095196246444113,5008004.417116216,4827007.275678303,0.0,True,5008004.417116215,1.862645149230957e-09,split_001
2024-09-27,10134745.892581724,0.031095352199062547,224863923.46592268,0.8989777115261612,178087.54634177685,0.0006191098569411729,7330542.717753526,2804203.1748281987,0.0,True,7330542.71775353,-4.6566128730773926e-09,split_001
2024-09-30,10981692.105856325,0.0840931519392235,232849686.68353042,0.7879588992411771,183404.0592774712,0.0005245827563950927,10339352.533412427,642339.5724438981,0.0,True,10339352.533412427,0.0,split_001
2024-10-08,11870136.192694314,0.08179466590509021,244352401.8070109,1.0474446936411823,193203.80931056757,0.0008923715888802176,10042440.501659662,1827695.6910346516,0.0,True,10042440.501659669,-7.450580596923828e-09,split_001
2024-10-09,11196529.62305493,-0.056150079377025326,253463064.51418498,0.7675280686991116,200301.28951406534,0.0005979274448313447,9786632.511914415,1409897.1111405147,0.0,True,9786632.511914415,-1.862645149230957e-09,split_001
2024-10-10,11119541.17297068,-0.005838531798197466,267849372.13865477,1.284889881847563,211918.4453646478,0.0010375675536696137,9521057.60212653,1598483.5708441515,0.0,True,9521057.60212653,0.0,split_001
2024-10-11,10779805.895964116,-0.02964645671756551,280322974.73947775,1.1217731385485357,221998.72626754956,0.0009065374862233383,9008027.935722202,1771777.9602419147,0.0,True,9008027.935722204,-1.862645149230957e-09,split_001
2024-10-14,11171230.837647043,0.03694168435117833,288714704.4313086,0.7784676062648473,228797.97136029977,0.0006307391022036674,9310109.711149234,1861121.1264978081,0.0,True,9310109.711149232,1.862645149230957e-09,split_001
2024-10-15,10881733.866068507,-0.024958164167750888,301790490.80356175,1.1704875283919232,239481.52973700018,0.0009563456822230212,8635811.633413697,2245922.2326548104,0.0,True,8635811.633413697,0.0,split_001
2024-10-16,10842141.176226579,-0.002885888688385377,311738244.91972697,0.9141699510943171,247670.74690482096,0.0007525654705962302,8190964.831549315,2651176.344677263,0.0,True,8190964.831549314,1.862645149230957e-09,split_001
2024-10-17,10799824.613593547,-0.0032182222016411037,320527180.51924217,0.8106272973816817,255094.89009119337,0.0006847488024460737,7452844.282317696,3346980.3312758505,0.0,True,7452844.282317695,9.313225746154785e-10,split_001
2024-10-18,11032906.58655841,0.02223960546977088,330188140.1312736,0.8945478244036835,262196.7556753704,0.0006575908256174856,9053783.359696811,1979123.2268616003,0.0,True,9053783.359696813,-1.862645149230957e-09,split_001
2024-10-21,11108404.94395423,0.007836790747685052,342787352.58716434,1.1419667480227345,273160.9785371664,0.0009937746482104623,7385639.260458352,3722765.6834958764,0.0,True,7385639.260458351,1.862645149230957e-09,split_001
2024-10-22,11337708.692198541,0.021432652594736222,354818727.6012556,1.0830875427024609,281939.814338276,0.0007902877006556654,9354525.169358784,1983183.5228397562,0.0,True,9354525.169358782,1.862645149230957e-09,split_001
2024-10-23,11313902.457976691,-0.001107366186898102,368652232.9724551,1.2201323694899924,293191.0533174842,0.0009923732638280065,9031278.161447842,2282624.2965288498,0.0,True,9031278.16144784,1.862645149230957e-09,split_001
