datetime,instrument_count,buyable_count,sellable_count,suspended_count,limit_up_count,limit_down_count
2026-02-04,30,30,30,0,0,0
2026-02-05,30,30,30,0,0,0
2026-02-06,30,30,30,0,0,0
2026-02-09,30,30,30,0,0,0
2026-02-10,30,30,30,0,0,0
2026-02-11,30,30,30,0,0,0
2026-02-12,30,29,30,0,1,0
2026-02-13,30,30,29,0,0,1
2026-02-24,30,29,30,0,1,0
2026-02-25,30,29,30,0,1,0
2026-02-26,30,30,30,0,0,0
2026-02-27,30,30,30,0,0,0
2026-03-02,30,28,30,0,2,0
2026-03-03,30,28,30,0,2,0
2026-03-04,30,30,30,0,0,0
2026-03-05,30,30,30,0,0,0
2026-03-06,30,30,30,0,0,0
2026-03-09,30,30,29,0,0,1
2026-03-10,30,30,30,0,0,0
2026-03-11,30,30,30,0,0,0
2026-03-12,30,30,30,0,0,0
2026-03-13,30,30,30,0,0,0
2026-03-16,30,30,30,0,0,0
2026-03-17,30,30,30,0,0,0
2026-03-18,30,30,30,0,0,0
2026-03-19,30,30,30,0,0,0
2026-03-20,30,30,30,0,0,0
2026-03-23,30,29,30,0,1,0
2026-03-24,30,28,30,0,2,0
2026-03-25,30,29,30,0,1,0
2026-03-26,30,30,30,0,0,0
2026-03-27,30,30,30,0,0,0
2026-03-30,30,30,30,0,0,0
2026-03-31,30,30,30,0,0,0
2026-04-01,30,30,30,0,0,0
2026-04-02,30,30,30,0,0,0
2026-04-03,30,30,30,0,0,0
2026-04-07,30,30,30,0,0,0
2026-04-08,30,30,30,0,0,0
2026-04-09,30,30,30,0,0,0
2026-04-10,30,30,30,0,0,0
2026-04-13,30,29,30,0,1,0
2026-04-14,30,30,30,0,0,0
2026-04-15,30,30,30,0,0,0
2026-04-16,30,30,30,0,0,0
2026-04-17,30,30,30,0,0,0
2026-04-20,30,30,30,0,0,0
2026-04-21,30,29,30,0,1,0
2026-04-22,30,30,30,0,0,0
2026-04-23,30,30,30,0,0,0
2026-04-24,30,30,29,0,0,1
2026-04-27,30,30,30,0,0,0
2026-04-28,30,30,30,0,0,0
2026-04-29,30,30,30,0,0,0
2026-04-30,30,30,30,0,0,0
2026-05-06,30,30,30,0,0,0
2026-05-07,30,30,30,0,0,0
2026-05-08,30,30,30,0,0,0
2026-05-11,30,30,30,0,0,0
2026-05-12,30,30,30,0,0,0
2026-05-13,30,30,30,0,0,0
2026-05-14,30,30,30,0,0,0
2026-05-15,30,30,30,0,0,0
2026-05-18,30,29,30,0,1,0
2026-05-19,30,29,30,0,1,0
2026-05-20,30,30,29,0,0,1
2026-05-21,30,30,30,0,0,0
2026-05-22,30,30,30,0,0,0
2026-05-25,30,30,30,0,0,0
2026-05-26,30,29,30,0,1,0
2026-05-27,30,30,30,0,0,0
2026-05-28,30,29,30,0,1,0
2026-05-29,30,29,30,0,1,0
2026-06-01,30,29,30,0,1,0
2026-06-02,30,30,30,0,0,0
2026-06-03,30,30,30,0,0,0
2026-06-04,30,30,30,0,0,0
2026-06-05,30,30,30,0,0,0
2026-06-08,30,30,30,0,0,0
2026-06-09,30,30,30,0,0,0
