file_role,instrument,field,relative_path,exists,size_bytes,sha256
calendar,,,calendars/day.txt,True,70433,fd7cf1436bbc2d497171aaae139c2deedaf649c2d6b20b66c8e1a544de305b60
feature,SH600000,$amount,features/sh600000/amount.day.bin,True,25616,545fc4408d7128501f63f7bd2842c602adf5d4daf89eac0a4583fa16280a2470
feature,SH600000,$close,features/sh600000/close.day.bin,True,25616,1ae607239e0058b1cd82703db8b8dc209ab479879bba41d597ab34311a598e2b
feature,SH600000,$high,features/sh600000/high.day.bin,True,25616,15db7a864dbcd6b67fa8190a1775b7f3841bd0c0b3e4d1969451df782f2a8b11
feature,SH600000,$low,features/sh600000/low.day.bin,True,25616,45a0370707c3f9b687088029b65aa154ae35a1902d008cbfd23c0545bdfec02c
feature,SH600000,$open,features/sh600000/open.day.bin,True,25616,8c5b02ad82206c52b93b3c5977d85417937e81e74b6b38bf75521b64c36f3c0c
feature,SH600000,$volume,features/sh600000/volume.day.bin,True,25616,61d3624f210a49163ab50a64f83fa412f8fbd2bb3751e0542ad968c5a47274c6
feature,SH600000,$vwap,features/sh600000/vwap.day.bin,True,25616,fc9aa008e55f2598866a63f2c6dd05109c43c4fba8220befd5a7bf49ca5cba5f
feature,SH600004,$amount,features/sh600004/amount.day.bin,True,22452,54b55306c3d91df61ef186545ff9c95bb9f163fa67b6d8e30a7403f974a5c0cf
feature,SH600004,$close,features/sh600004/close.day.bin,True,22452,97b28184dac5f0a02363f797ceff1435d3e3041f53da076615827888579bcfe7
feature,SH600004,$high,features/sh600004/high.day.bin,True,22452,628f48b3ad153d7a370541e224296bd249940dfd25bdd267aca4e312decc6ea7
feature,SH600004,$low,features/sh600004/low.day.bin,True,22452,726c24fa085efafb71aa5d02186e98a6a59a2dc4cc503728988a75f4813722a9
feature,SH600004,$open,features/sh600004/open.day.bin,True,22452,4fbd45a311d06e843b4971f822429a0170c55a7d43a3426fa1939d72c6af20e1
feature,SH600004,$volume,features/sh600004/volume.day.bin,True,22452,2aae2d0ebe8c756d2c03bca76cf39a28a0c1e3b790a55f01608f25022094b137
feature,SH600004,$vwap,features/sh600004/vwap.day.bin,True,22452,07e7555125fbd345a99de4f3f1a5d3af6a08a32c6ac906fc7b7d3337faf07e1d
feature,SH600006,$amount,features/sh600006/amount.day.bin,True,25616,956a4610ad5e7e5d7b0cacae58f9782061cba950235da2b9004c832cc8a8ce0a
feature,SH600006,$close,features/sh600006/close.day.bin,True,25616,ddf3a9ab9ccb72b7c0d5a23e82868580b165a46d1645773aae07583f3b054fd6
feature,SH600006,$high,features/sh600006/high.day.bin,True,25616,866ed80f5178b2ee84b4efd81417b5263a039b765572a7a71726bd9b9d297109
feature,SH600006,$low,features/sh600006/low.day.bin,True,25616,073a6622e529f936ad76f42d51b23d8784f400e81a915d85d776a3af70514759
feature,SH600006,$open,features/sh600006/open.day.bin,True,25616,b72430c843cfe1285a8b4421a9db0023bce663b307234714cd48fcad72ee9ad8
