factor,category,expected_direction,slice_count,positive_directional_slices,mean_directional_rank_ic,min_directional_rank_ic,mean_abs_rank_ic,latest_rank_ic,latest_directional_rank_ic
amplitude_20,risk,negative,4,4,0.06501434266848723,0.0450890719677199,0.06501434266848723,-0.0450890719677199,0.0450890719677199
std_20,risk,negative,4,4,0.0623951949553938,0.0445271235251814,0.0623951949553938,-0.0473688389072974,0.0473688389072974
rev_5,reversal,positive,4,4,0.028299021601183777,0.0204481240722206,0.028299021601183777,0.0341781263097398,0.0341781263097398
amount_mean_20,liquidity,watch,4,0,,,0.07948419210649704,-0.0679739859491363,
amount_std_20,liquidity,watch,4,0,,,0.09143924779632168,-0.0805325841620862,
corr_ret_volume_20,price_volume,watch,4,0,,,0.029823326425079726,-0.0188761560140754,
ret_10,momentum,watch,4,0,,,0.036242284611411525,-0.0431701351403359,
ret_20,momentum,watch,4,0,,,0.0582399890994047,-0.0748178195858401,
ret_5,momentum,watch,4,0,,,0.028299021601183777,-0.0341781263097398,
volume_ratio_5_20,liquidity,watch,4,0,,,0.02119090011790875,-0.0406472431458379,
