slice,start_time,end_time,market,label,factor,category,expected_direction,coverage,mean_rank_ic,directional_mean_rank_ic,rank_icir,mean_ic,icir,valid_rows
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_10d_t1,amount_std_20,liquidity,watch,0.7836781239191406,-0.1161117460055847,,-0.855738210307065,-0.0294449126117081,-0.3740263386102093,2288442
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_10d_t1,amount_mean_20,liquidity,watch,0.7836781239191406,-0.105932124899471,,-0.7473280889706788,-0.0270983881014928,-0.3331679977838588,2288442
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_10d_t1,ret_20,momentum,watch,0.8689198768547975,-0.0576520794370404,,-0.366862489049936,-0.0428750980485577,-0.3094357248842961,2537359
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_10d_t1,amplitude_20,risk,negative,0.7836781239191406,-0.0486244019373454,0.0486244019373454,-0.2579972113495229,-0.0190175771960644,-0.1113094377635165,2288442
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_10d_t1,std_20,risk,negative,0.7777773592271577,-0.0445271235251814,0.0445271235251814,-0.246494916483229,-0.0176901707928247,-0.1094769694037681,2271211
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_10d_t1,corr_ret_volume_20,price_volume,watch,0.7777773592271577,-0.0375647844233943,,-0.3795589980289676,-0.0209532652696265,-0.2371601984302613,2271211
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_10d_t1,ret_10,momentum,watch,0.8822925691664412,-0.032657250434708,,-0.2181689764982825,-0.017762857252126,-0.1305923554314841,2576409
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_10d_t1,ret_5,momentum,watch,0.8906250749110485,-0.0313252762639734,,-0.2206070663070458,-0.010604108480615,-0.0795030521749393,2600741
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_10d_t1,rev_5,reversal,positive,0.8906250749110485,0.0313252762639734,0.0313252762639734,0.2206070663070458,0.010604108480615,0.0795030521749393,2600741
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_10d_t1,volume_ratio_5_20,liquidity,watch,0.7836781239191406,-0.0049760488886153,,-0.04755229662949,-0.0112374165506412,-0.1229315870780697,2288442
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_10d_t1,amplitude_20,risk,negative,0.9021767202578266,-0.0730491700966212,0.0730491700966212,-0.4527423675852873,-0.0385798775123057,-0.2630794331748851,1568464
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_10d_t1,std_20,risk,negative,0.9000145524991473,-0.0692664241336619,0.0692664241336619,-0.4441840367473267,-0.0406301397888171,-0.2888832412532911,1564705
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_10d_t1,ret_20,momentum,watch,0.912412936654064,-0.0554919097293854,,-0.3697458979925193,-0.0440498314227478,-0.3207546084488412,1586260
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_10d_t1,amount_std_20,liquidity,watch,0.9021767202578266,-0.0521987061264538,,-0.3695995458577173,-0.0194913351955305,-0.202157579835594,1568464
