source_evidence,outer_split_id,method,importance_type,factor,feature_order,importance,selection_authority
split_001,split_001,lightgbm,gain,alpha158_BETA10,0,0.4763595034519312,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_BETA5,1,0.1621396874834317,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_CNTD30,2,0.324025951312251,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_CNTP60,3,0.5922372945860843,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_CORD10,4,0.1475266587149235,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_CORD20,5,0.3533590991410165,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_CORD5,6,0.0907784621558676,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_CORD60,7,0.7507887981137173,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_CORR10,8,0.1747049010264163,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_CORR20,9,0.4874272503438988,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_CORR5,10,0.0508513991971995,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_HIGH0,11,0.0920311712252441,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_IMIN20,12,0.5115838775827797,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_KLEN,13,2.254838560402277,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_KLOW,14,0.2240188686555484,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_KMID,15,0.0417835971493332,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_KUP,16,0.1025135986928944,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_LOW0,17,0.1464059643367363,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_MAX5,18,1.0105906391545432,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_MIN10,19,1.262271855455765,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_QTLD60,20,4.087017714736703,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_RSQR30,21,1.0376481161538322,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_VMA30,22,0.1769247095653554,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_VMA60,23,0.3407980426984522,diagnostic_only
split_001,split_001,lightgbm,gain,alpha158_VSUMD60,24,0.3410108940101963,diagnostic_only
split_001,split_001,lightgbm,gain,alpha360_LOW1,25,0.3236156088245252,diagnostic_only
split_001,split_001,lightgbm,gain,alpha360_VOLUME13,26,0.0734922001411177,diagnostic_only
split_001,split_001,lightgbm,gain,amount_cv_20,27,0.5816755914293026,diagnostic_only
split_001,split_001,lightgbm,gain,amount_std_20,28,6.960596105465811,diagnostic_only
split_001,split_001,lightgbm,gain,corr_ret_amount_20,29,0.5790092449915392,diagnostic_only
split_001,split_001,lightgbm,gain,kunquant_alpha101_alpha003,30,0.0987920549996488,diagnostic_only
split_001,split_001,lightgbm,gain,kunquant_alpha101_alpha011,31,0.1580620056511179,diagnostic_only
split_001,split_001,lightgbm,gain,kunquant_alpha101_alpha012,32,0.036097897318541,diagnostic_only
split_001,split_001,lightgbm,gain,kunquant_alpha101_alpha013,33,0.2147965287540501,diagnostic_only
split_001,split_001,lightgbm,gain,kunquant_alpha101_alpha020,34,0.0822475791082979,diagnostic_only
split_001,split_001,lightgbm,gain,kunquant_alpha101_alpha029,35,0.0987999351473263,diagnostic_only
split_001,split_001,lightgbm,gain,kunquant_alpha101_alpha034,36,0.0335433059226488,diagnostic_only
split_001,split_001,lightgbm,gain,kunquant_alpha101_alpha050,37,0.1864643175704259,diagnostic_only
split_001,split_001,lightgbm,gain,kunquant_alpha101_alpha055,38,0.1032489847481201,diagnostic_only
split_001,split_001,lightgbm,gain,kunquant_alpha101_alpha062,39,0.0328172240697313,diagnostic_only
split_001,split_001,lightgbm,gain,kunquant_alpha101_alpha094,40,0.2154540686296968,diagnostic_only
split_001,split_001,lightgbm,gain,ta_trend_mass_index,41,1.146157992850931,diagnostic_only
split_001,split_001,lightgbm,gain,ta_volatility_bbhi,42,0.0461320044196327,diagnostic_only
split_001,split_001,lightgbm,gain,ta_volume_cmf,43,0.4687079026844003,diagnostic_only
split_001,split_001,lightgbm,gain,ta_volume_sma_em,44,0.8785520918431757,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_BETA10,0,313.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_BETA5,1,144.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_CNTD30,2,286.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_CNTP60,3,481.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_CORD10,4,191.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_CORD20,5,290.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_CORD5,6,126.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_CORD60,7,568.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_CORR10,8,138.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_CORR20,9,349.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_CORR5,10,80.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_HIGH0,11,61.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_IMIN20,12,276.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_KLEN,13,463.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_KLOW,14,132.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_KMID,15,63.0,diagnostic_only
split_001,split_001,lightgbm,split,alpha158_KUP,16,98.0,diagnostic_only
