outer_split_id,method,factor,feature_order,coefficient,coefficient_nonzero
split_002,elastic_net,alpha158_CNTP10,0,-0.0,False
split_002,elastic_net,alpha158_CNTP5,1,-0.0,False
split_002,elastic_net,alpha158_CORD10,2,-0.0,False
split_002,elastic_net,alpha158_CORD20,3,-0.0,False
split_002,elastic_net,alpha158_CORD5,4,-0.0,False
split_002,elastic_net,alpha158_CORR5,5,-0.0,False
split_002,elastic_net,alpha158_HIGH0,6,-0.0,False
split_002,elastic_net,alpha158_IMAX10,7,-0.0,False
split_002,elastic_net,alpha158_IMAX20,8,-0.0,False
split_002,elastic_net,alpha158_IMAX60,9,-0.0,False
split_002,elastic_net,alpha158_IMIN5,10,0.0,False
split_002,elastic_net,alpha158_KLEN,11,-0.009716195481496227,True
split_002,elastic_net,alpha158_KLOW,12,-0.0,False
split_002,elastic_net,alpha158_KUP,13,-0.0,False
split_002,elastic_net,alpha158_LOW0,14,0.0,False
split_002,elastic_net,alpha158_MIN10,15,0.0,False
split_002,elastic_net,alpha158_STD10,16,-0.0,False
split_002,elastic_net,alpha158_VMA60,17,-0.0,False
split_002,elastic_net,alpha158_VSTD5,18,-0.0,False
split_002,elastic_net,alpha158_VSUMD20,19,-0.0,False
split_002,elastic_net,alpha158_VSUMD60,20,-0.0,False
split_002,elastic_net,alpha360_HIGH34,21,0.009325227263895975,True
split_002,elastic_net,alpha360_LOW1,22,0.0,False
split_002,elastic_net,amount_cv_20,23,-0.0,False
split_002,elastic_net,kunquant_alpha101_alpha002,24,0.0,False
split_002,elastic_net,kunquant_alpha101_alpha011,25,0.0,False
split_002,elastic_net,kunquant_alpha101_alpha012,26,0.0,False
split_002,elastic_net,kunquant_alpha101_alpha013,27,0.0,False
split_002,elastic_net,kunquant_alpha101_alpha020,28,0.0,False
split_002,elastic_net,kunquant_alpha101_alpha026,29,0.0,False
split_002,elastic_net,kunquant_alpha101_alpha029,30,0.0,False
split_002,elastic_net,kunquant_alpha101_alpha034,31,-0.0,False
split_002,elastic_net,kunquant_alpha101_alpha050,32,0.0,False
split_002,elastic_net,kunquant_alpha101_alpha055,33,0.0,False
split_002,elastic_net,kunquant_alpha101_alpha062,34,0.0,False
split_002,elastic_net,kunquant_alpha101_alpha077,35,-0.0,False
split_002,elastic_net,kunquant_alpha101_alpha083,36,0.0025249441604880698,True
split_002,elastic_net,kunquant_alpha101_alpha085,37,0.0,False
split_002,elastic_net,kunquant_alpha101_alpha094,38,0.0027965246856844245,True
split_002,elastic_net,ta_momentum_ao,39,-0.0,False
split_002,elastic_net,ta_trend_dpo,40,0.0,False
split_002,elastic_net,ta_volatility_atr,41,-0.0,False
split_002,elastic_net,ta_volatility_bbhi,42,-0.0,False
split_002,elastic_net,ta_volume_cmf,43,-0.0,False
split_002,elastic_net,ta_volume_em,44,-0.0,False
split_002,elastic_net,ta_volume_sma_em,45,-0.0,False
split_003,elastic_net,alpha158_CORD10,0,0.002624791139929745,True
split_003,elastic_net,alpha158_CORD20,1,-0.00564074941646923,True
split_003,elastic_net,alpha158_CORD5,2,0.001371987776718184,True
split_003,elastic_net,alpha158_CORR10,3,-0.004603973177983009,True
split_003,elastic_net,alpha158_CORR20,4,-0.003162752568355832,True
split_003,elastic_net,alpha158_CORR5,5,-0.0008668577538360955,True
split_003,elastic_net,alpha158_HIGH0,6,0.0,False
split_003,elastic_net,alpha158_IMAX30,7,-0.00420051331934784,True
split_003,elastic_net,alpha158_IMAX60,8,-0.0011192329601654517,True
split_003,elastic_net,alpha158_IMIN20,9,0.003872674995069712,True
split_003,elastic_net,alpha158_IMIN5,10,-0.0023976754545959014,True
split_003,elastic_net,alpha158_KLEN,11,-0.01295080732652657,True
split_003,elastic_net,alpha158_KLOW,12,-0.0029005994512470473,True
split_003,elastic_net,alpha158_KMID,13,0.0008030139950366542,True
split_003,elastic_net,alpha158_KUP,14,-0.0027500886427942526,True
split_003,elastic_net,alpha158_LOW0,15,-0.0,False
split_003,elastic_net,alpha158_MAX5,16,-0.0013909708343331818,True
split_003,elastic_net,alpha158_MIN10,17,0.0041680222107983115,True
split_003,elastic_net,alpha158_QTLD10,18,0.004209263005998139,True
split_003,elastic_net,alpha158_QTLD5,19,0.003072405428637922,True
split_003,elastic_net,alpha158_RSQR30,20,0.005427340998811861,True
split_003,elastic_net,alpha158_STD60,21,0.0,False
split_003,elastic_net,alpha158_VMA60,22,-0.0020340431988444155,True
split_003,elastic_net,alpha158_VSTD5,23,-0.0004221687139694294,True
split_003,elastic_net,alpha158_VSUMD20,24,0.0030763326679452067,True
