outer_split_id,method,factor,feature_order,coefficient,coefficient_nonzero
split_001,ridge,alpha158_BETA10,0,-0.004700533636826543,True
split_001,ridge,alpha158_BETA5,1,-0.003713624740787568,True
split_001,ridge,alpha158_CNTD30,2,0.002720078908635138,True
split_001,ridge,alpha158_CNTP60,3,0.0017114102197886194,True
split_001,ridge,alpha158_CORD10,4,0.003499106286853696,True
split_001,ridge,alpha158_CORD20,5,-0.0024548150474764103,True
split_001,ridge,alpha158_CORD5,6,0.0011072305276127107,True
split_001,ridge,alpha158_CORD60,7,-0.0019773668564236437,True
split_001,ridge,alpha158_CORR10,8,-0.003317928910538757,True
split_001,ridge,alpha158_CORR20,9,-0.0012914753017178632,True
split_001,ridge,alpha158_CORR5,10,7.88670105852487e-06,True
split_001,ridge,alpha158_HIGH0,11,0.08035775576410573,True
split_001,ridge,alpha158_IMIN20,12,-0.0011024254302146037,True
split_001,ridge,alpha158_KLEN,13,-0.07304197816080119,True
split_001,ridge,alpha158_KLOW,14,0.014620554424179628,True
split_001,ridge,alpha158_KMID,15,0.0588858257086249,True
split_001,ridge,alpha158_KUP,16,-0.02080147176889249,True
split_001,ridge,alpha158_LOW0,17,-0.011265942863975914,True
split_001,ridge,alpha158_MAX5,18,-0.009222924795200493,True
split_001,ridge,alpha158_MIN10,19,-0.005876408957536767,True
split_001,ridge,alpha158_QTLD60,20,0.01949147239344285,True
split_001,ridge,alpha158_RSQR30,21,0.006864635812871093,True
split_001,ridge,alpha158_VMA30,22,-0.00412338270949297,True
split_001,ridge,alpha158_VMA60,23,0.0002919618872871056,True
split_001,ridge,alpha158_VSUMD60,24,-0.0013003884636739714,True
split_001,ridge,alpha360_LOW1,25,0.008547842202619354,True
split_001,ridge,alpha360_VOLUME13,26,-0.0008809820083803075,True
split_001,ridge,amount_cv_20,27,0.001481730761125515,True
split_001,ridge,amount_std_20,28,-0.011774070703853418,True
split_001,ridge,corr_ret_amount_20,29,0.003787148421214799,True
split_001,ridge,kunquant_alpha101_alpha003,30,-0.0010116698548359344,True
split_001,ridge,kunquant_alpha101_alpha011,31,0.002906674831505217,True
split_001,ridge,kunquant_alpha101_alpha012,32,-0.0005673445573885226,True
split_001,ridge,kunquant_alpha101_alpha013,33,0.004040350248717007,True
split_001,ridge,kunquant_alpha101_alpha020,34,-0.0020055985390202945,True
split_001,ridge,kunquant_alpha101_alpha029,35,-0.00045061278491452105,True
split_001,ridge,kunquant_alpha101_alpha034,36,-0.0003184051275531925,True
split_001,ridge,kunquant_alpha101_alpha050,37,0.00021920976795755388,True
split_001,ridge,kunquant_alpha101_alpha055,38,-0.0006140130365317514,True
split_001,ridge,kunquant_alpha101_alpha062,39,0.0007760667358146062,True
split_001,ridge,kunquant_alpha101_alpha094,40,0.003333119351765443,True
split_001,ridge,ta_trend_mass_index,41,0.001925042918477626,True
split_001,ridge,ta_volatility_bbhi,42,0.003914525165220315,True
split_001,ridge,ta_volume_cmf,43,-0.0034724544556374863,True
split_001,ridge,ta_volume_sma_em,44,-0.0012030528229885885,True
