batch_id,partition_path,recorded_sha256,observed_sha256,hash_verified,factor_count,runtime_dir
alpha158_001,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_001.parquet,ebfe02588ebe3027938c44a5fb5fa799674930be4273dd0eb20d9926e1e76b74,ebfe02588ebe3027938c44a5fb5fa799674930be4273dd0eb20d9926e1e76b74,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha158_002,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_002.parquet,b874d2b7d2965e491f0ace16f523f467ae047a4f164769b4c0420fad05424080,b874d2b7d2965e491f0ace16f523f467ae047a4f164769b4c0420fad05424080,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha158_003,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_003.parquet,bd5616ba8258cf0718b2c967f90b18e5eac1ce01e73463c438ea96e663f4926c,bd5616ba8258cf0718b2c967f90b18e5eac1ce01e73463c438ea96e663f4926c,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha158_004,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_004.parquet,3adac2bb1f377c010b5683733285fe611a9cda84b0a796d5b6cf68ddb07aedb8,3adac2bb1f377c010b5683733285fe611a9cda84b0a796d5b6cf68ddb07aedb8,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha158_005,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_005.parquet,f543071ebf7795cbd9e71d2208da735a870382f744177b7485803c31d9467efd,f543071ebf7795cbd9e71d2208da735a870382f744177b7485803c31d9467efd,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha158_006,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_006.parquet,7cbb1aa4549f81dccfe363106167ba54bb10a328116d17eca3211e25c5490ae5,7cbb1aa4549f81dccfe363106167ba54bb10a328116d17eca3211e25c5490ae5,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha360_004,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_004.parquet,50798ca687a4d87b9200e1532244051ff2167be506d053e38d35e248db1019bb,50798ca687a4d87b9200e1532244051ff2167be506d053e38d35e248db1019bb,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha360_005,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_005.parquet,da3e5a6df55033c0e4439fe8add7047215c7ae15ed9be86f8071a7a7a2a38426,da3e5a6df55033c0e4439fe8add7047215c7ae15ed9be86f8071a7a7a2a38426,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha360_010,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_010.parquet,b3d77a9d139b0ef5501c48d7722d5bc281d8936da80d29a0083067c526947194,b3d77a9d139b0ef5501c48d7722d5bc281d8936da80d29a0083067c526947194,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha360_011,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_011.parquet,fa3ef37a0ac65df9c1249aa6026a530053fc0f58f66ceac9f7f7087d1ab5f36e,fa3ef37a0ac65df9c1249aa6026a530053fc0f58f66ceac9f7f7087d1ab5f36e,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
ta_001,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/ta_001.parquet,727798c0ec76387b2a2e6bc6ec2c1de4a963344631f9bb88042d0851f3d8ab1e,727798c0ec76387b2a2e6bc6ec2c1de4a963344631f9bb88042d0851f3d8ab1e,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
ta_002,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/ta_002.parquet,9bcc7479514c24651e7bfff875e07ae55db79de9f6111ec33e6f9f6bf364d91a,9bcc7479514c24651e7bfff875e07ae55db79de9f6111ec33e6f9f6bf364d91a,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
ta_003,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/ta_003.parquet,3cfa3b82a7f3ad8480dbe8465f2c200420e20e72ff4cf64611eb383b56f558a2,3cfa3b82a7f3ad8480dbe8465f2c200420e20e72ff4cf64611eb383b56f558a2,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
ta_004,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/ta_004.parquet,bad64c946eaa94688ef68699b655bba352cdccef2cc30642b2d037031af72f7c,bad64c946eaa94688ef68699b655bba352cdccef2cc30642b2d037031af72f7c,True,2,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha101_001,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha101_001.parquet,cc35ac5ce4b7ef717f7c4543bb8acc8644c9c4210f8cb2755e491895d6e008ec,cc35ac5ce4b7ef717f7c4543bb8acc8644c9c4210f8cb2755e491895d6e008ec,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha101_002,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha101_002.parquet,1b363f0af8f7f7b6fedb97a5c2fdb5cd164e7a8faa684dd1893270596384a1d0,1b363f0af8f7f7b6fedb97a5c2fdb5cd164e7a8faa684dd1893270596384a1d0,True,25,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
alpha101_003,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha101_003.parquet,3a230efed79d298677c55b1398194fe49f71df87278c9c55c7049b77c78a094a,3a230efed79d298677c55b1398194fe49f71df87278c9c55c7049b77c78a094a,True,14,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
project_basic_001,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/project_basic_001.parquet,150ee624075e85074162c87fc0eba195889391549a4890bd5b9198cb93948742,150ee624075e85074162c87fc0eba195889391549a4890bd5b9198cb93948742,True,15,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime
