check_name,status,observed_value,required_value,severity,reason
canary_gate_passed,pass,not_required,pass_or_not_required,critical,
mutation_case_count,pass,12,12,critical,
development_projection_hash_unchanged,pass,12,12,critical,
selection_payload_hashes_unchanged,pass,12,12,critical,
selection_parent_chain_valid,pass,[],[],critical,
all_mutations_touch_test_rows,pass,12,12,critical,
mutation_effective,pass,12,12,critical,
row_order_canonicalized,pass,4,4,critical,
alpha101_axis_relabel_mutation_blocked,pass,pass,pass,critical,
lifecycle_illegal_key_impact_covered,pass,True,True,critical,
