method,datetime,rows,minimum_components,median_components,outer_split_id,expected_component_count,required_component_count
equal_weight,2024-08-01,200,14,45.0,split_001,45,5
equal_weight,2024-08-02,200,16,45.0,split_001,45,5
equal_weight,2024-08-05,200,16,45.0,split_001,45,5
equal_weight,2024-08-06,200,14,45.0,split_001,45,5
equal_weight,2024-08-07,200,14,45.0,split_001,45,5
equal_weight,2024-08-08,200,26,45.0,split_001,45,5
equal_weight,2024-08-09,200,34,45.0,split_001,45,5
equal_weight,2024-08-12,200,36,45.0,split_001,45,5
equal_weight,2024-08-13,200,36,45.0,split_001,45,5
equal_weight,2024-08-14,200,37,45.0,split_001,45,5
stability_weight,2024-08-01,200,14,45.0,split_001,45,5
stability_weight,2024-08-02,200,16,45.0,split_001,45,5
stability_weight,2024-08-05,200,16,45.0,split_001,45,5
stability_weight,2024-08-06,200,14,45.0,split_001,45,5
stability_weight,2024-08-07,200,14,45.0,split_001,45,5
stability_weight,2024-08-08,200,26,45.0,split_001,45,5
stability_weight,2024-08-09,200,34,45.0,split_001,45,5
stability_weight,2024-08-12,200,36,45.0,split_001,45,5
stability_weight,2024-08-13,200,36,45.0,split_001,45,5
stability_weight,2024-08-14,200,37,45.0,split_001,45,5
