outer_split_id,method,factor,factor_column,feature_order,cluster_id,direction,selection_frequency,upstream_fdr_q_value,raw_weight,weight
split_001,equal_weight,alpha158_BETA10,alpha158_BETA10,0,cluster_033,-1,1.0,0.0200356388793219,1.0,0.02222222222222222
split_001,equal_weight,alpha158_BETA5,alpha158_BETA5,1,cluster_019,-1,1.0,0.0383794423398383,1.0,0.02222222222222222
split_001,equal_weight,alpha158_CNTD30,alpha158_CNTD30,2,cluster_037,-1,1.0,0.0310537946901583,1.0,0.02222222222222222
split_001,equal_weight,alpha158_CNTP60,alpha158_CNTP60,3,cluster_038,-1,0.6666666666666666,0.0188058694552201,1.0,0.02222222222222222
split_001,equal_weight,alpha158_CORD10,alpha158_CORD10,4,cluster_009,-1,1.0,0.0263450242703354,1.0,0.02222222222222222
split_001,equal_weight,alpha158_CORD20,alpha158_CORD20,5,cluster_040,-1,1.0,0.0042033438259853,1.0,0.02222222222222222
split_001,equal_weight,alpha158_CORD5,alpha158_CORD5,6,cluster_010,-1,1.0,0.039546252564004,1.0,0.02222222222222222
split_001,equal_weight,alpha158_CORD60,alpha158_CORD60,7,cluster_041,-1,1.0,0.0042033438259853,1.0,0.02222222222222222
split_001,equal_weight,alpha158_CORR10,alpha158_CORR10,8,cluster_015,-1,1.0,0.0109051787373465,1.0,0.02222222222222222
split_001,equal_weight,alpha158_CORR20,alpha158_CORR20,9,cluster_016,-1,1.0,0.0310537946901583,1.0,0.02222222222222222
split_001,equal_weight,alpha158_CORR5,alpha158_CORR5,10,cluster_011,-1,1.0,0.0042033438259853,1.0,0.02222222222222222
split_001,equal_weight,alpha158_HIGH0,alpha158_HIGH0,11,cluster_004,-1,1.0,0.0162288043082745,1.0,0.02222222222222222
split_001,equal_weight,alpha158_IMIN20,alpha158_IMIN20,12,cluster_032,1,1.0,0.0135168202583932,1.0,0.02222222222222222
split_001,equal_weight,alpha158_KLEN,alpha158_KLEN,13,cluster_003,-1,1.0,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,alpha158_KLOW,alpha158_KLOW,14,cluster_007,-1,1.0,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,alpha158_KMID,alpha158_KMID,15,cluster_021,-1,0.6666666666666666,0.0068546837777607,1.0,0.02222222222222222
split_001,equal_weight,alpha158_KUP,alpha158_KUP,16,cluster_006,-1,1.0,0.0042033438259853,1.0,0.02222222222222222
split_001,equal_weight,alpha158_LOW0,alpha158_LOW0,17,cluster_020,1,1.0,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,alpha158_MAX5,alpha158_MAX5,18,cluster_005,-1,1.0,0.0238689881547024,1.0,0.02222222222222222
split_001,equal_weight,alpha158_MIN10,alpha158_MIN10,19,cluster_030,1,1.0,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,alpha158_QTLD60,alpha158_QTLD60,20,cluster_036,1,1.0,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,alpha158_RSQR30,alpha158_RSQR30,21,cluster_044,1,0.6666666666666666,0.0238689881547024,1.0,0.02222222222222222
split_001,equal_weight,alpha158_VMA30,alpha158_VMA30,22,cluster_025,1,1.0,0.0162288043082745,1.0,0.02222222222222222
split_001,equal_weight,alpha158_VMA60,alpha158_VMA60,23,cluster_028,1,1.0,0.0042033438259853,1.0,0.02222222222222222
split_001,equal_weight,alpha158_VSUMD60,alpha158_VSUMD60,24,cluster_027,-1,1.0,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,alpha360_LOW1,alpha360_LOW1,25,cluster_022,1,1.0,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,alpha360_VOLUME13,alpha360_VOLUME13,26,cluster_026,1,1.0,0.0479230072253328,1.0,0.02222222222222222
split_001,equal_weight,amount_cv_20,amount_cv_20,27,cluster_018,-1,1.0,0.0068546837777607,1.0,0.02222222222222222
split_001,equal_weight,amount_std_20,amount_std_20,28,cluster_001,-1,1.0,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,corr_ret_amount_20,corr_ret_amount_20,29,cluster_039,-1,0.6666666666666666,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,kunquant_alpha101_alpha003,kunquant_alpha101_alpha003,30,cluster_017,1,1.0,0.0479230072253328,1.0,0.02222222222222222
split_001,equal_weight,kunquant_alpha101_alpha011,kunquant_alpha101_alpha011,31,cluster_002,1,0.6666666666666666,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,kunquant_alpha101_alpha012,kunquant_alpha101_alpha012,32,cluster_008,1,1.0,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,kunquant_alpha101_alpha013,kunquant_alpha101_alpha013,33,cluster_012,1,1.0,0.0068546837777607,1.0,0.02222222222222222
split_001,equal_weight,kunquant_alpha101_alpha020,kunquant_alpha101_alpha020,34,cluster_045,-1,0.6666666666666666,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,35,cluster_043,1,1.0,0.0042033438259853,1.0,0.02222222222222222
split_001,equal_weight,kunquant_alpha101_alpha034,kunquant_alpha101_alpha034,36,cluster_023,1,0.6666666666666666,0.039546252564004,1.0,0.02222222222222222
split_001,equal_weight,kunquant_alpha101_alpha050,kunquant_alpha101_alpha050,37,cluster_013,1,1.0,0.0288785288785288,1.0,0.02222222222222222
split_001,equal_weight,kunquant_alpha101_alpha055,kunquant_alpha101_alpha055,38,cluster_014,1,1.0,0.0042033438259853,1.0,0.02222222222222222
split_001,equal_weight,kunquant_alpha101_alpha062,kunquant_alpha101_alpha062,39,cluster_042,1,1.0,0.0082104627559173,1.0,0.02222222222222222
split_001,equal_weight,kunquant_alpha101_alpha094,kunquant_alpha101_alpha094,40,cluster_031,1,1.0,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,ta_trend_mass_index,ta_trend_mass_index,41,cluster_029,-1,1.0,0.0162288043082745,1.0,0.02222222222222222
split_001,equal_weight,ta_volatility_bbhi,ta_volatility_bbhi,42,cluster_024,-1,1.0,0.0031825317539603,1.0,0.02222222222222222
split_001,equal_weight,ta_volume_cmf,ta_volume_cmf,43,cluster_035,-1,1.0,0.0031825317539603,1.0,0.02222222222222222
