metric,value
market,all_stock_shsz_liquid2000
start_time,2021-01-01
end_time,2023-12-29
provider_uri,E:/qlib_prj/qlib_data/cn_data_community_20260609_derived
rows,1414832
instruments,1977
dates,727
can_buy_rate,0.5854928358985377
can_sell_rate,0.9913381942166986
avg_tradability_score,89.0552411876463
liquidity_source,amount
warning_count,2
is_suspended_rate,0.003500768995894919
is_suspended_count,4953
is_limit_up_rate,0.012141370848270324
is_limit_up_count,17178
is_limit_down_rate,0.0032753005303809922
is_limit_down_count,4634
is_one_price_limit_up_rate,0.0007781842649869383
is_one_price_limit_up_count,1101
is_one_price_limit_down_rate,0.0002593947549956461
is_one_price_limit_down_count,367
is_low_liquidity_rate,0.3987038743822588
is_low_liquidity_count,564099
is_new_listing_rate,0.0
is_new_listing_count,0
has_price_anomaly_rate,0.0
has_price_anomaly_count,0
has_volume_anomaly_rate,0.0
has_volume_anomaly_count,0
has_core_missing_rate,0.003500768995894919
has_core_missing_count,4953
