view,level,clusters,singletons,largest_cluster
Full,0.995,390,327,13
Full,0.95,202,132,21
Full,0.85,132,78,40
Full,0.7,89,48,84
A,0.995,376,289,21
A,0.95,205,137,21
A,0.85,135,84,42
A,0.7,94,54,70
B,0.995,383,301,19
B,0.95,201,132,21
B,0.85,133,78,41
B,0.7,93,49,83
C,0.995,389,325,13
C,0.95,197,126,21
C,0.85,126,75,42
C,0.7,90,45,60
D,0.995,386,324,13
D,0.95,192,130,21
D,0.85,118,66,41
D,0.7,82,39,84
LOO_A,0.995,388,323,13
LOO_A,0.95,199,130,21
LOO_A,0.85,126,74,41
LOO_A,0.7,86,44,89
LOO_B,0.995,391,329,13
LOO_B,0.95,200,131,21
LOO_B,0.85,129,76,41
LOO_B,0.7,87,45,89
LOO_C,0.995,376,287,13
LOO_C,0.95,201,132,21
LOO_C,0.85,129,78,41
LOO_C,0.7,91,47,64
LOO_D,0.995,380,295,19
LOO_D,0.95,203,132,21
LOO_D,0.85,131,78,41
LOO_D,0.7,91,48,70
Stable,0.995,390,314,19
Stable,0.95,206,139,21
Stable,0.85,137,86,41
Stable,0.7,95,54,69
