level,cluster_id,members,mechanisms,horizons,unresolved_members
0.7,01314af9e4417c3d0bc9,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,01fcac5bb765d95e8467,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,084d1953fa6e95c9d420,40,"[""alpha158_ma"", ""alpha158_qtlu"", ""alpha158_rank"", ""alpha158_roc"", ""alpha158_rsv"", ""alpha158_sumd"", ""alpha158_sumn"", ""alpha158_sump"", ""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""return_continuation""]","[""lag_28"", ""lag_29"", ""lag_30"", ""lag_31"", ""lag_32"", ""lag_33"", ""unspecified"", ""window_30"", ""window_60""]",0
0.7,090683173fb01cdf2ee3,1,"[""return_continuation""]","[""unspecified""]",0
0.7,096b65b04803e28136e0,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,0b4afbeca84160affc0b,2,"[""alpha158_corr""]","[""window_20"", ""window_30""]",0
0.7,0d32654d4acac8673d96,2,"[""alpha158_imin"", ""return_continuation""]","[""unspecified"", ""window_30""]",0
0.7,1303cc6a38ccb52763b5,3,"[""alpha158_vsumd"", ""alpha158_vsumn"", ""alpha158_vsump""]","[""window_60""]",0
0.7,18df133f20e21603ea37,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,1b16596826f868178bb4,2,"[""mixed_formula_information"", ""within_day_price_formation""]","[""unspecified""]",2
0.7,1b38bfa13b0c49a9bec0,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,1b68000d27572f51cedb,2,"[""mixed_formula_information""]","[""unspecified""]",2
0.7,1c5454bddbd0899a96cc,1,"[""Low total and residual risk, low extreme positive payoff and shallow drawdown capture defensive, lottery-preference and limits-to-arbitrage channels.""]","[""name_window_60""]",0
0.7,1e206f5b67fa299dde6c,4,"[""alpha158_resi"", ""return_continuation""]","[""unspecified"", ""window_60""]",0
0.7,1e4d503306f15d3a7192,10,"[""alpha158_ma"", ""alpha158_qtld"", ""alpha158_rank"", ""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_5"", ""lag_6"", ""window_10""]",0
0.7,1f29a4164dbaa92e277d,1,"[""alpha158_corr""]","[""window_60""]",0
0.7,1f6e793d220fb2ea30d9,1,"[""alpha158_std""]","[""window_5""]",0
0.7,259358b995af78733bce,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,267261053d03d587f853,3,"[""Unusually intense or unstable trading can reflect attention and speculative overpricing under short-sale constraints."", ""liquidity_or_speculative_activity""]","[""name_window_20"", ""unspecified""]",0
0.7,274fe06e351439162ade,2,"[""return_continuation""]","[""unspecified""]",0
0.7,2783a85af99f4aedfd9e,1,"[""alpha158_cord""]","[""window_10""]",0
0.7,28f83ec655f723919f67,1,"[""intraday_kup""]","[""same_day""]",0
0.7,306dd709e0cf9595b3eb,64,"[""Retail-driven overreaction and temporary overnight sentiment can reverse over subsequent horizons."", ""alpha158_roc"", ""alpha158_sumd"", ""alpha158_sumn"", ""alpha158_sump"", ""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""normalized_price_slope"", ""return_continuation"", ""within_day_price_formation""]","[""lag_17"", ""lag_18"", ""lag_19"", ""lag_20"", ""lag_21"", ""lag_22"", ""lag_23"", ""lag_24"", ""lag_25"", ""lag_26"", ""lag_27"", ""name_window_1"", ""name_window_20"", ""window_20"", ""window_30""]",0
0.7,312802d1df6967429110,1,"[""Low total and residual risk, low extreme positive payoff and shallow drawdown capture defensive, lottery-preference and limits-to-arbitrage channels.""]","[""name_window_21""]",0
0.7,37c60535286cdbb7c959,2,"[""alpha158_cntd"", ""alpha158_cntp""]","[""window_30""]",0
0.7,3d6080105dd630377426,1,"[""Valuation ratios proxy a common cheapness dimension while earnings, book, sales, cash flow and distributions retain different accounting sensitivities.""]","[""unspecified""]",0
0.7,3d98f2e823046ee142e9,1,"[""alpha158_cord""]","[""window_5""]",0
0.7,3db9cdc608d812db8352,3,"[""alpha158_vsumd"", ""alpha158_vsumn"", ""alpha158_vsump""]","[""window_30""]",0
0.7,41154db95b8742a5acdb,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,414dee373d3aad690f3a,1,"[""liquidity_or_speculative_activity""]","[""name_window_20""]",0
0.7,45689d8e05088884c616,1,"[""realized_or_residual_risk""]","[""unspecified""]",0
0.7,496b9558f6b15d4d6131,1,"[""alpha158_imin""]","[""window_60""]",0
0.7,4d67c4edaacfd610ed74,7,"[""alpha158_ma"", ""alpha158_qtld"", ""historical_close_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_2"", ""lag_3"", ""window_5""]",0
0.7,50ef5790d359c06b271d,1,"[""alpha158_std""]","[""window_10""]",0
0.7,511395e662969568f545,5,"[""realized_or_residual_risk""]","[""name_window_20"", ""unspecified""]",0
0.7,55751743b948d82b74c7,2,"[""mixed_formula_information"", ""within_day_price_formation""]","[""unspecified""]",2
0.7,55e13bfb6fbc57412205,1,"[""short_horizon_overreaction""]","[""name_window_20_5""]",0
0.7,57eec38f5d9f31f5a342,4,"[""alpha158_min"", ""alpha158_qtld""]","[""window_20"", ""window_30"", ""window_60""]",0
0.7,5ca708fd43182b9ac5fd,1,"[""liquidity_or_speculative_activity""]","[""unspecified""]",0
0.7,647a9c7389b55ace354d,1,"[""scale_float_and_shell_value""]","[""unspecified""]",0
0.7,67a0a5f4dd2913c3a06a,1,"[""alpha158_cord""]","[""window_60""]",0
0.7,738ad154f76a225a4975,2,"[""Low total and residual risk, low extreme positive payoff and shallow drawdown capture defensive, lottery-preference and limits-to-arbitrage channels.""]","[""name_window_60""]",0
0.7,77e239308bd79de59266,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,7847175d945034f1c480,1,"[""channel_breakout_event""]","[""unspecified""]",1
0.7,7b4dfd3f8df991082587,2,"[""mixed_formula_information""]","[""unspecified""]",2
0.7,7d64adc6acc93b1ac26c,3,"[""return_continuation""]","[""unspecified""]",0
0.7,84391ffdaf5f0b018af3,2,"[""mixed_formula_information"", ""within_day_price_formation""]","[""unspecified""]",2
0.7,86e297b45108bcc4082a,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,88dafc1e34f55dfda573,2,"[""alpha158_imax"", ""alpha158_imxd""]","[""window_20""]",0
0.7,8c2606b757de204d5264,1,"[""return_continuation""]","[""unspecified""]",0
0.7,9192c7bac61afdb7dc30,2,"[""Valuation ratios proxy a common cheapness dimension while earnings, book, sales, cash flow and distributions retain different accounting sensitivities.""]","[""unspecified""]",0
0.7,92c40f0abfbc5fb71e00,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,992e32cd1014806a6b26,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,9df67f90fa34b907a6a3,1,"[""intraday_klow""]","[""same_day""]",0
0.7,a5010696b15afc8d4fc0,1,"[""liquidity_or_speculative_activity""]","[""unspecified""]",0
0.7,a56083e52f9d12f04a8d,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,a8654e76f40053b17b59,2,"[""mixed_formula_information""]","[""unspecified""]",2
0.7,a913f2956452b98932ad,2,"[""alpha158_cord""]","[""window_20"", ""window_30""]",0
0.7,ab1aa211315bbd8dbd8f,1,"[""alpha158_corr""]","[""window_5""]",0
0.7,acc9e81f3effa8438b3a,1,"[""return_continuation""]","[""unspecified""]",1
0.7,ad1034067c984367899a,2,"[""alpha158_low"", ""historical_low_to_current_close_ratio""]","[""lag_0"", ""window_0""]",0
0.7,ae04e0ae67e94a6da19b,1,"[""return_continuation""]","[""unspecified""]",0
0.7,b41da2774aca50f79669,1,"[""return_continuation""]","[""unspecified""]",0
0.7,b688a2e44a76ff1046be,4,"[""alpha158_imax"", ""alpha158_imxd"", ""return_continuation""]","[""unspecified"", ""window_30""]",0
0.7,b7629c155c3211cfaec5,26,"[""alpha158_roc"", ""alpha158_sumd"", ""alpha158_sumn"", ""alpha158_sump"", ""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""normalized_price_slope"", ""return_continuation""]","[""lag_10"", ""lag_7"", ""lag_8"", ""lag_9"", ""name_window_10"", ""window_10""]",0
0.7,bd1af0eae690e27c404a,3,"[""Price impact per traded currency unit measures costly immediacy and possible illiquidity compensation."", ""liquidity_or_speculative_activity""]","[""name_window_20""]",0
0.7,c3d8620de09032791bb7,2,"[""alpha158_imax"", ""alpha158_imxd""]","[""window_60""]",0
0.7,d5f57684274e9e6b64f9,1,"[""alpha158_max""]","[""window_5""]",0
0.7,d9616667058381ef68dc,1,"[""alpha158_corr""]","[""window_10""]",0
0.7,db558c6b76c50e9f37fa,1,"[""lottery_preference""]","[""name_window_60""]",0
0.7,db5a1111fb1d7e8cd7b7,1,"[""historical_low_to_current_close_ratio""]","[""lag_1""]",0
0.7,dc7dc4ccc1bcc1a729c0,48,"[""alpha158_ma"", ""alpha158_qtld"", ""alpha158_qtlu"", ""alpha158_rank"", ""alpha158_rsv"", ""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""price_anchor"", ""realized_or_residual_risk"", ""return_continuation""]","[""lag_11"", ""lag_12"", ""lag_13"", ""lag_14"", ""lag_15"", ""lag_16"", ""unspecified"", ""window_20"", ""window_30""]",0
0.7,e115e0847fcea6d4eb6f,3,"[""alpha158_vsumd"", ""alpha158_vsumn"", ""alpha158_vsump""]","[""window_20""]",0
0.7,e1a260bb204eaea400ff,2,"[""Valuation ratios proxy a common cheapness dimension while earnings, book, sales, cash flow and distributions retain different accounting sensitivities.""]","[""unspecified""]",0
