level,cluster_id,comparison_view,members,comparable_pairs,all_pairs,co_membership_retention,eligible_reference_members,eligible_universe_members,best_eligible_member_jaccard,full_max_within_cluster_distance
0.995,001c3dcf6b9a48f57a67,A,1,0,0,,1,481,1.0,0.0
0.995,0023c4fe77b52c52b7f2,A,13,78,78,1.0,13,480,0.6190476190476191,0.002853782893573964
0.995,01b40219ad52f369ade9,A,1,0,0,,1,481,1.0,0.0
0.995,021c9f985e366e0de673,A,1,0,0,,1,481,1.0,0.0
0.995,0346c930b6da9feb2eb5,A,1,0,0,,1,481,0.5,0.0
0.995,04c44cc1db242bf454ac,A,1,0,0,,1,481,0.5,0.0
0.995,04d099c0d6f80a9931d2,A,1,0,0,,1,481,1.0,0.0
0.995,05dfc03e5438877ddcb0,A,1,0,0,,1,481,1.0,0.0
0.995,05f31a2908653bfcd522,A,1,0,0,,1,481,1.0,0.0
0.995,06e4724c13eac8d534a2,A,1,0,0,,1,481,1.0,0.0
0.995,09b333d1eced136ffe86,A,1,0,0,,1,481,1.0,0.0
0.995,0a4619b74e630e60cf86,A,1,0,0,,1,479,1.0,0.0
0.995,0a69c31621660d21e772,A,3,3,3,0.3333333333333333,3,481,0.6666666666666666,0.0041337237773886315
0.995,0c76d277d07fd3d6ec5d,A,1,0,0,,1,481,0.5,0.0
0.995,0d58d8b65be7711016a7,A,1,0,0,,1,481,1.0,0.0
0.995,0ddfd1c7c63a283494ac,A,1,0,0,,1,481,1.0,0.0
0.995,0e7baeaf172d53e7c8a5,A,2,1,1,0.0,2,481,0.3333333333333333,0.0037282078362987914
0.995,0f31a580edef05f30e7e,A,1,0,0,,1,481,1.0,0.0
0.995,1020f2d34ce4536fe8b7,A,1,0,0,,1,481,1.0,0.0
0.995,109daa6c9ef8dfbf4020,A,3,3,3,0.3333333333333333,3,481,0.5,0.004033047575602744
0.995,118affab4565dc571f1e,A,1,0,0,,1,481,0.5,0.0
0.995,129217575f32e4ed8122,A,2,1,1,0.0,2,481,0.3333333333333333,0.003942706182313627
0.995,12fcc6d40c570b0c286b,A,1,0,0,,1,481,1.0,0.0
0.995,141d63ff2986f956d32a,A,1,0,0,,1,481,1.0,0.0
0.995,146ef802bb1424ba5fe1,A,1,0,0,,1,481,1.0,0.0
0.995,1549bc57fb7959d8c2e9,A,1,0,0,,1,481,1.0,0.0
0.995,15bccdda56f44d6c954e,A,1,0,0,,1,481,1.0,0.0
0.995,164c4496e5931b3dd4f2,A,1,0,0,,1,481,0.5,0.0
0.995,16e4d7eba6abdba5fa60,A,1,0,0,,1,481,1.0,0.0
0.995,1733a3b5823eac999a5c,A,1,0,0,,1,481,0.5,0.0
0.995,181131f17bd479b9b42d,A,2,1,1,0.0,2,481,0.5,0.004592407534868892
0.995,1836f8f695d5feb1be16,A,2,1,1,1.0,2,480,1.0,0.0
0.995,18cb3ba6311442251e84,A,1,0,0,,1,481,1.0,0.0
0.995,19268328b54e82b3c381,A,1,0,0,,1,481,1.0,0.0
0.995,19cc2c431527aa1a06d8,A,2,1,1,0.0,2,481,0.3333333333333333,0.003378003232413551
0.995,1acdb566b64828ed3252,A,1,0,0,,1,481,1.0,0.0
0.995,1bf52e624e1d24d242db,A,1,0,0,,1,480,1.0,0.0
0.995,1cb5ae70952107981baf,A,1,0,0,,1,481,1.0,0.0
0.995,1d3d85b9844b52c461c0,A,1,0,0,,1,1,1.0,0.0
0.995,1dd74b76ddcdb3a9dc51,A,1,0,0,,1,481,1.0,0.0
0.995,1f7b8d8a08594ad5cba6,A,1,0,0,,1,481,1.0,0.0
0.995,208cec3d0edfc0423e49,A,1,0,0,,1,481,1.0,0.0
0.995,211e7adc00e4c8056bb6,A,1,0,0,,1,481,1.0,0.0
0.995,21af19e53c7b130cc690,A,1,0,0,,1,481,1.0,0.0
0.995,21c094d991d549b915d5,A,1,0,0,,1,481,1.0,0.0
0.995,2446ce5e7eb869bcd22d,A,1,0,0,,1,481,1.0,0.0
0.995,25a316b552ab38763c96,A,1,0,0,,1,481,1.0,0.0
0.995,25df1203dd31f63bf6ea,A,2,1,1,1.0,2,481,1.0,7.613638608461315e-10
0.995,2601402b2ea0651598b4,A,1,0,0,,1,481,1.0,0.0
0.995,268aa2b53f9b2846b8cb,A,1,0,0,,1,481,1.0,0.0
0.995,26b66b84e2eac97ca67c,A,3,3,3,1.0,3,481,1.0,1.1102230246251565e-16
0.995,270aab90881e94505cc8,A,3,3,3,0.3333333333333333,3,481,0.6666666666666666,0.0049478040107422405
0.995,27b46a52df377305dd47,A,1,0,0,,1,481,1.0,0.0
0.995,28000ec70892021d8d79,A,1,0,0,,1,481,0.5,0.0
0.995,28089b6967d19f6e1f6b,A,1,0,0,,1,480,1.0,0.0
0.995,283c0a8bed4026efdb61,A,1,0,0,,1,481,1.0,0.0
0.995,2873c831d867c4625a01,A,3,3,3,0.3333333333333333,3,481,0.6666666666666666,0.004677354886148066
0.995,2a1bb7de677b626226ff,A,1,0,0,,1,481,0.5,0.0
0.995,2a62888350c0cb56a22f,A,1,0,0,,1,481,1.0,0.0
0.995,2a6ff4627ffc914b3150,A,1,0,0,,1,481,1.0,0.0
0.995,2a9d3eb0b5c2356f4e90,A,2,1,1,1.0,2,481,1.0,0.002765525908860811
0.995,2aec0839a35e00bc3892,A,3,3,3,1.0,3,481,1.0,2.220446049250313e-16
0.995,2afcd506038b98c69f9f,A,1,0,0,,1,481,1.0,0.0
0.995,2b3d002537add8ed85bd,A,1,0,0,,1,481,0.5,0.0
0.995,2c2c5d00fa09f776c52f,A,1,0,0,,1,481,1.0,0.0
0.995,2d4502e2f22dcb12866c,A,1,0,0,,1,481,1.0,0.0
0.995,2d45ac0065c78fe0521c,A,2,1,1,0.0,2,481,0.3333333333333333,0.003038017651816216
0.995,2e89265f61e9bec55479,A,3,3,3,0.3333333333333333,3,481,0.6666666666666666,0.004178466337789732
0.995,2e96f96db9531bd84be2,A,1,0,0,,1,481,1.0,0.0
0.995,2f45337e1200e80092db,A,1,0,0,,1,481,1.0,0.0
0.995,34289b567c616668a802,A,1,0,0,,1,481,1.0,0.0
