factor,full_coverage,infinite_fraction,coverage_A,coverage_B,coverage_C,coverage_D,worst_era_coverage
alpha158_BETA10,0.9671992482618313,0.0,0.9630853293241164,0.9222892459185256,0.9873152408213757,0.9986243801112876,0.9222892459185256
alpha158_BETA20,0.9674177522848052,0.0,0.9632837572797428,0.9227714886614895,0.9874625070465176,0.9986800927167805,0.9227714886614895
alpha158_BETA30,0.9675013289441783,0.0,0.9633986598821099,0.9229531835193201,0.9874816859037454,0.9986807805267248,0.9229531835193201
alpha158_BETA5,0.966778804959183,0.0,0.9625377742305282,0.9214477118401523,0.9871631798819267,0.9985562869267964,0.9214477118401523
alpha158_BETA60,0.9676257151074976,0.0,0.9635586396592519,0.9232147967920612,0.9875323728835618,0.9986855951963354,0.9232147967920612
alpha158_CNTD30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
alpha158_CNTP30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
alpha158_CORD10,0.9772135391176413,0.0,0.9782909210150673,0.9401069540633049,0.9905050957538695,0.9995542991560572,0.9401069540633049
alpha158_CORD20,0.9831510960589463,0.0,0.9847051378256716,0.9546657668445137,0.9926743614981701,0.9998528086719077,0.9546657668445137
alpha158_CORD30,0.987430522196003,0.0,0.9892773775337129,0.9654636326813038,0.9941689424435645,0.9999092090873449,0.9654636326813038
alpha158_CORD5,0.9717474750060612,0.0,0.9719977938700346,0.9277974689769691,0.9883515840708631,0.9989400848757471,0.9277974689769691
alpha158_CORD60,0.9964446037336931,0.0,0.9975662744952462,0.9895218078228516,0.9981293764611036,0.9999779900817806,0.9895218078228516
alpha158_CORR10,0.9778091169335347,0.0,0.9789233272611727,0.9414894743349183,0.9907756546326187,0.9996265192002146,0.9414894743349183
alpha158_CORR20,0.983487059170769,0.0,0.9851187871941933,0.9554301147614777,0.99278463992723,0.9998631258210732,0.9554301147614777
alpha158_CORR30,0.9876661933165778,0.0,0.9895544695786521,0.965998471304166,0.9942586720970231,0.9999257165260095,0.965998471304166
alpha158_CORR5,0.9729283906147176,0.0,0.9735083211580768,0.9302892841700746,0.9887762587666213,0.9990473832270667,0.9302892841700746
alpha158_CORR60,0.9965421851305829,0.0,0.9976626159080001,0.9897622461309583,0.998165679297999,0.9999951853303896,0.9897622461309583
alpha158_IMAX20,0.9842586750313601,0.0,0.9859902792398397,0.9572716536212946,0.9930675280713399,0.9998927016486804,0.9572716536212946
alpha158_IMAX30,0.9882554464123025,0.0,0.9901767113637789,0.9674322213289271,0.9945121069961046,0.9999504776840064,0.9674322213289271
alpha158_IMAX60,0.9968463740529862,0.0,0.9979268918934446,0.9905826052446972,0.9983122605639543,1.0,0.9905826052446972
alpha158_IMIN20,0.9842586750313601,0.0,0.9859902792398397,0.9572716536212946,0.9930675280713399,0.9998927016486804,0.9572716536212946
alpha158_IMIN30,0.9882554464123025,0.0,0.9901767113637789,0.9674322213289271,0.9945121069961046,0.9999504776840064,0.9674322213289271
alpha158_IMIN60,0.9968463740529862,0.0,0.9979268918934446,0.9905826052446972,0.9983122605639543,1.0,0.9905826052446972
alpha158_IMXD20,0.9842586750313601,0.0,0.9859902792398397,0.9572716536212946,0.9930675280713399,0.9998927016486804,0.9572716536212946
alpha158_IMXD30,0.9882554464123025,0.0,0.9901767113637789,0.9674322213289271,0.9945121069961046,0.9999504776840064,0.9674322213289271
alpha158_IMXD60,0.9968463740529862,0.0,0.9979268918934446,0.9905826052446972,0.9983122605639543,1.0,0.9905826052446972
alpha158_KLEN,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_KLOW,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_KUP,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_LOW0,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_MA10,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_MA20,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_MA30,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_MA5,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_MA60,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_MAX5,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_MIN10,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_MIN20,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_MIN30,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_MIN5,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_MIN60,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_QTLD10,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_QTLD20,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_QTLD30,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_QTLD5,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_QTLD60,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_QTLU20,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_QTLU30,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_QTLU60,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_RANK10,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_RANK20,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_RANK30,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_RANK60,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_RESI60,0.9676257151074976,0.0,0.9635586396592519,0.9232147967920612,0.9875323728835618,0.9986855951963354,0.9232147967920612
alpha158_ROC10,0.9578067376340427,0.0,0.948369399492484,0.9068588442704303,0.9839459265819646,0.9975486453583146,0.9068588442704303
alpha158_ROC20,0.9550175360396108,0.0,0.9448003478897253,0.9008594986451438,0.9828890345568759,0.9974661081649918,0.9008594986451438
alpha158_ROC30,0.9530761481249463,0.0,0.9424267252846712,0.8966094783240084,0.9820540693082803,0.9974110833694434,0.8966094783240084
alpha158_ROC5,0.9603580092792681,0.0,0.9511982131761466,0.9124476688071596,0.9852336498529735,0.9978781063216612,0.9124476688071596
alpha158_ROC60,0.9496996510862706,0.0,0.9390600790353131,0.888347143736343,0.9802498868104944,0.997360185433561,0.888347143736343
alpha158_RSV20,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_RSV30,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_RSV60,0.9677067317610882,0.0,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.9234135682342743
alpha158_STD10,0.9671992482618313,0.0,0.9630853293241164,0.9222892459185256,0.9873152408213757,0.9986243801112876,0.9222892459185256
alpha158_STD5,0.966778804959183,0.0,0.9625377742305282,0.9214477118401523,0.9871631798819267,0.9985562869267964,0.9214477118401523
alpha158_SUMD10,0.9785102573408165,0.0,0.97964898138843,0.9431821053789191,0.9910804614707033,0.999689109905151,0.9431821053789191
alpha158_SUMD20,0.9839504202174197,0.0,0.9856181715814045,0.9566015684501223,0.9929421805401725,0.9998645014409618,0.9566015684501223
alpha158_SUMD30,0.9880352859149988,0.0,0.9899239256385712,0.966960907599968,0.9944059383221651,0.9999195262365104,0.966960907599968
alpha158_SUMD60,0.9967596350335286,0.0,0.9978385052762391,0.9903838338024841,0.9982752727678721,0.999978677891725,0.9903838338024841
alpha158_SUMN10,0.9785102573408165,0.0,0.97964898138843,0.9431821053789191,0.9910804614707033,0.999689109905151,0.9431821053789191
alpha158_SUMN20,0.9839504202174197,0.0,0.9856181715814045,0.9566015684501223,0.9929421805401725,0.9998645014409618,0.9566015684501223
