factor,proposal_role_0_7,proposed_representative_0_7,representation_sign_0_7,reason_0_7,all_views_comparable_peers_0_7,unknown_pair_count_0_7,proposal_role_0_85,proposed_representative_0_85,representation_sign_0_85,reason_0_85,all_views_comparable_peers_0_85,unknown_pair_count_0_85,proposal_role_0_95,proposed_representative_0_95,representation_sign_0_95,reason_0_95,all_views_comparable_peers_0_95,unknown_pair_count_0_95,proposal_role_0_995,proposed_representative_0_995,representation_sign_0_995,reason_0_995,all_views_comparable_peers_0_995,unknown_pair_count_0_995,mechanism,horizon,formula_units,replacement_hold_reason,canonical_representation_proposal,registration_status,user_decision,replacement_authority
alpha158_BETA10,retain_semantic_or_horizon_variant,alpha158_BETA10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_BETA10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_BETA10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_BETA10,1.0,Singleton is not evidence of independence,480,13,normalized_price_slope,window_10,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_BETA20,retain_semantic_or_horizon_variant,alpha158_BETA20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_BETA20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_BETA20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_BETA20,1.0,Singleton is not evidence of independence,480,13,normalized_price_slope,window_20,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_BETA30,retain_semantic_or_horizon_variant,alpha158_BETA30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_BETA30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_BETA30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_BETA30,1.0,Singleton is not evidence of independence,480,13,normalized_price_slope,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_BETA5,retain_semantic_or_horizon_variant,alpha158_BETA5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_BETA5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_BETA5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_BETA5,1.0,Singleton is not evidence of independence,480,13,normalized_price_slope,window_5,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_BETA60,retain_semantic_or_horizon_variant,alpha158_BETA60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_BETA60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_BETA60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_BETA60,1.0,Singleton is not evidence of independence,480,13,normalized_price_slope,window_60,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_CNTD30,retain_semantic_or_horizon_variant,alpha158_CNTD30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_CNTD30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_CNTD30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CNTD30,1.0,Singleton is not evidence of independence,480,13,alpha158_cntd,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_CNTP30,retain_semantic_or_horizon_variant,alpha158_CNTP30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_CNTP30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_CNTP30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CNTP30,1.0,Singleton is not evidence of independence,480,13,alpha158_cntp,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_CORD10,retain_unmerged_with_unknown_pairs,alpha158_CORD10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD10,1.0,Singleton is not evidence of independence,480,13,alpha158_cord,window_10,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_CORD20,retain_semantic_or_horizon_variant,alpha158_CORD20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD20,1.0,Singleton is not evidence of independence,480,13,alpha158_cord,window_20,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_CORD30,retain_semantic_or_horizon_variant,alpha158_CORD30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD30,1.0,Singleton is not evidence of independence,480,13,alpha158_cord,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
