factor,side,date_count,row_count,valid_count,coverage,nonfinite_count
kunquant_alpha101_alpha002,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha002,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha003,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha003,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha004,historical_pre_boundary,20,40000,39280,0.982,0
kunquant_alpha101_alpha004,canonical_continuation_post_boundary,15,30000,29830,0.9943333333333333,0
kunquant_alpha101_alpha005,historical_pre_boundary,20,40000,39201,0.980025,0
kunquant_alpha101_alpha005,canonical_continuation_post_boundary,15,30000,29818,0.9939333333333333,0
kunquant_alpha101_alpha006,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha006,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha008,historical_pre_boundary,20,40000,38740,0.9685,0
kunquant_alpha101_alpha008,canonical_continuation_post_boundary,15,30000,29775,0.9925,0
kunquant_alpha101_alpha009,historical_pre_boundary,20,40000,39843,0.996075,0
kunquant_alpha101_alpha009,canonical_continuation_post_boundary,15,30000,29945,0.9981666666666666,0
kunquant_alpha101_alpha010,historical_pre_boundary,20,40000,39843,0.996075,0
kunquant_alpha101_alpha010,canonical_continuation_post_boundary,15,30000,29945,0.9981666666666666,0
kunquant_alpha101_alpha011,historical_pre_boundary,20,40000,39680,0.992,0
kunquant_alpha101_alpha011,canonical_continuation_post_boundary,15,30000,29914,0.9971333333333333,0
kunquant_alpha101_alpha012,historical_pre_boundary,20,40000,39843,0.996075,0
kunquant_alpha101_alpha012,canonical_continuation_post_boundary,15,30000,29945,0.9981666666666666,0
kunquant_alpha101_alpha013,historical_pre_boundary,20,40000,39599,0.989975,0
kunquant_alpha101_alpha013,canonical_continuation_post_boundary,15,30000,29897,0.9965666666666667,0
kunquant_alpha101_alpha014,historical_pre_boundary,20,40000,39601,0.990025,0
kunquant_alpha101_alpha014,canonical_continuation_post_boundary,15,30000,29904,0.9968,0
kunquant_alpha101_alpha015,historical_pre_boundary,20,40000,39760,0.994,0
kunquant_alpha101_alpha015,canonical_continuation_post_boundary,15,30000,29799,0.9933,0
kunquant_alpha101_alpha016,historical_pre_boundary,20,40000,39599,0.989975,0
kunquant_alpha101_alpha016,canonical_continuation_post_boundary,15,30000,29897,0.9965666666666667,0
kunquant_alpha101_alpha017,historical_pre_boundary,20,40000,39201,0.980025,0
kunquant_alpha101_alpha017,canonical_continuation_post_boundary,15,30000,29224,0.9741333333333333,0
kunquant_alpha101_alpha018,historical_pre_boundary,20,40000,39599,0.989975,0
kunquant_alpha101_alpha018,canonical_continuation_post_boundary,15,30000,29897,0.9965666666666667,0
kunquant_alpha101_alpha020,historical_pre_boundary,20,40000,39843,0.996075,0
kunquant_alpha101_alpha020,canonical_continuation_post_boundary,15,30000,29945,0.9981666666666666,0
kunquant_alpha101_alpha022,historical_pre_boundary,20,40000,38403,0.960075,0
kunquant_alpha101_alpha022,canonical_continuation_post_boundary,15,30000,29717,0.9905666666666667,0
kunquant_alpha101_alpha024,historical_pre_boundary,20,40000,39685,0.992125,0
kunquant_alpha101_alpha024,canonical_continuation_post_boundary,15,30000,29929,0.9976333333333334,0
kunquant_alpha101_alpha025,historical_pre_boundary,20,40000,38403,0.960075,0
kunquant_alpha101_alpha025,canonical_continuation_post_boundary,15,30000,29717,0.9905666666666667,0
kunquant_alpha101_alpha026,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha026,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha028,historical_pre_boundary,20,40000,39927,0.998175,0
kunquant_alpha101_alpha028,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
kunquant_alpha101_alpha029,historical_pre_boundary,20,40000,39043,0.976075,0
kunquant_alpha101_alpha029,canonical_continuation_post_boundary,15,30000,29794,0.9931333333333333,0
kunquant_alpha101_alpha030,historical_pre_boundary,20,40000,39680,0.992,0
kunquant_alpha101_alpha030,canonical_continuation_post_boundary,15,30000,29914,0.9971333333333333,0
kunquant_alpha101_alpha031,historical_pre_boundary,20,40000,38403,0.960075,0
kunquant_alpha101_alpha031,canonical_continuation_post_boundary,15,30000,29717,0.9905666666666667,0
kunquant_alpha101_alpha033,historical_pre_boundary,20,40000,39927,0.998175,0
kunquant_alpha101_alpha033,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
kunquant_alpha101_alpha034,historical_pre_boundary,20,40000,39843,0.996075,0
kunquant_alpha101_alpha034,canonical_continuation_post_boundary,15,30000,29879,0.9959666666666667,0
kunquant_alpha101_alpha035,historical_pre_boundary,20,40000,37658,0.94145,0
kunquant_alpha101_alpha035,canonical_continuation_post_boundary,15,30000,29609,0.9869666666666667,0
kunquant_alpha101_alpha038,historical_pre_boundary,20,40000,39201,0.980025,0
kunquant_alpha101_alpha038,canonical_continuation_post_boundary,15,30000,29224,0.9741333333333333,0
kunquant_alpha101_alpha040,historical_pre_boundary,20,40000,39201,0.980025,0
kunquant_alpha101_alpha040,canonical_continuation_post_boundary,15,30000,29818,0.9939333333333333,0
kunquant_alpha101_alpha041,historical_pre_boundary,20,40000,39927,0.998175,0
kunquant_alpha101_alpha041,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
kunquant_alpha101_alpha042,historical_pre_boundary,20,40000,39927,0.998175,0
kunquant_alpha101_alpha042,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
kunquant_alpha101_alpha043,historical_pre_boundary,20,40000,38802,0.97005,0
kunquant_alpha101_alpha043,canonical_continuation_post_boundary,15,30000,29759,0.9919666666666667,0
kunquant_alpha101_alpha044,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha044,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha045,historical_pre_boundary,20,40000,37879,0.946975,0
kunquant_alpha101_alpha045,canonical_continuation_post_boundary,15,30000,29460,0.982,0
kunquant_alpha101_alpha046,historical_pre_boundary,20,40000,39848,0.9962,0
kunquant_alpha101_alpha046,canonical_continuation_post_boundary,15,30000,29952,0.9984,0
kunquant_alpha101_alpha047,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha047,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha049,historical_pre_boundary,20,40000,39843,0.996075,0
kunquant_alpha101_alpha049,canonical_continuation_post_boundary,15,30000,29945,0.9981666666666666,0
kunquant_alpha101_alpha050,historical_pre_boundary,20,40000,39599,0.989975,0
kunquant_alpha101_alpha050,canonical_continuation_post_boundary,15,30000,29633,0.9877666666666667,0
kunquant_alpha101_alpha051,historical_pre_boundary,20,40000,39845,0.996125,0
kunquant_alpha101_alpha051,canonical_continuation_post_boundary,15,30000,29948,0.9982666666666666,0
kunquant_alpha101_alpha053,historical_pre_boundary,20,40000,39250,0.98125,0
kunquant_alpha101_alpha053,canonical_continuation_post_boundary,15,30000,29893,0.9964333333333333,0
kunquant_alpha101_alpha054,historical_pre_boundary,20,40000,39927,0.998175,0
kunquant_alpha101_alpha054,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
kunquant_alpha101_alpha055,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha055,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha057,historical_pre_boundary,20,40000,37797,0.944925,0
kunquant_alpha101_alpha057,canonical_continuation_post_boundary,15,30000,29631,0.9877,0
kunquant_alpha101_alpha060,historical_pre_boundary,20,40000,39201,0.980025,0
kunquant_alpha101_alpha060,canonical_continuation_post_boundary,15,30000,29818,0.9939333333333333,0
kunquant_alpha101_alpha062,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha062,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha064,historical_pre_boundary,20,40000,40000,1.0,0
