year,check,status,observed,required
2021,no_future_statement_access,pass,0,0
2021,event_availability_present,pass,0,0
2021,report_period_not_used_as_availability,pass,0,0
2021,one_effective_event_per_issuer_day,pass,0,0
2021,selected_event_is_latest_public_event,pass,0,0
2021,selected_availability_is_monotone,pass,0,0
2022,no_future_statement_access,pass,0,0
2022,event_availability_present,pass,0,0
2022,report_period_not_used_as_availability,pass,0,0
2022,one_effective_event_per_issuer_day,pass,0,0
2022,selected_event_is_latest_public_event,pass,0,0
2022,selected_availability_is_monotone,pass,0,0
2023,no_future_statement_access,pass,0,0
2023,event_availability_present,pass,0,0
2023,report_period_not_used_as_availability,pass,0,0
2023,one_effective_event_per_issuer_day,pass,0,0
2023,selected_event_is_latest_public_event,pass,0,0
2023,selected_availability_is_monotone,pass,0,0
2024,no_future_statement_access,pass,0,0
2024,event_availability_present,pass,0,0
2024,report_period_not_used_as_availability,pass,0,0
2024,one_effective_event_per_issuer_day,pass,0,0
2024,selected_event_is_latest_public_event,pass,0,0
2024,selected_availability_is_monotone,pass,0,0
2025,no_future_statement_access,pass,0,0
2025,event_availability_present,pass,0,0
2025,report_period_not_used_as_availability,pass,0,0
2025,one_effective_event_per_issuer_day,pass,0,0
2025,selected_event_is_latest_public_event,pass,0,0
2025,selected_availability_is_monotone,pass,0,0
2026,no_future_statement_access,pass,0,0
2026,event_availability_present,pass,0,0
2026,report_period_not_used_as_availability,pass,0,0
2026,one_effective_event_per_issuer_day,pass,0,0
2026,selected_event_is_latest_public_event,pass,0,0
2026,selected_availability_is_monotone,pass,0,0
