sleeve_id,factor,subfamily,direction,split_local_eligible,effective_member,exclusion_reason,outer_split_id
value,mature_earnings_yield_ttm,earnings_yield,1,True,True,,split_001
value,mature_earnings_to_price_pit,earnings_yield,1,True,True,,split_001
value,mature_book_to_price,book_yield,1,True,True,,split_001
value,mature_book_to_market_pit,book_yield,1,True,True,,split_001
value,mature_sales_to_price_ttm,sales_yield,1,True,True,,split_001
value,mature_sales_to_price_pit,sales_yield,1,True,True,,split_001
value,mature_cashflow_to_price_pit,cashflow_yield,1,True,True,,split_001
value,mature_dividend_yield_ttm,payout_yield,1,True,True,,split_001
profitability,mature_gross_profitability,asset_efficiency,1,True,True,,split_001
profitability,mature_operating_profitability,asset_efficiency,1,True,True,,split_001
profitability,mature_return_on_assets,asset_efficiency,1,True,True,,split_001
profitability,mature_gross_margin,margins,1,True,True,,split_001
profitability,mature_net_margin,margins,1,True,True,,split_001
accounting_quality,mature_cashflow_quality,cash_backing,1,True,True,,split_001
accounting_quality,mature_accruals_to_assets,accruals,-1,True,True,,split_001
accounting_quality,mature_operating_cashflow_to_assets,cash_generation,1,True,True,,split_001
accounting_quality,mature_cashflow_to_sales,cash_generation,1,True,True,,split_001
investment_growth,mature_asset_growth_yoy,conservative_investment,-1,True,True,,split_001
investment_growth,mature_revenue_growth_yoy,realized_growth,1,True,True,,split_001
investment_growth,mature_net_income_growth_yoy,realized_growth,1,True,True,,split_001
illiquidity_premium,mature_amihud_illiquidity_20,price_impact,1,True,True,,split_001
speculative_activity,mature_abnormal_turnover_20,abnormal_turnover,-1,True,True,,split_001
speculative_activity,mature_amount_momentum_20,abnormal_amount,-1,True,True,,split_001
speculative_activity,mature_turnover_volatility_20,activity_instability,-1,True,True,,split_001
speculative_activity,mature_volume_ratio,abnormal_amount,-1,True,True,,split_001
institutional_flow,mature_institutional_order_imbalance,institutional_pressure,1,True,True,,split_001
institutional_flow,mature_institutional_flow_persistence_20,institutional_pressure,1,True,True,,split_001
institutional_flow,mature_net_flow_persistence_5,aggregate_flow,1,True,True,,split_001
institutional_flow,mature_net_flow_persistence_20,aggregate_flow,1,True,True,,split_001
short_term_reversal,mature_reversal_1m,one_month_reversal,1,True,True,,split_001
short_term_reversal,mature_overnight_return_20,overnight_sentiment,-1,True,True,,split_001
traditional_momentum,mature_momentum_12_1,intermediate_raw_momentum,1,True,True,,split_001
trend_anchor,mature_high_52w,price_anchor,1,True,True,,split_001
low_risk_lottery,mature_idiosyncratic_volatility_60,residual_risk,-1,True,True,,split_001
low_risk_lottery,mature_realized_volatility_60,total_risk,-1,True,True,,split_001
low_risk_lottery,mature_downside_volatility_60,downside_risk,-1,True,True,,split_001
low_risk_lottery,mature_max_daily_return_21,lottery_payoff,-1,True,True,,split_001
low_risk_lottery,mature_market_beta_60,systematic_risk,-1,True,True,,split_001
low_risk_lottery,mature_max_drawdown_60,drawdown,1,True,True,,split_001
value,mature_earnings_yield_ttm,earnings_yield,1,True,True,,split_002
value,mature_earnings_to_price_pit,earnings_yield,1,True,True,,split_002
value,mature_book_to_price,book_yield,1,True,True,,split_002
value,mature_book_to_market_pit,book_yield,1,True,True,,split_002
value,mature_sales_to_price_ttm,sales_yield,1,True,True,,split_002
value,mature_sales_to_price_pit,sales_yield,1,True,True,,split_002
value,mature_cashflow_to_price_pit,cashflow_yield,1,True,True,,split_002
value,mature_dividend_yield_ttm,payout_yield,1,True,True,,split_002
profitability,mature_gross_profitability,asset_efficiency,1,True,True,,split_002
profitability,mature_operating_profitability,asset_efficiency,1,True,True,,split_002
profitability,mature_return_on_assets,asset_efficiency,1,True,True,,split_002
profitability,mature_gross_margin,margins,1,True,True,,split_002
profitability,mature_net_margin,margins,1,True,True,,split_002
accounting_quality,mature_cashflow_quality,cash_backing,1,True,True,,split_002
accounting_quality,mature_accruals_to_assets,accruals,-1,True,True,,split_002
accounting_quality,mature_operating_cashflow_to_assets,cash_generation,1,True,True,,split_002
accounting_quality,mature_cashflow_to_sales,cash_generation,1,True,True,,split_002
investment_growth,mature_asset_growth_yoy,conservative_investment,-1,True,True,,split_002
investment_growth,mature_revenue_growth_yoy,realized_growth,1,True,True,,split_002
investment_growth,mature_net_income_growth_yoy,realized_growth,1,True,True,,split_002
illiquidity_premium,mature_amihud_illiquidity_20,price_impact,1,True,True,,split_002
speculative_activity,mature_abnormal_turnover_20,abnormal_turnover,-1,True,True,,split_002
speculative_activity,mature_amount_momentum_20,abnormal_amount,-1,True,True,,split_002
speculative_activity,mature_turnover_volatility_20,activity_instability,-1,True,True,,split_002
speculative_activity,mature_volume_ratio,abnormal_amount,-1,True,True,,split_002
institutional_flow,mature_institutional_order_imbalance,institutional_pressure,1,True,True,,split_002
institutional_flow,mature_institutional_flow_persistence_20,institutional_pressure,1,True,True,,split_002
institutional_flow,mature_net_flow_persistence_5,aggregate_flow,1,True,True,,split_002
institutional_flow,mature_net_flow_persistence_20,aggregate_flow,1,True,True,,split_002
short_term_reversal,mature_reversal_1m,one_month_reversal,1,True,True,,split_002
short_term_reversal,mature_overnight_return_20,overnight_sentiment,-1,True,True,,split_002
traditional_momentum,mature_momentum_12_1,intermediate_raw_momentum,1,True,True,,split_002
trend_anchor,mature_high_52w,price_anchor,1,True,True,,split_002
low_risk_lottery,mature_idiosyncratic_volatility_60,residual_risk,-1,True,True,,split_002
low_risk_lottery,mature_realized_volatility_60,total_risk,-1,True,True,,split_002
low_risk_lottery,mature_downside_volatility_60,downside_risk,-1,True,True,,split_002
low_risk_lottery,mature_max_daily_return_21,lottery_payoff,-1,True,True,,split_002
low_risk_lottery,mature_market_beta_60,systematic_risk,-1,True,True,,split_002
low_risk_lottery,mature_max_drawdown_60,drawdown,1,True,True,,split_002
value,mature_earnings_yield_ttm,earnings_yield,1,True,True,,split_003
value,mature_earnings_to_price_pit,earnings_yield,1,True,True,,split_003
value,mature_book_to_price,book_yield,1,True,True,,split_003
value,mature_book_to_market_pit,book_yield,1,True,True,,split_003
value,mature_sales_to_price_ttm,sales_yield,1,True,True,,split_003
value,mature_sales_to_price_pit,sales_yield,1,True,True,,split_003
value,mature_cashflow_to_price_pit,cashflow_yield,1,True,True,,split_003
value,mature_dividend_yield_ttm,payout_yield,1,True,True,,split_003
profitability,mature_gross_profitability,asset_efficiency,1,True,True,,split_003
profitability,mature_operating_profitability,asset_efficiency,1,True,True,,split_003
profitability,mature_return_on_assets,asset_efficiency,1,True,True,,split_003
profitability,mature_gross_margin,margins,1,True,True,,split_003
profitability,mature_net_margin,margins,1,True,True,,split_003
accounting_quality,mature_cashflow_quality,cash_backing,1,True,True,,split_003
accounting_quality,mature_accruals_to_assets,accruals,-1,True,True,,split_003
accounting_quality,mature_operating_cashflow_to_assets,cash_generation,1,True,True,,split_003
accounting_quality,mature_cashflow_to_sales,cash_generation,1,True,True,,split_003
investment_growth,mature_asset_growth_yoy,conservative_investment,-1,True,True,,split_003
investment_growth,mature_revenue_growth_yoy,realized_growth,1,True,True,,split_003
investment_growth,mature_net_income_growth_yoy,realized_growth,1,True,True,,split_003
illiquidity_premium,mature_amihud_illiquidity_20,price_impact,1,True,True,,split_003
speculative_activity,mature_abnormal_turnover_20,abnormal_turnover,-1,True,True,,split_003
speculative_activity,mature_amount_momentum_20,abnormal_amount,-1,True,True,,split_003
speculative_activity,mature_turnover_volatility_20,activity_instability,-1,True,True,,split_003
speculative_activity,mature_volume_ratio,abnormal_amount,-1,True,True,,split_003
institutional_flow,mature_institutional_order_imbalance,institutional_pressure,1,True,True,,split_003
institutional_flow,mature_institutional_flow_persistence_20,institutional_pressure,1,True,True,,split_003
institutional_flow,mature_net_flow_persistence_5,aggregate_flow,1,True,True,,split_003
institutional_flow,mature_net_flow_persistence_20,aggregate_flow,1,True,True,,split_003
short_term_reversal,mature_reversal_1m,one_month_reversal,1,True,True,,split_003
short_term_reversal,mature_overnight_return_20,overnight_sentiment,-1,True,True,,split_003
traditional_momentum,mature_momentum_12_1,intermediate_raw_momentum,1,True,True,,split_003
trend_anchor,mature_high_52w,price_anchor,1,True,True,,split_003
low_risk_lottery,mature_idiosyncratic_volatility_60,residual_risk,-1,True,True,,split_003
low_risk_lottery,mature_realized_volatility_60,total_risk,-1,True,True,,split_003
low_risk_lottery,mature_downside_volatility_60,downside_risk,-1,True,True,,split_003
low_risk_lottery,mature_max_daily_return_21,lottery_payoff,-1,True,True,,split_003
low_risk_lottery,mature_market_beta_60,systematic_risk,-1,True,True,,split_003
low_risk_lottery,mature_max_drawdown_60,drawdown,1,True,True,,split_003
