asset_id,event_id,record_date,ex_date,bonus_per_share,handler_family
SH600176,82fe025d4e7f5e9bf918bd38,20210520,20210521,0.143,exact_fractional_claim_pending_allocation
SH600195,792934416ba43a1acf4cb114,20200707,20200708,0.198886,exact_fractional_claim_pending_allocation
SH600225,288bb17c759864b7f333dc27,20211221,20211222,2.64662885,exact_fractional_claim_pending_allocation
SH603030,6f1556e4d4ae8691a6063444,20231225,20231226,0.971919,exact_fractional_claim_pending_allocation
SH603185,2487c29e2c660e7f5939a110,20230706,20230707,0.39739,exact_fractional_claim_pending_allocation
SH603496,3cccb63700697886eba18b4a,20180627,20180628,0.391926,exact_fractional_claim_pending_allocation
SH603538,0db892753524e34d2c94423d,20220607,20220608,0.39702,exact_fractional_claim_pending_allocation
SH605168,d010242b8cd86388275c791c,20220527,20220530,0.447594,exact_fractional_claim_pending_allocation
SH688262,82de5cc1afa05cabdd547fbd,20230628,20230629,0.402978,exact_fractional_claim_pending_allocation
SZ000403,fb4173100b75c8cbade89b9d,20200724,20200727,0.7947662,exact_fractional_claim_pending_allocation
SZ000409,6fb4657e4a86873535b8be84,20150717,20150721,0.22275,exact_fractional_claim_pending_allocation
SZ000409,44e45dc21e93953201d26fdd,20170421,20170424,0.1129822,exact_fractional_claim_pending_allocation
SZ000519,5346f30ce92b0655f693768d,20160506,20160511,0.08189,exact_fractional_claim_pending_allocation
SZ000560,75d1ec3ebe9991b6af3df9bd,20150910,20150911,1.5143227,exact_fractional_claim_pending_allocation
SZ000564,9f8f335c411a418f1a14d8cb,20211230,20211231,2.2035714,exact_fractional_claim_pending_allocation
SZ000662,07b96bcd801ea0e05cbb2a13,20180614,20180615,0.3000584,exact_fractional_claim_pending_allocation
SZ000797,7da4f3bc59f7ba515c05eca5,20180731,20180801,0.3000595,exact_fractional_claim_pending_allocation
SZ000901,4b130979870985c454bf9434,20200701,20200702,0.1020857,exact_fractional_claim_pending_allocation
SZ000906,e5096a593524b1801c487d24,20180612,20180613,0.2934063,exact_fractional_claim_pending_allocation
SZ000967,045c675252d44e77fb2d8387,20170622,20170623,0.4985934,exact_fractional_claim_pending_allocation
SZ002002,cf640de30963c480bf1d6125,20160718,20160719,1.5206164,exact_fractional_claim_pending_allocation
SZ002021,c16d40e1d7d4e0b78a3b7591,20231228,20231229,0.7525232,exact_fractional_claim_pending_allocation
SZ002049,0f5ff80abe6be5ef38d18a88,20220823,20220824,0.3999976,exact_fractional_claim_pending_allocation
SZ002063,baf7bd93229d0d3beab20023,20150701,20150702,0.3024029,exact_fractional_claim_pending_allocation
SZ002120,0f5a2db191a451f016fc5e05,20170705,20170706,0.1998266,exact_fractional_claim_pending_allocation
SZ002122,6cb769f536a253e0b6b6564f,20221221,20221222,0.628,exact_fractional_claim_pending_allocation
SZ002157,8413a4b8f1f208d207ec1f3d,20231207,20231208,1.623,exact_fractional_claim_pending_allocation
SZ002271,1baf726d897c16b7d73d9116,20180619,20180620,0.6999907,exact_fractional_claim_pending_allocation
SZ002287,55947cbb7be1633a017ffa66,20190710,20190711,0.2983349,exact_fractional_claim_pending_allocation
SZ002334,590ede71514fd5a1f6f1269e,20150429,20150430,1.0006515,exact_fractional_claim_pending_allocation
SZ002368,61109c0e885cd68af9aac8e4,20200708,20200709,0.3999615,exact_fractional_claim_pending_allocation
SZ002375,2dd4d9c18519d887c2c3f32c,20150603,20150604,0.4999957,exact_fractional_claim_pending_allocation
SZ002397,4f68f67a96f86a36e6233c20,20150525,20150526,1.198829,exact_fractional_claim_pending_allocation
SZ002398,c23d1728445cbc6736402b8f,20180608,20180611,1.0000948,exact_fractional_claim_pending_allocation
SZ002408,1b60791cdb139cfe58ae1f10,20150611,20150612,0.1732851,exact_fractional_claim_pending_allocation
SZ002450,68633546619c85dd1d45a9bf,20150525,20150526,0.4989622,exact_fractional_claim_pending_allocation
SZ002450,89a3c7599fb5867eb326a9e1,20160601,20160602,0.9985834,exact_fractional_claim_pending_allocation
SZ002475,6552b57bd40a1f9ced5f6c53,20200616,20200617,0.2999711,exact_fractional_claim_pending_allocation
SZ002504,098499d94cc70d8bbfcda1fa,20160711,20160712,1.522256,exact_fractional_claim_pending_allocation
SZ002551,3e9f73c62c5fbede8c88bc52,20150715,20150716,0.1998567,exact_fractional_claim_pending_allocation
SZ002551,c40289ce4b4aded89223ffaa,20170706,20170707,0.5011167,exact_fractional_claim_pending_allocation
SZ002621,5b47858a8eaa59ce34fe96d4,20190613,20190614,0.7000604,exact_fractional_claim_pending_allocation
SZ002625,cd5970dcfac576d867974937,20150325,20150326,0.7000522,exact_fractional_claim_pending_allocation
SZ002648,29be84b99b5ef402e9cfa983,20220602,20220606,0.3992037,exact_fractional_claim_pending_allocation
