instrument,event_id,ex_date,reference_bridge_match,comparable,expected_reference,source_reference
SH600025,da420417e2999a5fb64c0d63,2019-07-05,False,True,4.092,4.12
SH600025,1746f20bdf7d061397ca9555,2020-06-19,False,True,3.48,3.51
SH600225,288bb17c759864b7f333dc27,2021-12-22,False,True,0.8939763639505018,3.26
SH600346,cdb379aaef579acf63918428,2019-06-27,False,True,11.821428571428573,11.91
SH600382,b8a60b85e12a7cddfd420d04,2022-06-15,False,True,4.93,4.95
SH600603,9cda542220ec4e0e5282f24a,2020-04-22,False,True,5.72,5.74
SH600641,16020fcadb1f4458d835d8e9,2019-07-30,False,True,10.854000000000001,10.87
SH600681,8efafd5834a536ca3768ffd5,2019-04-25,False,True,9.485714285714286,9.56
SH600681,46ae7da9352ceacf9421fd88,2021-04-15,False,True,5.2299999999999995,5.25
SH600694,d7afdc0c5460e0d75795d565,2021-07-02,False,True,20.259999999999998,20.28
SH600694,80cfce8091458786a185e6b1,2022-05-31,False,True,18.88,18.94
SH600694,3a0b4ed5366d3ef0b648e957,2023-06-07,False,True,18.95,18.97
SH600710,f939243edeff34dfd9ba8529,2017-06-09,False,True,9.306,9.36
SH600729,23a6ee56c8309b779018a232,2021-06-01,False,True,30.429999999999996,30.49
SH600729,a699355a33089d8bd414a690,2022-05-13,False,True,24.95,25.05
SH600732,4e25b19da474af01b9a48b5d,2023-06-16,False,True,28.457142857142863,28.5
SH600781,41388195b9254782dd21319e,2019-07-22,False,True,9.98,10.08
SH600900,18c7217f9e1b05d93eba405c,2016-07-19,False,True,12.73,12.77
SH600900,b2a2bd33f12dbf338e4a1154,2023-07-21,False,True,21.546699999999998,21.58
SH600963,93997b9ba93da05bb81405ef,2020-05-13,False,True,3.7792307692307694,3.81
SH600989,6039e1c56fa2fb33a467c8c4,2021-05-20,False,True,14.96528,14.95
SH600989,944d296c602af12d7cae00c6,2022-05-12,False,True,13.879,13.92
SH600989,296aa92ef627da1b02f08637,2022-12-27,False,True,12.2059,12.25
SH601208,4067df0bc5ebb451b508391c,2021-07-08,False,True,12.769230769230766,12.81
SH601225,2758e2a4c52c81eeb3ac3a01,2021-07-09,False,True,10.17,10.19
SH601318,a520022a2c22e20ed7f2d83d,2018-06-07,False,True,63.61,62.61
SH601318,389c564bbd19f1fffb50337c,2023-06-14,False,True,48.13,48.15
SH601828,82475792d9a1ce286b0c9948,2023-07-24,False,True,4.914,4.88
SH603001,707ce9df80ab2d569ef9e8a7,2020-06-09,False,True,7.47,7.49
SH603001,5e877f6750fc97015d6f5bac,2021-06-07,False,True,9.12,9.14
SH603030,6f1556e4d4ae8691a6063444,2023-12-26,False,True,1.3692245979677666,2.31
SH603037,9267085e46f91ccbd02bfa84,2023-06-30,False,True,13.584615384615384,13.6
SH603040,dbc1c0cdcbbaa4ea8867ed09,2021-06-11,False,True,21.615384615384617,21.67
SH603096,48a65e53b0abc48e1de5f302,2021-06-10,False,True,36.791666666666664,36.81
SH603096,a6b072d17556a0a2eaf29106,2022-06-21,False,True,19.0,19.02
SH603096,22c2894bfda953120a30f359,2023-06-13,False,True,22.189999999999998,22.21
SH603128,f5ff04d3a9229a186f2df04d,2020-08-06,False,True,6.43076923076923,6.46
SH603158,24150a3f3dba1c2617610533,2021-06-22,False,True,11.657142857142858,11.73
SH603180,05e42ff4f9e2506f603eb8cd,2019-06-14,False,True,55.99,56.01
SH603208,1fd4a3a7602926d8a19fe0de,2023-06-21,False,True,38.43076923076923,38.45
SH603258,952f2412bfbc9a54741bab93,2023-06-15,False,True,51.875,51.89
SH603278,d3cbb646d15f6b82d573ae64,2019-04-16,False,True,12.800000000000002,12.89
SH603303,3a0c5b30760e31ca82ee5edc,2019-05-28,False,True,9.3475,9.39
SH603317,ac5727653d08acc3bca56e29,2023-04-11,False,True,17.242857142857144,17.28
SH603319,741c8b19e871a25482d08418,2019-04-16,False,True,18.70769230769231,18.76
SH603319,b38ad8830479807f7d7e8453,2021-06-08,False,True,24.514285714285716,24.6
SH603322,62ea0e5aefb95efe94c5c8c8,2019-05-13,False,True,20.214285714285715,20.25
SH603360,54e63a015ce904de052c4166,2021-06-01,False,True,14.74,14.77
SH603360,cc370af533519ff927ed2329,2023-06-12,False,True,10.571428571428571,10.66
SH603377,0df368990219db3e08309e45,2021-06-16,False,True,9.670833333333333,9.74
SH603387,268bdb74929cb30bf08a37de,2021-06-23,False,True,22.28571428571429,22.33
SH603466,dfe724f13dcadff7edf5788e,2021-06-01,False,True,19.275862068965516,19.31
SH603489,28cfd89d387de57b69614f0e,2023-06-21,False,True,62.02142857142857,62.08
SH603500,c387f183c4c2f13b0ae66a8d,2021-05-06,False,True,8.700000000000001,8.75
SH603505,0b5ef7a8832d67e54fbd6971,2021-06-28,False,True,20.4,20.43
SH603505,0db0d4facfe6ff006d726515,2022-07-07,False,True,31.764285714285716,31.87
SH603505,9b55bb238e17a085f1b246dd,2023-06-13,False,True,22.821428571428573,22.88
SH603555,18ad4754b9452c7b5eabb3a0,2021-06-09,False,True,1.1,2.75
SH603578,eddf87d9686fe63e58139756,2022-05-19,False,True,12.253846153846151,12.29
SH603579,dc6666e2267d7d4ba42868b8,2020-05-13,False,True,28.45,28.49
SH603579,091158f8cf521ecb6f89c062,2022-06-02,False,True,24.51,24.53
SH603586,d4bde9fb5f8209425565e51d,2020-06-17,False,True,16.669999999999998,16.69
SH603586,7998df8e60a5ab86a5da91e9,2021-05-28,False,True,12.9,12.92
SH603611,5cffa560348ea0f539e13ad5,2022-06-10,False,True,15.61,15.63
SH603611,502ae6fee72d89c4e318d2b8,2023-06-05,False,True,22.21,22.23
SH603613,32064264dea4ec2001138652,2023-06-20,False,True,39.940000000000005,39.98
SH603661,69b78146bc20ab6955a532e7,2022-07-14,False,True,28.142857142857142,28.35
SH603690,c528a2775d86d2cf283cffde,2023-06-05,False,True,33.656533333333336,33.68
SH603758,8e902dff98c85542cc7bb637,2022-05-10,False,True,6.78,6.81
SH603758,9bfcbb3f1049c91434d4d862,2023-04-26,False,True,9.2,9.24
SH603773,69d77706e5e60a3dbee4d15c,2021-07-23,False,True,22.85183076923077,22.97
SH603776,12822521e4be798161547cb6,2019-06-26,False,True,18.271428571428572,18.33
SH603776,77e5f9d279addc49b3f995a8,2021-06-11,False,True,20.438833333333335,20.51
SH603798,407e78796fc6ff52efae7bea,2023-06-21,False,True,9.061538461538461,9.09
SH603801,f1ed9a0572696629be428e25,2021-05-19,False,True,34.58571428571429,34.61
SH603816,dcee2e802c25a7c6075467d6,2020-06-11,False,True,44.879999999999995,44.9
SH603819,82ea3ea08d5dc5a94eabd13a,2019-06-13,False,True,13.164285714285715,13.22
SH603819,2b55b03fd16eb4ed864c0606,2020-06-24,False,True,10.6,10.66
SH603839,4de49e44839878c357b03253,2022-06-22,False,True,7.35,7.37
SH603855,d13f7d99ef36b45b0d67e543,2022-07-08,False,True,25.3,25.32
SH603855,34eafe620d2b90c794d0ee59,2023-06-14,False,True,26.23,26.25
SH603858,205fd195b8cdc6ab41bdd574,2019-08-19,False,True,19.57384615384615,19.78
SH603858,f6e5c0d2e14130c7b54cd330,2020-07-20,False,True,29.916,29.97
SH603858,3b6293dd09f9281d4a51c443,2021-08-02,False,True,19.624,19.64
SH603869,cb3dd76b481b0ae5ed4f65f8,2019-07-11,False,True,13.042399999999999,13.08
SH603871,dd5901b09367f5336e98b0c1,2023-06-21,False,True,15.014285714285714,15.04
SH603877,996649d6e9819db1f3572f53,2019-05-31,False,True,16.98,17.0
SH603879,8dabf0b9c13dd5ce719df320,2019-06-06,False,True,8.1,8.16
