instrument,date,tradestatus,local_missing,volume_relative_error
SH600000,2014-12-04,1,False,5.718576001623177e-08
SH600000,2014-12-05,1,False,4.2118856402595384e-08
SH600000,2014-12-08,1,False,1.6534350777419604e-08
SH600000,2014-12-09,1,False,5.906291011825715e-09
SH600000,2014-12-10,1,False,5.461711971577188e-09
SH600000,2014-12-11,1,False,1.9878661383643248e-08
SH600000,2014-12-12,1,False,5.04628752118208e-08
SH600000,2014-12-15,1,False,7.3085091312208306e-09
SH600000,2014-12-16,1,False,5.5604691961974595e-09
SH600000,2014-12-17,1,False,6.575891109417142e-08
SH600000,2014-12-18,1,False,1.1547027889413641e-08
SH600000,2014-12-19,1,False,4.279043563926166e-08
SH600000,2014-12-22,1,False,1.9613607404878053e-08
SH600000,2014-12-23,1,False,6.961333531840808e-08
SH600000,2014-12-24,1,False,1.7169685673223967e-09
SH600000,2014-12-25,1,False,3.156156391792564e-08
SH600000,2014-12-26,1,False,1.7929127849036774e-08
SH600000,2014-12-29,1,False,3.371576617894334e-08
SH600000,2014-12-30,1,False,1.9045930166328162e-08
SH600000,2014-12-31,1,False,4.7639493128137644e-08
SZ000001,2014-12-04,1,False,3.683154958800117e-08
SZ000001,2014-12-05,1,False,1.696206752832552e-08
SZ000001,2014-12-08,1,False,6.017342624176081e-08
SZ000001,2014-12-09,1,False,1.6009921166570962e-08
SZ000001,2014-12-10,1,False,1.585711295604142e-08
SZ000001,2014-12-11,1,False,3.2105194947007476e-08
SZ000001,2014-12-12,1,False,4.518205409809184e-08
SZ000001,2014-12-15,1,False,5.009949388679047e-08
SZ000001,2014-12-16,1,False,1.3821993771756524e-08
SZ000001,2014-12-17,1,False,1.8369392007500096e-08
SZ000001,2014-12-18,1,False,4.453574620200129e-09
SZ000001,2014-12-19,1,False,5.578446660159386e-08
SZ000001,2014-12-22,1,False,2.8244992789083767e-08
SZ000001,2014-12-23,1,False,4.397292785451867e-08
SZ000001,2014-12-24,1,False,6.35918584457329e-09
SZ000001,2014-12-25,1,False,3.2315866760335155e-08
SZ000001,2014-12-26,1,False,1.6081999953954096e-08
SZ000001,2014-12-29,1,False,2.3393015302630715e-09
SZ000001,2014-12-30,1,False,3.645000112850738e-08
SZ000001,2014-12-31,1,False,2.2195748794473502e-08
SZ300001,2014-12-04,1,False,5.518034951190742e-08
SZ300001,2014-12-05,1,False,1.242565161874154e-08
SZ300001,2014-12-08,1,False,3.440464502180163e-08
SZ300001,2014-12-09,1,False,8.025616926587986e-08
SZ300001,2014-12-10,1,False,2.8903726967399734e-08
SZ300001,2014-12-11,1,False,3.3497770890456025e-08
SZ300001,2014-12-12,1,False,1.2649371772255336e-08
SZ300001,2014-12-15,1,False,2.4139539256395892e-08
SZ300001,2014-12-16,1,False,7.751961517143968e-09
SZ300001,2014-12-17,1,False,7.085225928182837e-08
SZ300001,2014-12-18,1,False,4.142508736038053e-08
SZ300001,2014-12-19,1,False,2.0128523292584077e-08
SZ300001,2014-12-22,1,False,9.474936168984982e-09
SZ300001,2014-12-23,1,False,4.056311353473063e-08
SZ300001,2014-12-24,1,False,1.3722148306527515e-08
SZ300001,2014-12-25,1,False,3.6060608721300014e-08
SZ300001,2014-12-26,1,False,1.5726401625393294e-08
SZ300001,2014-12-29,1,False,3.531533021572386e-08
SZ300001,2014-12-30,1,False,5.579991535498152e-08
SZ300001,2014-12-31,1,False,7.146296221449688e-09
