date,aum,k,names,unknown_price,buildable,known_price_buildable_fraction,all_names_buildable_fraction
2015-08-28,50000,3,2000,309,1690,0.9994086339444116,0.845
2015-08-28,50000,5,2000,309,1689,0.9988172678888232,0.8445
2015-08-28,50000,8,2000,309,1679,0.9929036073329391,0.8395
2015-08-28,50000,12,2000,309,1627,0.9621525724423418,0.8135
2015-08-28,50000,16,2000,309,1550,0.9166173861620343,0.775
2015-08-28,50000,24,2000,309,1328,0.7853341218214075,0.664
2015-08-28,50000,32,2000,309,1083,0.6404494382022472,0.5415
2015-08-28,50000,50,2000,309,581,0.34358367829686576,0.2905
2015-08-28,50000,100,2000,309,48,0.028385570668243643,0.024
2015-08-28,50000,200,2000,309,0,0.0,0.0
2015-08-28,100000,3,2000,309,1691,1.0,0.8455
2015-08-28,100000,5,2000,309,1690,0.9994086339444116,0.845
2015-08-28,100000,8,2000,309,1690,0.9994086339444116,0.845
2015-08-28,100000,12,2000,309,1687,0.9976345357776464,0.8435
2015-08-28,100000,16,2000,309,1679,0.9929036073329391,0.8395
2015-08-28,100000,24,2000,309,1627,0.9621525724423418,0.8135
2015-08-28,100000,32,2000,309,1550,0.9166173861620343,0.775
2015-08-28,100000,50,2000,309,1299,0.7681845062093435,0.6495
2015-08-28,100000,100,2000,309,581,0.34358367829686576,0.2905
2015-08-28,100000,200,2000,309,48,0.028385570668243643,0.024
2020-08-28,50000,3,1999,7,1946,0.9769076305220884,0.9734867433716858
2020-08-28,50000,5,1999,7,1893,0.9503012048192772,0.9469734867433717
2020-08-28,50000,8,1999,7,1790,0.8985943775100401,0.8954477238619309
2020-08-28,50000,12,1999,7,1652,0.8293172690763052,0.8264132066033016
2020-08-28,50000,16,1999,7,1529,0.767570281124498,0.7648824412206103
2020-08-28,50000,24,1999,7,1240,0.6224899598393574,0.6203101550775387
2020-08-28,50000,32,1999,7,998,0.501004016064257,0.4992496248124062
2020-08-28,50000,50,1999,7,641,0.3217871485943775,0.32066033016508255
2020-08-28,50000,100,1999,7,174,0.08734939759036145,0.08704352176088044
2020-08-28,50000,200,1999,7,34,0.01706827309236948,0.017008504252126064
2020-08-28,100000,3,1999,7,1978,0.9929718875502008,0.9894947473736868
2020-08-28,100000,5,1999,7,1958,0.9829317269076305,0.9794897448724362
2020-08-28,100000,8,1999,7,1921,0.9643574297188755,0.9609804902451226
2020-08-28,100000,12,1999,7,1857,0.9322289156626506,0.9289644822411206
2020-08-28,100000,16,1999,7,1790,0.8985943775100401,0.8954477238619309
2020-08-28,100000,24,1999,7,1652,0.8293172690763052,0.8264132066033016
2020-08-28,100000,32,1999,7,1529,0.767570281124498,0.7648824412206103
2020-08-28,100000,50,1999,7,1212,0.608433734939759,0.6063031515757878
2020-08-28,100000,100,1999,7,641,0.3217871485943775,0.32066033016508255
2020-08-28,100000,200,1999,7,174,0.08734939759036145,0.08704352176088044
2023-08-28,50000,3,2000,1,1929,0.9649824912456229,0.9645
2023-08-28,50000,5,2000,1,1860,0.9304652326163082,0.93
2023-08-28,50000,8,2000,1,1759,0.8799399699849925,0.8795
2023-08-28,50000,12,2000,1,1643,0.8219109554777388,0.8215
2023-08-28,50000,16,2000,1,1506,0.753376688344172,0.753
2023-08-28,50000,24,2000,1,1255,0.6278139069534767,0.6275
2023-08-28,50000,32,2000,1,1020,0.5102551275637819,0.51
2023-08-28,50000,50,2000,1,645,0.32266133066533265,0.3225
2023-08-28,50000,100,2000,1,175,0.08754377188594298,0.0875
2023-08-28,50000,200,2000,1,24,0.01200600300150075,0.012
2023-08-28,100000,3,2000,1,1987,0.9939969984992496,0.9935
2023-08-28,100000,5,2000,1,1947,0.9739869934967483,0.9735
2023-08-28,100000,8,2000,1,1904,0.9524762381190596,0.952
2023-08-28,100000,12,2000,1,1825,0.9129564782391195,0.9125
2023-08-28,100000,16,2000,1,1759,0.8799399699849925,0.8795
2023-08-28,100000,24,2000,1,1643,0.8219109554777388,0.8215
2023-08-28,100000,32,2000,1,1506,0.753376688344172,0.753
2023-08-28,100000,50,2000,1,1229,0.6148074037018509,0.6145
2023-08-28,100000,100,2000,1,645,0.32266133066533265,0.3225
2023-08-28,100000,200,2000,1,175,0.08754377188594298,0.0875
