api,parameters,status,row_count,columns,content_sha256,elapsed_seconds,error
stock_basic,"{""exchange"": """", ""fields"": ""ts_code,symbol,name,market,list_date,delist_date,list_status"", ""list_status"": """"}",accessible_nonempty,5551,"ts_code,symbol,name,market,list_date,delist_date,list_status",ecc03498492c79cbf6ec561e655a85f770ee46933ef40c934bdfc8301a2bcfb1,0.289,
namechange,"{""fields"": ""ts_code,name,start_date,end_date,change_reason"", ""ts_code"": ""600000.SH""}",accessible_nonempty,3,"ts_code,name,start_date,end_date,change_reason",9c387c32d3c47ca28de57a01a5f70fb16b424ca5f7aa306e9ad7036dc71fd213,0.097,
namechange,"{""fields"": ""ts_code,name,start_date,end_date,change_reason"", ""ts_code"": ""000001.SZ""}",accessible_nonempty,4,"ts_code,name,start_date,end_date,change_reason",21a0d28791424f17271b3367c01d5c8f3d68e9e241b8818ac0cb4c6d23ff8d72,0.084,
namechange,"{""fields"": ""ts_code,name,start_date,end_date,change_reason"", ""ts_code"": ""600519.SH""}",accessible_nonempty,3,"ts_code,name,start_date,end_date,change_reason",11d539b12383f55cf414876e68d2abe6ac18d3f811210ad44de8893a0d7838ce,0.071,
namechange,"{""fields"": ""ts_code,name,start_date,end_date,change_reason"", ""ts_code"": ""000858.SZ""}",accessible_nonempty,3,"ts_code,name,start_date,end_date,change_reason",34dce610145cd2ba4f0a144b4c4596df73057e23dc77a4beb9c524bf3d771037,0.077,
namechange,"{""fields"": ""ts_code,name,start_date,end_date,change_reason"", ""ts_code"": ""000002.SZ""}",accessible_nonempty,4,"ts_code,name,start_date,end_date,change_reason",2f4b9b829c624d2704cd66864d15d3a0503dc319d9cb7d53465425f5a2edd0ce,0.086,
namechange,"{""fields"": ""ts_code,name,start_date,end_date,change_reason"", ""ts_code"": ""600036.SH""}",accessible_nonempty,3,"ts_code,name,start_date,end_date,change_reason",22ddeabc7d56091d7bfc3c1e840a6e9af5333798c01d019b1ffe6cacd6a0d942,0.077,
daily,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20000101"", ""ts_code"": ""600000.SH""}",accessible_nonempty,1184,"ts_code,trade_date,close,vol,amount",f8073b32ba0db24e5edb039cd59caa2ea04f2094447aa24f7ebe315a3671cfbf,0.154,
daily,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20050101"", ""ts_code"": ""600000.SH""}",accessible_nonempty,1160,"ts_code,trade_date,close,vol,amount",ee97f22283e5596854bc3f26fa50ead7471a79c6136a52d5a5f2634859172345,0.131,
daily,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20100101"", ""ts_code"": ""600000.SH""}",accessible_nonempty,1197,"ts_code,trade_date,close,vol,amount",3c3f0981987d22dd75a5239c72e29234510fe075e662612ac78b62215b3347de,0.132,
