api,ts_code,retrieval_requests,total_rows,max_segment_rows,cap_segments,terminal_pages,segment_count,all_segments_below_cap,pagination_terminated,segmented_retrieval_complete,provider_vintage_complete,completeness_status
balancesheet,000001.SZ,34,170,122,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
balancesheet,000002.SZ,34,171,123,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
balancesheet,000858.SZ,34,175,127,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
balancesheet,600000.SH,34,172,124,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
balancesheet,600036.SH,34,162,114,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
balancesheet,600519.SH,34,167,119,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
cashflow,000001.SZ,34,156,110,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
cashflow,000002.SZ,33,103,71,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
cashflow,000858.SZ,33,102,70,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
cashflow,600000.SH,33,100,68,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
cashflow,600036.SH,33,99,67,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
cashflow,600519.SH,33,102,70,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
fina_indicator,000001.SZ,34,244,180,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
fina_indicator,000002.SZ,34,240,176,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
fina_indicator,000858.SZ,34,244,180,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
fina_indicator,600000.SH,34,240,176,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
fina_indicator,600036.SH,34,232,168,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
fina_indicator,600519.SH,34,234,170,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
income,000001.SZ,34,134,100,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
income,000002.SZ,33,129,97,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
income,000858.SZ,34,132,100,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
income,600000.SH,33,129,97,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
income,600036.SH,33,121,89,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
income,600519.SH,33,127,95,0,33,33,True,True,True,False,retrieval_complete_provider_vintage_unproven
