api,segment,row_count,data_sha256,cache_hit
income,000001.SZ,63,11b254115df4c5c7c56cde58db28bce3e48eb22251bb5fa7e25d60fa97f405a4,True
balancesheet,000001.SZ,80,61402ed1731a74d0ed24cce465c05d4921cca485b91dbd4fa9406e1f27e3d89e,True
cashflow,000001.SZ,76,22bbbc4ab488d9e140dbc829cb3e5aecb8b18de9081732da5c377955abffbf0f,True
income,000002.SZ,64,92bd2da24a6f76c5324b91a40572c301a2ad718217810cd216c0b39fbe00bdad,True
balancesheet,000002.SZ,82,7d1ad96430acefb76c0efaa262a267814372077d62e10a2c9a294c436ff6ac8a,True
cashflow,000002.SZ,60,2003554130055080fb905e14454bed948c0328e581f8d28ea09d4f7620968ed2,True
income,000004.SZ,57,7e9758bceca3acfeac33127847aa57f8d0d5ccbe9c490bd020b993930b7f67ad,True
balancesheet,000004.SZ,79,f84606f2e98c09f2f75b0e9d9519e510e2dc134608e608afebb6e345f009c3f7,True
cashflow,000004.SZ,57,ab66afd904d9946f2e46df848defd91f6b42de7d237c069cced9658993b28568,True
income,000005.SZ,60,4043caa092515b7e3c8ed03cd4ac50a0938dfd70a62af44da069d1ecaa66e3a7,True
balancesheet,000005.SZ,80,b8066f9d90b5d0d982bf3558e5d45f8c7c8d805bc62d213af6ed3574a7f430d7,True
cashflow,000005.SZ,59,42c853355992217a36fa7e44e852fa3ab6c2dd75fa1dcc628dca0ce7e582182e,True
income,000006.SZ,63,957a797b9ee3d480708ba7fceb8e150f4fa4016d8f1084cb74cef7cceed8630d,True
balancesheet,000006.SZ,82,fe0b086ec4c1a79e988fbff5645de24ea0b1998d87e30a080e9ccb6d3bbff5d7,True
cashflow,000006.SZ,60,57aa05a02ca3c0bedfd1eb0c69c5544962ef89773c85abf0ae90b275ac246465,True
income,000007.SZ,59,ca9968eeb645f17abdca56b7e6e4f9f74d917a2778e1e808d0293f3d719d777a,True
balancesheet,000007.SZ,80,da4c7a8728b2b6175b148a0aa4cadd75dab977ea400dfa13810a069892766572,True
cashflow,000007.SZ,58,520272c98c5d677095d9706fd97eede350a3127e9409c3bce2d0ddf32c97c71b,True
income,000008.SZ,60,17ff14cb72c130aa24ea34ef93133a845ccaf0c0895f22482594e71f7d3f4cbf,True
balancesheet,000008.SZ,80,c69fdcf6a5d51e21e97d44e8fd8ee780975bed53aaecfa21b97e4d4a7e948608,True
cashflow,000008.SZ,56,015f3bb5b34a3c37319837354f560f02c690edbdea1a3566f476744c8f463a20,True
income,000009.SZ,64,0367ff9130667f714d260bf12ab471c5761e08be80baeabe3c42e3344e542f33,True
balancesheet,000009.SZ,81,e33e49aa818236171756120135017dd22a39ad206f0f505859c1502528273a7d,True
cashflow,000009.SZ,61,fc0866dcf9a76ce7f45aafdca69f383af62880b4cb3c3ab32c3e916ed40330b5,True
income,000010.SZ,59,43e5c7c9db0406335d6e06f6d288a5ba730a3389563dab06bbe3b8ef96dda039,True
balancesheet,000010.SZ,78,b1f3c23ab8f83cefff6cf5cf99f09af7e04594384a3e03e4e4ad4088d3a57f2c,True
cashflow,000010.SZ,56,359807a46ee1d4d9880ee4aae18c86d8220b2fd2b587965b8fcf8cf0445058a2,True
income,000011.SZ,62,f939e545c7c9cc8f0c7874817ebdd57eaa6359c447a94ba138c7a70c57e2b08b,True
balancesheet,000011.SZ,81,f2d0a4bd985a40e0601d9e15c50e638571a54933c682fd9ffbd5afb6bd5e8a3e,True
cashflow,000011.SZ,60,368a6f00da9dcd1e9d59d116211192703cff173b28e8acc0ad00440df4624ab6,True
income,000012.SZ,62,5302a6c86b64983e44b71904360f04bc1317dabd66c517b1f2cebdaf7a8de960,True
balancesheet,000012.SZ,78,3aab207d250c9f81669194be27695fdc85dc5ebb423e551e5b969a2c0a6bb354,True
cashflow,000012.SZ,59,83c6e4194fea1707e22081288b2d236c1fd8790b442dfaaec2faaf05ead931f7,True
income,000014.SZ,63,0ec980b5491c018b7dc6f218a27f1c592bbebbe643916928537190255209ebc2,True
balancesheet,000014.SZ,82,3cff765bcc21e6c525bce5e07052ed111d4eb685375f019a8e4da2d20c2a2f11,True
cashflow,000014.SZ,60,043c20fba68a22838958a6229680c76155e9e94818910c76b1e325b26703a5b3,True
income,000016.SZ,62,eb82d9f6750b052c41143e304843c03bc9178316e5867c3627ed7fd8e3b28e15,True
balancesheet,000016.SZ,105,d61100d01b98f15b7a792baac2a612bd282b9440f8fd92fbcaf8168806d435a0,True
cashflow,000016.SZ,60,3fbb1b26f8ca83f77f85c7456f28ecc694e3ae8ba04e7425f6351f3bf2c9af23,True
income,000017.SZ,59,37483a5e516152c2830fa092dd6d3dd43a4af69522a301f6381e1e9665d94bb7,True
balancesheet,000017.SZ,80,8f28874a3963e90138e93e415468a223a59ff5b7277fe790be88a9c6c12998e2,True
cashflow,000017.SZ,57,e80d56e0555058e9c93f6b8f7ac3f810d96e93b7a01daec84ce4bbe3ba77ffae,True
income,000018.SZ,54,d3b8a5c7551f50af99b86658465582e2e453aeac9db0992117abc1fc92ceb788,True
balancesheet,000018.SZ,80,e827bbc88d6916b2aab9c7cdef1e2efb8c30647b8eee89a08378c140407f6d62,True
cashflow,000018.SZ,72,ba880351bc5db3ab79203eba2124ed650aef56dcdabebb62ed843bdd1d71a979,True
income,000019.SZ,60,4b6388a9f9dd162fbe0c33253533b80793e071763bf8f5ff36d79c3098092a86,True
balancesheet,000019.SZ,80,073d9a9cf2064c78b7b873d0072b6806fd6c3d62c958e0f93ce7b053c5f265cf,True
cashflow,000019.SZ,58,99fcd457b31f1082060fc5e3e2df59f9e95d492b0e520fe2215b2f465697a602,True
income,000020.SZ,60,028a752533b15f9fc61c151d884c1da54577210617f5301deeba6217e7591736,True
balancesheet,000020.SZ,80,5e3c9181c8af352b1820e163148bca47c3dbc0dce898a88b369f78ce88a17f85,True
cashflow,000020.SZ,58,3b9557a3b546abac066a63643060f76020c290f0ecd915e4155a000ae633e453,True
income,000021.SZ,59,ffe3a21087739f137ac62a02bde3c52cdaf57b27223cdf94c02ee27a24c0647c,True
balancesheet,000021.SZ,80,31cf053cf4bd704457b81dbe1c197e2a7ddae3bafd7095d5f4855c000a3cf08d,True
cashflow,000021.SZ,58,21fa39f9860713a136713a3d922656a81e269cc1025b2fee5ba49cf41f645b81,True
income,000022.SZ,0,aae89bf30e53ebab069c6e898274ca67ea4739448781977e53654beb9fa6088c,True
balancesheet,000022.SZ,0,6d52e537a5dda0bf75c228adec5747174dd46b9b54b6b111b7f082a058525675,True
cashflow,000022.SZ,0,f434656afad978d0aa0472910848d053bea7cd611514a341cd6d91f63c9638bb,True
income,000023.SZ,60,a60fe20671a25ec0cef0bd25322282361effb7bb5a4a2c956d4ce6626803ebb2,True
balancesheet,000023.SZ,80,fe94ad8523449bcbb1ab560a8868a96934ffcdfc32dbefabbe1ce59e5a0aa659,True
cashflow,000023.SZ,59,36b4d47ef18e2dcfa9c2c486fe0ddb09c900225b0e09ddf1cc4422de2da2d771,True
income,000024.SZ,33,c9cdff0e1412ef6cc1990536cfee9e462860204a4961268cfcfb46eddbbb1908,True
balancesheet,000024.SZ,49,34db68ad2ad1831bbeb66bd3780099267752482613e6aea7308f4204f9d2c4bc,True
cashflow,000024.SZ,33,eb2b3618645b993c314a8686bb91490141e9b6f133a8204038239dfacad5bb62,True
income,000025.SZ,60,b88e4362e0a4bcabb1e7169e3808d35d10ca14dd67e9af351d894de3f04b14c1,True
balancesheet,000025.SZ,80,53b12c63a0405bcdb4d64fd2e9b8f1b76221ab8b98d01e89aeb086d4895c2ef4,True
cashflow,000025.SZ,56,fe960730e3897769a956841fd4fff2519fd1e28a7d7c4edb46aff1cd0bc76c88,True
income,000026.SZ,63,cc15f9bbe88d5022d5aaa41b6bee55e5ef863ca5abac6ebde6ad0cf89e32e47b,True
balancesheet,000026.SZ,82,0e837c39462e0939400cc20a36749f210ef6a676286de416f351aae1c7848149,True
cashflow,000026.SZ,58,0ef2aa8110f022f2606d09ebbfa3889375f34ca0fe8a93dc4bcd975a895dc9a8,True
