api,ts_code,offset,page_size,row_count,terminal,elapsed_seconds,status
cashflow,002534.SZ,0,100,52,True,0.08155550000083167,pass
income,002535.SZ,0,100,55,True,0.08039410000128555,pass
balancesheet,002535.SZ,0,100,69,True,0.08770000000004075,pass
cashflow,002535.SZ,0,100,52,True,0.14648269999815966,pass
income,002536.SZ,0,100,54,True,0.11105280000265338,pass
balancesheet,002536.SZ,0,100,70,True,0.08313139999881969,pass
cashflow,002536.SZ,0,100,50,True,0.0970195000008971,pass
income,002537.SZ,0,100,54,True,0.09712229999786359,pass
balancesheet,002537.SZ,0,100,70,True,0.12148249999881955,pass
cashflow,002537.SZ,0,100,50,True,0.09911129999818513,pass
income,002538.SZ,0,100,56,True,0.1057206999976188,pass
balancesheet,002538.SZ,0,100,70,True,0.11413990000073682,pass
cashflow,002538.SZ,0,100,53,True,0.08236700000270503,pass
income,002539.SZ,0,100,56,True,0.08531640000001062,pass
balancesheet,002539.SZ,0,100,70,True,0.08583130000261008,pass
cashflow,002539.SZ,0,100,51,True,0.07997289999912027,pass
income,002540.SZ,0,100,54,True,0.1276858999990509,pass
balancesheet,002540.SZ,0,100,70,True,0.13952259999859962,pass
cashflow,002540.SZ,0,100,52,True,0.13203059999796096,pass
income,002541.SZ,0,100,57,True,0.1378275000024587,pass
balancesheet,002541.SZ,0,100,72,True,0.1429932999999437,pass
cashflow,002541.SZ,0,100,53,True,0.10829860000012559,pass
income,002542.SZ,0,100,53,True,0.16709890000129235,pass
balancesheet,002542.SZ,0,100,68,True,0.11714890000075684,pass
cashflow,002542.SZ,0,100,49,True,0.06987949999893317,pass
income,002543.SZ,0,100,55,True,0.07689409999875352,pass
balancesheet,002543.SZ,0,100,70,True,0.07626490000257036,pass
cashflow,002543.SZ,0,100,52,True,0.0688914999991539,pass
income,002544.SZ,0,100,54,True,0.08517630000278587,pass
balancesheet,002544.SZ,0,100,70,True,0.08477240000138409,pass
cashflow,002544.SZ,0,100,52,True,0.15584469999885187,pass
income,002545.SZ,0,100,55,True,0.06733889999668463,pass
balancesheet,002545.SZ,0,100,70,True,0.22051600000122562,pass
cashflow,002545.SZ,0,100,52,True,0.08117950000087149,pass
income,002546.SZ,0,100,56,True,0.13031429999682587,pass
balancesheet,002546.SZ,0,100,69,True,0.07496639999953914,pass
cashflow,002546.SZ,0,100,53,True,0.1113989000004949,pass
